Problem,Contest,Index,Tags,solvedCount
Decreasing String,1886,C,"implementation, strings",7693
Hard Design,1884,E,"greedy, implementation, math",123
Perfect Square,1881,C,"brute force, implementation",12104
Interactive Game with Coloring,1879,E,"brute force, constructive algorithms, dfs and similar, graphs, implementation, interactive, trees",989
wxhtzdy ORO Tree,1878,G,"binary search, bitmasks, brute force, data structures, dfs and similar, implementation, trees",841
Jellyfish and Game,1874,A,"brute force, games, greedy, implementation",12985
1D Eraser,1873,D,"greedy, implementation, two pointers",26698
Target Practice,1873,C,"implementation, math",27124
Short Sort,1873,A,"brute force, implementation",37148
Selling a Menagerie,1872,F,"dfs and similar, dsu, graphs, implementation, math",4746
The Corridor or There and Back Again,1872,B,"greedy, implementation",23666
Prefix Purchase,1870,D,"greedy, implementation, sortings",5470
Colorful Table,1870,C,"binary search, data structures, dp, implementation, math, two pointers",9117
LIS?,1868,F,"data structures, greedy, implementation",41
Flower-like Pseudotree,1868,D,"constructive algorithms, graphs, greedy, implementation, trees",197
Travel Plan,1868,C,"combinatorics, dp, implementation, math, trees",923
Candy Party (Hard Version),1868,B2,"bitmasks, constructive algorithms, dp, greedy, implementation, math",1983
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math",5484
Fill in the Matrix,1868,A,"constructive algorithms, implementation",9625
Cyclic Operations,1867,D,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",4537
Keen Tree Calculation,1866,K,"binary search, data structures, dp, geometry, graphs, implementation, trees",326
Magic Square,1864,G,"combinatorics, constructive algorithms, implementation",221
Exotic Queries,1864,F,"data structures, implementation, sortings",1145
Increasing and Decreasing,1864,A,"constructive algorithms, greedy, implementation, math",18495
MEX Repetition,1863,C,"implementation, math",11810
Channel,1863,A,"greedy, implementation",15995
Flower City Fence,1862,C,"binary search, data structures, implementation, sortings",17530
Gift Carpet,1862,A,"dp, greedy, implementation, strings",27409
Non-Intersecting Subpermutations,1861,E,"combinatorics, dp, implementation, math",1403
Queries for the Array,1861,C,"data structures, dfs and similar, implementation, strings, trees",8062
Evaluate RBS,1860,F,"data structures, geometry, implementation, math, sortings",230
Maximum Rounding,1857,B,"greedy, implementation, math",20349
PermuTree (hard version),1856,E2,"bitmasks, dfs and similar, dp, fft, greedy, implementation, math, trees",1122
Good Arrays,1856,B,"implementation, math",20799
Tales of a Sort,1856,A,implementation,24244
Vlad and the Mountains,1851,G,"binary search, data structures, dsu, graphs, implementation, sortings, trees, two pointers",2474
Prefix Permutation Sums,1851,D,"implementation, math",12682
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation",6267
The Morning Star,1850,G,"combinatorics, data structures, geometry, implementation, math, sortings",9374
We Were Both Children,1850,F,"brute force, implementation, math, number theory",14339
Cardboard for Pictures,1850,E,"binary search, geometry, implementation, math",17644
Balanced Round,1850,D,"brute force, greedy, implementation, sortings",26503
Word on the Paper,1850,C,"implementation, strings",34643
Ten Words of Wisdom,1850,B,"implementation, sortings",35087
To My Critics,1850,A,"implementation, sortings",40883
Morning Sandwich,1849,A,"implementation, math",25155
Vika and Stone Skipping,1848,E,"brute force, implementation, math, number theory",659
Vika and the Bridge,1848,B,"binary search, data structures, greedy, implementation, math, sortings",11446
