Problem,Contest,Index,Tags,solvedCount
Make it Alternating,1879,C,"combinatorics, dp, greedy",11944
ABBC or BACB,1873,G,"constructive algorithms, greedy",8805
Money Trees,1873,F,"binary search, greedy, math, two pointers",10644
Data Structures Fan,1872,E,"binary search, bitmasks, data structures, dp",9711
Colorful Table,1870,C,"binary search, data structures, dp, implementation, math, two pointers",9117
Fill in the Matrix,1868,A,"constructive algorithms, implementation",9625
Salyg1n and the MEX Game,1867,C,"constructive algorithms, data structures, games, greedy, interactive",9436
Battling with Numbers,1866,B,"combinatorics, math, number theory",5943
Divisor Chain,1864,C,"bitmasks, constructive algorithms, math, number theory",11021
Two-Colored Dominoes,1863,D,"constructive algorithms, greedy",7698
Ice Cream Balls,1862,D,"binary search, combinatorics, constructive algorithms, math",14085
Game on Permutation,1860,C,"data structures, dp, games, greedy",10682
The Walkway,1858,B,"brute force, dp, greedy, math, number theory",9446
Power of Points,1857,E,"math, sortings",10007
Strong Vertices,1857,D,"math, sortings, trees",15714
Dual (Easy Version),1854,A1,"constructive algorithms, math",12047
Nastya and Potions,1851,E,"dfs and similar, dp, graphs, sortings",7968
Prefix Permutation Sums,1851,D,"implementation, math",12682
The Morning Star,1850,G,"combinatorics, data structures, geometry, implementation, math, sortings",9374
We Were Both Children,1850,F,"brute force, implementation, math, number theory",14339
"Vampiric Powers, anyone?",1847,C,"bitmasks, brute force, dp, greedy",10986
Rudolf and Snowflakes (simple version),1846,E1,"brute force, implementation, math",13556
Strong Password,1845,C,"binary search, dp, greedy, strings",11862
Row Major,1844,D,"constructive algorithms, greedy, math, number theory, strings",10565
Particles,1844,C,"dp, greedy, implementation, math",13387
Tenzing and Balls,1842,C,dp,9843
Wooden Toy Festival,1840,D,"binary search, greedy, sortings",11474
Insert Zero and Invert Prefix,1839,C,constructive algorithms,10263
No Prime Differences,1838,C,"constructive algorithms, math, number theory",12005
Bracket Coloring,1837,D,"constructive algorithms, greedy",11837
Flipper,1833,D,"brute force, constructive algorithms, greedy",11540
Copil Copac Draws Trees,1830,A,"dfs and similar, dp, graphs, trees",10992
Forever Winter,1829,F,"dfs and similar, graphs, math",13895
Dreaming of Freedom,1826,C,"greedy, math, number theory",11313
LuoTianyi and the Show,1824,A,"greedy, implementation",9847
Strongly Composite,1823,C,"greedy, math, number theory",10495
Tear It Apart,1821,C,"brute force, implementation, math, strings",12049
Constructive Problem,1819,A,"brute force, greedy",10835
Almost Increasing Subsequence,1817,A,"binary search, data structures, greedy",9182
Ian and Array Sorting,1815,A,"greedy, math",12261
Search in Parallel,1814,C,"constructive algorithms, greedy, sortings",9134
Living Sequence,1811,E,"binary search, dp, math, number theory",10174
Make It Permutation,1810,C,"brute force, greedy, sortings",12578
Sum on Subarrays,1809,C,"constructive algorithms, greedy, math",10570
Interview,1807,E,"binary search, implementation, interactive",10410
Place for a Selfie,1805,C,"binary search, data structures, geometry, math",10892
Pull Your Luck,1804,C,"brute force, greedy, math, number theory",10513
Unforgivable Curse (hard version),1800,E2,"brute force, constructive algorithms, dfs and similar, dsu, graphs, greedy, strings",10624
Unforgivable Curse (easy version),1800,E1,"brute force, constructive algorithms, dsu, graphs, greedy, strings",10821
Tea Tasting,1795,C,"binary search, data structures, implementation",10150
Scoring Subsequences,1794,C,"binary search, greedy, math, two pointers",10961
Min Max Sort,1792,C,"binary search, brute force, greedy, math, two pointers",11698
Range Update Point Query,1791,F,"binary search, brute force, data structures",10068
Vlad and a Pair of Numbers,1790,E,"bitmasks, constructive algorithms",12731
Serval and Toxel's Arrays,1789,C,"combinatorics, dp, implementation, math",7327
Matching Numbers,1788,C,"constructive algorithms, greedy, math",14854
Cake Assembly Line,1786,B,"brute force, sortings",8022
The Forbidden Permutation,1778,B,"greedy, math",12167
Controllers,1776,L,"binary search, math",4306
Beppa and SwerChat,1776,H,two pointers,5296
Gardener and the Array,1775,B,"bitmasks, constructive algorithms",11231
Ice and Fire,1774,C,"constructive algorithms, dp, greedy",10867
Coloring,1774,B,"constructive algorithms, greedy, math",10492
Easy Assembly,1773,E,"greedy, sortings",4120
Absolute Sorting,1772,D,"constructive algorithms, math",12808
Hossam and Friends,1771,B,"binary search, constructive algorithms, dp, two pointers",11304
Подкрутка II,1769,C2,"*special, dp",849
Копирование файлов II,1769,B2,"*special, binary search, brute force, math",819
Elemental Decompress,1768,C,"constructive algorithms, greedy, implementation, sortings",12649
Playoff,1767,D,"combinatorics, constructive algorithms, dp, greedy, math",8680
Hamiltonian Wall,1766,C,"dp, implementation",12133
Number Reduction,1765,N,greedy,3870
Torus Path,1765,K,"greedy, math",4809
Doremy's City Construction,1764,C,"graphs, greedy",8345
Binary Strings are Fun,1762,C,"combinatorics, math",8221
Set Construction,1761,C,"constructive algorithms, dfs and similar, graphs, greedy",8468
Quests,1760,F,"binary search, greedy, sortings",9822
The Humanoid,1759,E,"brute force, dp, sortings",8811
Make It Round,1759,D,"brute force, number theory",10589
Almost All Multiples,1758,C,"greedy, number theory",11580
Make Nonzero Sum (hard version),1753,A2,"constructive algorithms, dp, greedy",9099
Make Nonzero Sum (easy version),1753,A1,"constructive algorithms, dp, greedy",13441
Complementary XOR,1750,C,"constructive algorithms, implementation",8703
Number Game,1749,C,"binary search, data structures, games, greedy, implementation",12246
Diverse Substrings,1748,B,"brute force, implementation, strings",13107
Permutation Operations,1746,C,"constructive algorithms, greedy, implementation, math",11553
Divisible Numbers (easy version),1744,E1,"brute force, math, number theory",9138
Orray,1742,G,"bitmasks, brute force, greedy, math, sortings",8476
Smaller,1742,F,"constructive algorithms, greedy, strings",9523
Masha and a Beautiful Tree,1741,D,"dfs and similar, divide and conquer, graphs, sortings, trees",13147
Knowledge Cards,1740,D,"constructive algorithms, data structures",7139
Bricks and Bags,1740,C,"constructive algorithms, games, greedy, sortings",9816
Card Game,1739,C,"combinatorics, constructive algorithms, dp, games",8146
Even Number Addicts,1738,C,"dp, games, greedy, math",9657
Ela and Crickets,1737,C,"constructive algorithms, games, implementation, math",5248
Ela's Fitness and the Luxury Number,1737,B,"binary search, implementation, math",8715
