Handle,Max Rating_x,Result
Siriushfgame,1781.0,Yes
iprom,1781.0,Yes
MATHEMATICS_2022,1780.0,Yes
real_pulp,1780.0,Yes
Beelzebub_eulb,1840.0,Yes
Majedh,1840.0,Yes
B0NGCL0UD,1796.0,Yes
schmosby,1778.0,Yes
singlabharat,1806.0,Yes
HarperTaylor,1853.0,Yes
ayush567,1851.0,Yes
Aveiro_quanyue,1827.0,Yes
pigstar_fan,1996.0,Yes
Eke_bichi,1775.0,Yes
Hokmanie,1884.0,Yes
Alance,2074.0,Yes
Only_Gift,1812.0,Yes
mRXxy0u0,1770.0,Yes
Akamu,1766.0,Yes
Sanjay422,1937.0,Yes
chenhongrui,1765.0,Yes
parag776,1787.0,Yes
Ayham_Dabah,1838.0,Yes
thisislike,1764.0,Yes
bananasaur,2022.0,Yes
Jieneng,1782.0,Yes
Prince_Daemon,1761.0,Yes
one_autum_leaf,1828.0,Yes
Ja711,1899.0,Yes
momen159,1925.0,Yes
__ASHISH__,1925.0,Yes
GoldenShadow,1961.0,Yes
dragoon_Tyson,1806.0,Yes
trinhtung2007,1752.0,Yes
KasumiUtaha,1751.0,Yes
Pistol_Engineer,1751.0,Yes
X_F_H,1751.0,Yes
sloppy_coder,1847.0,Yes
AVdovin,1887.0,Yes
hakapeipei,1799.0,Yes
intersectingMatroids,1779.0,Yes
tlsgusrb314,1801.0,Yes
nch123,1781.0,Yes
sharkycode,1751.0,Yes
pseong,1844.0,Yes
LeNcyer,1797.0,Yes
Sanath_Kulla,1746.0,Yes
CrazyDave53,1865.0,Yes
Zhuangpx,1866.0,Yes
CodeWithMePlease,1744.0,Yes
HoMeLaNDeR616,1747.0,Yes
Ljc07,1743.0,Yes
lobisomem_pidao,1743.0,Yes
two___wrist,2065.0,Yes
EarthMessenger,1843.0,Yes
flygogo,1795.0,Yes
ssAmanSoni1,1842.0,Yes
00zijian,1848.0,Yes
AtharvaDing,1741.0,Yes
Sing,1822.0,Yes
liqixian,1916.0,Yes
Pretest2,1756.0,Yes
haku_suki,1738.0,Yes
aroyal,1757.0,Yes
John314,1733.0,Yes
chinawcp,1883.0,Yes
smallC233,1818.0,Yes
zwh_zzz,1820.0,Yes
A_Nafees,1866.0,Yes
dota2_player,1731.0,Yes
AkunTuyul,1730.0,Yes
HazemRawi,1730.0,Yes
DerrickLo,1829.0,Yes
Samuuffdzz,1729.0,Yes
kavorka,1850.0,Yes
theNewSon,1743.0,Yes
Amrharb,1836.0,Yes
messi30,1728.0,Yes
Cornflakes,2132.0,Yes
SoleProprietor,1727.0,Yes
Airflow_4869,1789.0,Yes
RSisRS,1824.0,Yes
emverals,1725.0,Yes
mzmz001,1724.0,Yes
ay13,1740.0,Yes
monna4335,1997.0,Yes
kaichou243,1910.0,Yes
mnasser02,1721.0,Yes
NKM,1864.0,Yes
45645A,1958.0,Yes
Buqiujun,1897.0,Yes
arbalestOvO,1957.0,Yes
xalwa,1717.0,Yes
CombiGod,1818.0,Yes
AhmedYahia,1847.0,Yes
IS_Rushdi,1715.0,Yes
TanJI,1732.0,Yes
aonbel,1715.0,Yes
Gogolev,1729.0,Yes
ChinatsuKano,1712.0,Yes
