Handle,Max Rating_x,Result
soyorin,1419.0,Yes
kanchuang,1490.0,Yes
oltree,1418.0,Yes
.Amer.,1558.0,Yes
Escape,1461.0,Yes
Vegetog,1449.0,Yes
Vengeance7,1540.0,Yes
cupcake123,1514.0,Yes
SamurayJack,1480.0,Yes
kartik_garg163,1639.0,Yes
sisanjiujiu,1672.0,Yes
value0,1488.0,Yes
BKDN23.Rye,1504.0,Yes
imtiaj.zero,1452.0,Yes
Close_enough,1428.0,Yes
Manoush,1479.0,Yes
bebera,1663.0,Yes
eriksen123,1460.0,Yes
6668889,1432.0,Yes
Jester611,1782.0,Yes
Yash_92,1501.0,Yes
abhishek21ee10003,1413.0,Yes
dmitrii_andriianov,1449.0,Yes
NeedGM,1412.0,Yes
ashutoshpareek2205,1412.0,Yes
kaustubhkaty,1412.0,Yes
sr3q_mk,1553.0,Yes
BlueThunder,1465.0,Yes
Kaor1,2140.0,Yes
MahmoudMamdouh13,1411.0,Yes
am_khan0,1491.0,Yes
asteriskzie,1725.0,Yes
great_cicada,1411.0,Yes
Plotva,1410.0,Yes
amen.xa,1421.0,Yes
ayushs8800,1413.0,Yes
devasadbe,1410.0,Yes
liuzheng,1500.0,Yes
my_precious,1643.0,Yes
Dranonite,1409.0,Yes
G.Strawn,1465.0,Yes
Jabed_Iqbal_Joy,1561.0,Yes
Muted_slow,1409.0,Yes
cruelkratos,1409.0,Yes
lozergam,1454.0,Yes
prakhar2704,1452.0,Yes
rising_10rath1213,1409.0,Yes
vineeshmittal19,1409.0,Yes
LH.,1546.0,Yes
Lushaojie,1451.0,Yes
not_Rangan,1498.0,Yes
sadra_,1484.0,Yes
JourneyBoy,1406.0,Yes
wly666...,1522.0,Yes
AshcoOoOdel,1535.0,Yes
FilipL,1405.0,Yes
awayyy,1571.0,Yes
Takaii,1491.0,Yes
ImShimla__,1540.0,Yes
Kirito2546,1403.0,Yes
Psi_Reborn,1585.0,Yes
_shoaib_221,1538.0,Yes
pratyanch_jain,1531.0,Yes
wotcl,1470.0,Yes
Aryan_Jaiswal28,1485.0,Yes
shiqi65,1403.0,Yes
zs111,1522.0,Yes
Ram_seu,1401.0,Yes
coretech_0116,1413.0,Yes
sunrize0714,1401.0,Yes
unleashed_spark,1508.0,Yes
RakibulIslam,1483.0,Yes
devilzone_12,1414.0,Yes
Aman282001,1445.0,Yes
Kotoha,1450.0,Yes
MahmoudBassem,1519.0,Yes
PerfectLife,1661.0,Yes
MadhavKotak,1495.0,Yes
macOSBigSur11.5.2_20G95,1664.0,Yes
Me_Lee,1426.0,Yes
SchezoSchezo,1437.0,Yes
_Heyday_,1438.0,Yes
ayushsharma2305,1483.0,Yes
raghu.vrt29,1422.0,Yes
LanaSkarica,1471.0,Yes
ata_karim,1491.0,Yes
GENERALMAHFUZ,1475.0,Yes
NS3081992,1548.0,Yes
Sagar.,1471.0,Yes
wuyin331,1436.0,Yes
Hydrogenabc,1481.0,Yes
Oalmidani7,1466.0,Yes
adityaraj_19,1558.0,Yes
ankur_27,1489.0,Yes
prabhassagiraju,1496.0,Yes
yswooo,1423.0,Yes
2wasted,1419.0,Yes
Diverbee,1527.0,Yes
I_love_qa,1503.0,Yes
artalemreyunus,1448.0,Yes
