Problem,Contest,Index,Tags
Make it Alternating,1879,C,"combinatorics, dp, greedy"
ABBC or BACB,1873,G,"constructive algorithms, greedy"
Money Trees,1873,F,"binary search, greedy, math, two pointers"
Data Structures Fan,1872,E,"binary search, bitmasks, data structures, dp"
Colorful Table,1870,C,"binary search, data structures, dp, implementation, math, two pointers"
Fill in the Matrix,1868,A,"constructive algorithms, implementation"
Salyg1n and the MEX Game,1867,C,"constructive algorithms, data structures, games, greedy, interactive"
Battling with Numbers,1866,B,"combinatorics, math, number theory"
Divisor Chain,1864,C,"bitmasks, constructive algorithms, math, number theory"
Two-Colored Dominoes,1863,D,"constructive algorithms, greedy"
Ice Cream Balls,1862,D,"binary search, combinatorics, constructive algorithms, math"
Game on Permutation,1860,C,"data structures, dp, games, greedy"
The Walkway,1858,B,"brute force, dp, greedy, math, number theory"
Power of Points,1857,E,"math, sortings"
Strong Vertices,1857,D,"math, sortings, trees"
Dual (Easy Version),1854,A1,"constructive algorithms, math"
Nastya and Potions,1851,E,"dfs and similar, dp, graphs, sortings"
Prefix Permutation Sums,1851,D,"implementation, math"
The Morning Star,1850,G,"combinatorics, data structures, geometry, implementation, math, sortings"
We Were Both Children,1850,F,"brute force, implementation, math, number theory"
"Vampiric Powers, anyone?",1847,C,"bitmasks, brute force, dp, greedy"
Rudolf and Snowflakes (simple version),1846,E1,"brute force, implementation, math"
Strong Password,1845,C,"binary search, dp, greedy, strings"
Row Major,1844,D,"constructive algorithms, greedy, math, number theory, strings"
Particles,1844,C,"dp, greedy, implementation, math"
Tenzing and Balls,1842,C,dp
Wooden Toy Festival,1840,D,"binary search, greedy, sortings"
Insert Zero and Invert Prefix,1839,C,constructive algorithms
No Prime Differences,1838,C,"constructive algorithms, math, number theory"
Bracket Coloring,1837,D,"constructive algorithms, greedy"
Flipper,1833,D,"brute force, constructive algorithms, greedy"
Copil Copac Draws Trees,1830,A,"dfs and similar, dp, graphs, trees"
Forever Winter,1829,F,"dfs and similar, graphs, math"
Dreaming of Freedom,1826,C,"greedy, math, number theory"
LuoTianyi and the Show,1824,A,"greedy, implementation"
Strongly Composite,1823,C,"greedy, math, number theory"
Tear It Apart,1821,C,"brute force, implementation, math, strings"
Constructive Problem,1819,A,"brute force, greedy"
Almost Increasing Subsequence,1817,A,"binary search, data structures, greedy"
Ian and Array Sorting,1815,A,"greedy, math"
Search in Parallel,1814,C,"constructive algorithms, greedy, sortings"
Living Sequence,1811,E,"binary search, dp, math, number theory"
Make It Permutation,1810,C,"brute force, greedy, sortings"
Sum on Subarrays,1809,C,"constructive algorithms, greedy, math"
Interview,1807,E,"binary search, implementation, interactive"
Place for a Selfie,1805,C,"binary search, data structures, geometry, math"
Pull Your Luck,1804,C,"brute force, greedy, math, number theory"
Unforgivable Curse (hard version),1800,E2,"brute force, constructive algorithms, dfs and similar, dsu, graphs, greedy, strings"
Unforgivable Curse (easy version),1800,E1,"brute force, constructive algorithms, dsu, graphs, greedy, strings"
Tea Tasting,1795,C,"binary search, data structures, implementation"
Scoring Subsequences,1794,C,"binary search, greedy, math, two pointers"
Min Max Sort,1792,C,"binary search, brute force, greedy, math, two pointers"
Range Update Point Query,1791,F,"binary search, brute force, data structures"
Vlad and a Pair of Numbers,1790,E,"bitmasks, constructive algorithms"
Serval and Toxel's Arrays,1789,C,"combinatorics, dp, implementation, math"
