Handle,Max Rating_x,Result,Solved Problems,Problem Count
Sahil_32,1535.0,Yes,"{(1742, 'F'), (1873, 'F'), (1736, 'C1'), (1675, 'E'), (1726, 'C'), (1873, 'G'), (1605, 'C'), (1739, 'C')}",8
fightMaster001,1535.0,Yes,"{(1805, 'C'), (1790, 'E'), (1860, 'C'), (1846, 'E1'), (1814, 'C'), (1820, 'C')}",6
pt_dtu,1587.0,Yes,"{(1851, 'D'), (1844, 'C'), (1825, 'C'), (1829, 'F'), (1851, 'E'), (1837, 'D'), (1855, 'C1'), (1831, 'C'), (1840, 'D'), (1838, 'C'), (1857, 'D'), (1845, 'C'), (1847, 'C'), (1869, 'C'), (1858, 'B')}",15
not_just_rr,1623.0,Yes,"{(1400, 'C'), (1761, 'C'), (507, 'B'), (617, 'B'), (1850, 'F'), (515, 'C'), (1324, 'D'), (1335, 'D'), (1391, 'C'), (1774, 'C'), (1776, 'L'), (1789, 'C'), (1844, 'C'), (1538, 'C'), (1721, 'C'), (1842, 'C'), (25, 'A'), (1759, 'D'), (1646, 'C'), (1352, 'D'), (1215, 'B'), (1606, 'C'), (1790, 'E'), (451, 'B'), (1285, 'B'), (1555, 'C'), (43, 'C'), (39, 'B'), (1804, 'C'), (1338, 'A'), (1538, 'F'), (1866, 'B'), (1676, 'H2'), (1710, 'A'), (1698, 'C'), (1370, 'C'), (1141, 'C'), (1764, 'C'), (1675, 'E'), (1807, 'E'), (1768, 'C'), (1765, 'K'), (1791, 'F'), (1690, 'E'), (1767, 'D'), (1766, 'C'), (1366, 'B'), (1660, 'C'), (1253, 'C'), (371, 'B'), (1825, 'C'), (1350, 'B'), (1725, 'G'), (19, 'A'), (1714, 'E'), (1765, 'N'), (1519, 'C'), (1526, 'B'), (489, 'C'), (1711, 'B'), (230, 'B'), (1742, 'F'), (1740, 'D'), (1728, 'C'), (1717, 'C'), (1838, 'C'), (1466, 'C'), (1328, 'B'), (1371, 'C'), (1809, 'C'), (1864, 'C'), (1536, 'C'), (1742, 'G'), (1332, 'B'), (1285, 'C'), (1375, 'C'), (1178, 'C'), (630, 'F'), (762, 'A'), (1772, 'D'), (1870, 'C'), (1759, 'E'), (1800, 'E2'), (1840, 'D'), (1762, 'C'), (251, 'A'), (39, 'F'), (1844, 'D'), (1788, 'C'), (1326, 'C'), (1470, 'A'), (1760, 'F'), (1846, 'E1'), (1771, 'B'), (1857, 'D'), (1845, 'C'), (1786, 'B'), (1775, 'B'), (1673, 'C'), (455, 'A'), (1857, 'E'), (1739, 'C'), (1794, 'C'), (1037, 'C'), (1860, 'C'), (1363, 'B'), (1367, 'C'), (450, 'B'), (1732, 'D1'), (1872, 'E'), (27, 'B'), (1792, 'C'), (1855, 'C1'), (1381, 'A1'), (1753, 'A1'), (1220, 'B'), (1744, 'E1'), (1737, 'B'), (1748, 'B'), (44, 'C'), (1365, 'B'), (1858, 'B'), (1294, 'C'), (573, 'A'), (236, 'B'), (478, 'B'), (1352, 'F'), (1722, 'G'), (1200, 'C'), (1515, 'D'), (1374, 'D'), (1373, 'C'), (1879, 'C'), (1851, 'D'), (1506, 'E'), (1839, 'C'), (1401, 'C'), (1851, 'E'), (698, 'A'), (1778, 'B'), (1203, 'C'), (1547, 'D'), (24, 'A'), (1614, 'C'), (1476, 'B'), (1542, 'B'), (8, 'B'), (1547, 'E'), (1735, 'C'), (1703, 'F'), (1733, 'C'), (1560, 'D'), (1454, 'D'), (1737, 'C'), (459, 'B'), (1869, 'C'), (514, 'B'), (1372, 'B'), (276, 'B'), (545, 'D'), (1312, 'C'), (1676, 'F'), (1195, 'C'), (1817, 'A'), (1753, 'A2'), (1850, 'G'), (476, 'B'), (621, 'B'), (1659, 'C'), (1263, 'C'), (519, 'C'), (1736, 'C1'), (1594, 'E1'), (1462, 'D'), (1774, 'B'), (4, 'C'), (893, 'C'), (1738, 'C'), (900, 'B'), (1741, 'D'), (1740, 'C'), (1862, 'D'), (1795, 'C'), (1364, 'B'), (279, 'B'), (189, 'A'), (1360, 'D'), (600, 'B'), (870, 'C'), (1776, 'H'), (1360, 'E'), (1800, 'E1'), (1174, 'C'), (1746, 'C'), (1368, 'B'), (1627, 'C'), (1513, 'B'), (1811, 'E')}",198
Daoortor,1532.0,Yes,"{(1879, 'C'), (1367, 'C')}",2
Priyam_18,1627.0,Yes,"{(1251, 'B'), (507, 'B'), (617, 'B'), (1850, 'F'), (1837, 'D'), (1324, 'D'), (1719, 'C'), (520, 'B'), (1776, 'L'), (1844, 'C'), (1538, 'C'), (1721, 'C'), (1842, 'C'), (25, 'A'), (1759, 'D'), (1618, 'D'), (479, 'C'), (1352, 'E'), (1790, 'E'), (545, 'C'), (1617, 'C'), (451, 'B'), (1285, 'B'), (462, 'B'), (1444, 'A'), (1804, 'C'), (1526, 'C1'), (1698, 'C'), (2, 'A'), (1807, 'E'), (1692, 'G'), (628, 'C'), (1791, 'F'), (1690, 'E'), (1767, 'D'), (1833, 'D'), (1143, 'C'), (1253, 'C'), (576, 'A'), (1847, 'C'), (1350, 'B'), (1725, 'G'), (1585, 'C'), (1714, 'E'), (230, 'B'), (1526, 'B'), (489, 'C'), (1742, 'F'), (1728, 'C'), (1838, 'C'), (760, 'B'), (1809, 'C'), (1864, 'C'), (702, 'C'), (1285, 'C'), (1178, 'C'), (1863, 'D'), (1772, 'D'), (1705, 'C'), (1749, 'C'), (981, 'C'), (1759, 'E'), (816, 'B'), (1696, 'C'), (1840, 'D'), (1692, 'F'), (1272, 'D'), (378, 'B'), (1844, 'D'), (1788, 'C'), (707, 'C'), (1760, 'F'), (1771, 'B'), (1579, 'C'), (1845, 'C'), (580, 'B'), (1775, 'B'), (455, 'A'), (1673, 'C'), (1605, 'C'), (1367, 'C'), (1857, 'E'), (1805, 'C'), (1794, 'C'), (1860, 'C'), (450, 'B'), (1225, 'B2'), (1676, 'H1'), (1684, 'C'), (1872, 'E'), (1792, 'C'), (1487, 'D'), (1553, 'D'), (1753, 'A1'), (930, 'A'), (1744, 'E1'), (1365, 'B'), (1748, 'B'), (1737, 'B'), (1341, 'B'), (1858, 'B'), (550, 'C'), (1486, 'B'), (1701, 'C'), (1294, 'C'), (478, 'B'), (166, 'E'), (810, 'B'), (1669, 'H'), (1201, 'C'), (698, 'A'), (1778, 'B'), (1654, 'C'), (1426, 'D'), (580, 'C'), (924, 'A'), (1735, 'C'), (1621, 'B'), (1542, 'B'), (1703, 'F'), (1733, 'C'), (1322, 'A'), (1682, 'C'), (1814, 'C'), (459, 'B'), (1869, 'C'), (514, 'B'), (1348, 'B'), (401, 'C'), (1697, 'C'), (1312, 'C'), (545, 'D'), (1676, 'F'), (1195, 'C'), (1425, 'F'), (1601, 'A'), (1850, 'G'), (1831, 'C'), (476, 'B'), (363, 'C'), (1521, 'B'), (946, 'C'), (268, 'C'), (1736, 'C1'), (1579, 'D'), (1774, 'B'), (4, 'C'), (1738, 'C'), (955, 'B'), (151, 'C'), (1741, 'D'), (1740, 'C'), (1862, 'D'), (295, 'A'), (279, 'B'), (189, 'A'), (1733, 'D1'), (550, 'A'), (1360, 'D'), (276, 'C'), (600, 'B'), (1624, 'D'), (1612, 'C'), (1691, 'C'), (1291, 'B'), (727, 'C'), (1368, 'B'), (1706, 'C'), (1811, 'E')}",169
chenye3,1548.0,Yes,"{(107, 'A'), (804, 'B'), (982, 'C'), (468, 'A'), (930, 'A'), (821, 'C'), (1774, 'C'), (1101, 'B'), (1270, 'C'), (1748, 'B'), (417, 'A'), (1858, 'B'), (1057, 'B'), (771, 'A'), (1789, 'C'), (445, 'B'), (282, 'B'), (1180, 'B'), (1774, 'B'), (414, 'B'), (1299, 'A'), (1790, 'E'), (572, 'B'), (437, 'C'), (1775, 'B'), (177, 'C1'), (1778, 'B'), (1526, 'C1'), (710, 'C'), (743, 'C'), (34, 'C'), (868, 'C'), (190, 'C'), (1768, 'C'), (356, 'A'), (1791, 'F'), (437, 'B'), (1760, 'F'), (1515, 'C'), (177, 'C2'), (1857, 'D'), (39, 'H'), (1368, 'B'), (455, 'A'), (1857, 'E')}",45
weakestOsuPlayer_244,1767.0,Yes,"{(1391, 'C'), (1789, 'C'), (1538, 'C'), (1352, 'D'), (1617, 'C'), (1606, 'C'), (1285, 'B'), (1710, 'A'), (1538, 'F'), (1676, 'H2'), (1615, 'B'), (1064, 'C'), (1498, 'B'), (358, 'B'), (166, 'C'), (1143, 'C'), (1519, 'C'), (1315, 'B'), (1279, 'C'), (58, 'B'), (1740, 'D'), (87, 'A'), (1492, 'C'), (1754, 'C1'), (1375, 'C'), (911, 'C'), (1178, 'D'), (350, 'B'), (1443, 'C'), (1228, 'B'), (436, 'A'), (425, 'A'), (1800, 'E2'), (1366, 'C'), (1452, 'B'), (1271, 'C'), (1405, 'C'), (437, 'B'), (1771, 'B'), (1579, 'C'), (1857, 'D'), (1473, 'C'), (1269, 'B'), (455, 'A'), (1355, 'D'), (1152, 'B'), (1367, 'C'), (1860, 'C'), (1105, 'C'), (1792, 'C'), (148, 'B'), (1541, 'C'), (1365, 'B'), (1858, 'B'), (1114, 'B'), (863, 'B'), (1385, 'D'), (1374, 'D'), (990, 'C'), (1879, 'C'), (131, 'C'), (1735, 'C'), (1542, 'B'), (1547, 'E'), (402, 'B'), (1195, 'D1'), (1560, 'D'), (1454, 'D'), (855, 'B'), (1348, 'B'), (401, 'C'), (1493, 'B'), (342, 'B'), (546, 'C'), (1312, 'C'), (1195, 'C'), (1659, 'C'), (1263, 'C'), (1408, 'C'), (268, 'C'), (1579, 'D'), (1070, 'F'), (1157, 'C1'), (1462, 'D'), (1313, 'C1'), (1774, 'B'), (1738, 'C'), (180, 'C'), (1795, 'C'), (295, 'A'), (189, 'A'), (1293, 'C'), (1304, 'C'), (1379, 'B'), (1176, 'C'), (977, 'E'), (1354, 'C1'), (1612, 'C'), (1746, 'C'), (1553, 'B'), (1291, 'B'), (1029, 'A'), (1400, 'C'), (1389, 'C'), (1811, 'E'), (1247, 'B2'), (1330, 'B'), (1574, 'C'), (1323, 'C'), (1649, 'B'), (1457, 'C'), (1253, 'B'), (846, 'A'), (1844, 'C'), (1670, 'C'), (1215, 'B'), (1419, 'C'), (858, 'B'), (1003, 'B'), (1555, 'C'), (1487, 'C'), (876, 'D'), (288, 'B'), (1370, 'C'), (985, 'C'), (915, 'B'), (1141, 'C'), (1675, 'E'), (1263, 'D'), (868, 'C'), (1768, 'C'), (1266, 'C'), (1833, 'D'), (191, 'A'), (1825, 'C'), (1847, 'C'), (841, 'C'), (230, 'B'), (1526, 'B'), (1650, 'D'), (1399, 'D'), (1101, 'B'), (1809, 'C'), (1054, 'C'), (1536, 'C'), (1332, 'B'), (588, 'B'), (1296, 'C'), (1285, 'C'), (1863, 'D'), (231, 'B'), (1506, 'D'), (1749, 'C'), (1556, 'B'), (1326, 'D1'), (1217, 'A'), (378, 'B'), (1844, 'D'), (1326, 'C'), (1471, 'C'), (523, 'B'), (1846, 'E1'), (1684, 'C'), (1673, 'C'), (282, 'C'), (1363, 'B'), (1732, 'D1'), (920, 'C'), (1487, 'D'), (1141, 'D'), (1180, 'B'), (610, 'B'), (1393, 'B'), (1201, 'C'), (253, 'B'), (1506, 'E'), (1839, 'C'), (699, 'C'), (437, 'C'), (1490, 'F'), (1316, 'B'), (1654, 'C'), (1461, 'B'), (1547, 'D'), (1296, 'D'), (1733, 'C'), (1220, 'C'), (1869, 'C'), (1676, 'F'), (1850, 'G'), (1831, 'C'), (1820, 'C'), (1627, 'B'), (1569, 'C'), (1521, 'B'), (1736, 'C1'), (388, 'A'), (893, 'C'), (332, 'B'), (630, 'K'), (1741, 'D'), (961, 'C'), (1823, 'C'), (602, 'B'), (1368, 'B'), (304, 'C'), (1850, 'F'), (1236, 'B'), (1629, 'C'), (1774, 'C'), (1534, 'C'), (1668, 'C'), (1453, 'B'), (1283, 'C'), (1417, 'C'), (1419, 'D2'), (650, 'A'), (1842, 'C'), (1591, 'C'), (1618, 'D'), (1607, 'D'), (479, 'C'), (1790, 'E'), (1754, 'C2'), (1804, 'C'), (1675, 'D'), (1526, 'C1'), (1494, 'B'), (1447, 'C'), (825, 'D'), (190, 'C'), (1490, 'E'), (1766, 'C'), (1515, 'C'), (1660, 'C'), (1649, 'C'), (520, 'C'), (1253, 'C'), (1194, 'B'), (1350, 'B'), (954, 'B'), (703, 'B'), (1728, 'C'), (1466, 'C'), (1418, 'B'), (1215, 'C'), (1407, 'B'), (1371, 'C'), (1520, 'E'), (1864, 'C'), (1602, 'C'), (1003, 'C'), (799, 'B'), (1679, 'C'), (1380, 'B'), (1826, 'C'), (1245, 'C'), (1272, 'D'), (888, 'C'), (1433, 'E'), (1788, 'C'), (277, 'A'), (1420, 'C1'), (1207, 'C'), (847, 'A'), (1845, 'C'), (1101, 'C'), (1775, 'B'), (1786, 'B'), (1379, 'A'), (384, 'B'), (1332, 'C'), (1284, 'B'), (278, 'B'), (1553, 'D'), (1382, 'C1'), (1818, 'C'), (1748, 'B'), (1737, 'B'), (1341, 'B'), (1486, 'B'), (1294, 'C'), (550, 'C'), (934, 'A'), (1515, 'D'), (1282, 'B1'), (821, 'B'), (1373, 'C'), (1362, 'C'), (1158, 'A'), (1669, 'H'), (1459, 'B'), (501, 'C'), (1208, 'B'), (1401, 'C'), (1851, 'E'), (1778, 'B'), (1661, 'B'), (1265, 'B'), (1614, 'C'), (1634, 'B'), (1551, 'B2'), (1238, 'B'), (1372, 'B'), (1180, 'C'), (1325, 'C'), (1750, 'C'), (1178, 'B'), (1676, 'G'), (1461, 'C'), (959, 'C'), (1093, 'C'), (900, 'B'), (1559, 'D1'), (1287, 'B'), (1364, 'B'), (416, 'A'), (1733, 'D1'), (1810, 'C'), (1066, 'C'), (1360, 'E'), (1800, 'E1'), (1624, 'D'), (1867, 'C'), (1627, 'C'), (1761, 'C'), (515, 'C'), (1837, 'D'), (1335, 'D'), (1324, 'D'), (340, 'D'), (1279, 'B'), (22, 'B'), (1462, 'E1'), (1646, 'C'), (255, 'C'), (1551, 'C'), (389, 'C'), (185, 'A'), (330, 'B'), (545, 'C'), (1101, 'E'), (1764, 'C'), (1368, 'C'), (1647, 'C'), (891, 'A'), (1443, 'B'), (1807, 'E'), (1791, 'F'), (1690, 'E'), (1821, 'C'), (1366, 'B'), (430, 'C'), (204, 'A'), (371, 'B'), (1475, 'C'), (313, 'C'), (1260, 'B'), (1609, 'C'), (1271, 'B'), (962, 'C'), (584, 'B'), (1328, 'B'), (1484, 'B'), (1270, 'C'), (35, 'C'), (553, 'A'), (1243, 'C'), (1870, 'C'), (630, 'H'), (1840, 'D'), (1445, 'C'), (1250, 'H'), (837, 'C'), (441, 'C'), (1418, 'C'), (1857, 'E'), (1805, 'C'), (1794, 'C'), (1183, 'D'), (409, 'H'), (152, 'C'), (1855, 'C1'), (1380, 'C'), (1369, 'C'), (518, 'B'), (1059, 'B'), (1552, 'B'), (557, 'B'), (1301, 'B'), (1200, 'C'), (1080, 'C'), (876, 'B'), (1562, 'C'), (1311, 'C'), (1851, 'D'), (1659, 'B'), (1263, 'B'), (1408, 'B'), (1546, 'C'), (1535, 'C'), (144, 'C'), (1621, 'B'), (1440, 'C1'), (1110, 'C'), (1737, 'C'), (404, 'B'), (1341, 'C'), (1187, 'B'), (1816, 'C'), (1197, 'C'), (946, 'C'), (1594, 'E1'), (1167, 'D'), (1156, 'A'), (1409, 'D'), (1421, 'C'), (1070, 'H'), (1740, 'C'), (229, 'A'), (1862, 'D'), (1611, 'D'), (1360, 'D'), (1372, 'C'), (1157, 'B'), (1451, 'C'), (1189, 'C'), (182, 'D')}",428
Oubaitori,1754.0,Yes,"{(1216, 'D'), (617, 'B'), (1249, 'B2'), (1789, 'C'), (1538, 'C'), (1721, 'C'), (1759, 'D'), (1352, 'D'), (1285, 'B'), (1249, 'C1'), (1538, 'F'), (1676, 'H2'), (1615, 'B'), (1064, 'C'), (224, 'B'), (456, 'C'), (1767, 'D'), (1711, 'B'), (320, 'B'), (58, 'B'), (1740, 'D'), (1838, 'C'), (1754, 'C1'), (1742, 'G'), (1422, 'B'), (282, 'B'), (1375, 'C'), (1705, 'C'), (1694, 'C'), (1443, 'C'), (1228, 'B'), (1759, 'E'), (1800, 'E2'), (251, 'A'), (1762, 'C'), (1463, 'B'), (312, 'B'), (1201, 'B'), (1189, 'C'), (448, 'B'), (437, 'B'), (1771, 'B'), (1857, 'D'), (1077, 'C'), (455, 'A'), (1355, 'D'), (1367, 'C'), (1792, 'C'), (930, 'A'), (1744, 'E1'), (1365, 'B'), (1114, 'B'), (478, 'B'), (690, 'F1'), (1374, 'D'), (1037, 'A'), (1879, 'C'), (1203, 'C'), (1108, 'C'), (1735, 'C'), (1547, 'E'), (1560, 'D'), (710, 'B'), (1454, 'D'), (855, 'B'), (459, 'B'), (437, 'A'), (1348, 'B'), (1697, 'C'), (546, 'C'), (1312, 'C'), (545, 'D'), (1321, 'B'), (1659, 'C'), (519, 'C'), (268, 'C'), (1774, 'B'), (1738, 'C'), (26, 'B'), (1795, 'C'), (284, 'A'), (922, 'A'), (189, 'A'), (276, 'C'), (1379, 'B'), (1612, 'C'), (1291, 'B'), (1651, 'C'), (1811, 'E'), (1400, 'C'), (1389, 'C'), (1029, 'A'), (1330, 'B'), (1574, 'C'), (1649, 'B'), (520, 'B'), (1844, 'C'), (25, 'A'), (1419, 'C'), (1215, 'B'), (702, 'B'), (451, 'B'), (1003, 'B'), (1555, 'C'), (1370, 'C'), (1675, 'E'), (868, 'C'), (1768, 'C'), (1692, 'G'), (1266, 'C'), (1833, 'D'), (877, 'B'), (1825, 'C'), (1847, 'C'), (230, 'B'), (1526, 'B'), (1101, 'B'), (1809, 'C'), (298, 'A'), (1203, 'E'), (588, 'B'), (1332, 'B'), (1285, 'C'), (1237, 'B'), (1169, 'B'), (1604, 'C'), (1749, 'C'), (1556, 'B'), (416, 'B'), (620, 'C'), (550, 'B'), (1692, 'F'), (1217, 'A'), (1326, 'C'), (1844, 'D'), (1471, 'C'), (1256, 'B'), (1760, 'F'), (1846, 'E1'), (279, 'A'), (580, 'B'), (1673, 'C'), (1684, 'C'), (1062, 'A'), (282, 'C'), (1037, 'C'), (1363, 'B'), (1732, 'D1'), (1872, 'E'), (1141, 'D'), (1180, 'B'), (988, 'C'), (1839, 'C'), (1095, 'C'), (1654, 'C'), (1461, 'B'), (1547, 'D'), (1296, 'D'), (1703, 'F'), (1733, 'C'), (1278, 'B'), (1638, 'C'), (1365, 'C'), (1234, 'B2'), (1869, 'C'), (514, 'B'), (358, 'A'), (612, 'C'), (1676, 'F'), (1850, 'G'), (1831, 'C'), (1820, 'C'), (1627, 'B'), (476, 'B'), (1736, 'C1'), (940, 'B'), (4, 'C'), (893, 'C'), (1038, 'C'), (1741, 'D'), (977, 'D'), (1133, 'D'), (1823, 'C'), (1368, 'B'), (1706, 'C'), (1251, 'B'), (304, 'C'), (507, 'B'), (1850, 'F'), (1629, 'C'), (1774, 'C'), (1007, 'A'), (1668, 'C'), (1283, 'C'), (1166, 'C'), (1842, 'C'), (1591, 'C'), (1607, 'D'), (1618, 'D'), (1234, 'C'), (479, 'C'), (1790, 'E'), (612, 'A'), (1196, 'D1'), (1675, 'D'), (1526, 'C1'), (1698, 'C'), (1447, 'C'), (1196, 'C'), (1766, 'C'), (1649, 'C'), (1660, 'C'), (1194, 'B'), (1714, 'E'), (1728, 'C'), (1717, 'C'), (1466, 'C'), (1407, 'B'), (1371, 'C'), (1108, 'D'), (1864, 'C'), (509, 'B'), (1602, 'C'), (991, 'D'), (1003, 'C'), (799, 'B'), (1380, 'B'), (1826, 'C'), (1272, 'D'), (1433, 'E'), (1788, 'C'), (1573, 'B'), (277, 'A'), (1420, 'C1'), (1845, 'C'), (1786, 'B'), (1605, 'C'), (1775, 'B'), (1379, 'A'), (1332, 'C'), (289, 'B'), (1382, 'C1'), (1110, 'B'), (1818, 'C'), (1748, 'B'), (1737, 'B'), (1341, 'B'), (1701, 'C'), (1294, 'C'), (357, 'B'), (1043, 'C'), (1722, 'G'), (1352, 'F'), (1282, 'B1'), (1758, 'C'), (1362, 'C'), (1373, 'C'), (1147, 'A'), (570, 'B'), (1669, 'H'), (1208, 'B'), (1401, 'C'), (1005, 'C'), (1851, 'E'), (1778, 'B'), (220, 'A'), (580, 'C'), (1661, 'B'), (510, 'B'), (713, 'A'), (1614, 'C'), (1682, 'C'), (1634, 'B'), (1551, 'B2'), (1238, 'B'), (1372, 'B'), (1325, 'C'), (1750, 'C'), (1644, 'C'), (1676, 'G'), (771, 'A'), (192, 'A'), (493, 'B'), (670, 'D1'), (1545, 'A'), (1364, 'B'), (416, 'A'), (550, 'A'), (1733, 'D1'), (1102, 'B'), (1113, 'B'), (1066, 'C'), (600, 'B'), (1360, 'E'), (1800, 'E1'), (1867, 'C'), (1627, 'C'), (515, 'C'), (1837, 'D'), (1335, 'D'), (1324, 'D'), (1776, 'L'), (1462, 'E1'), (1352, 'E'), (352, 'B'), (330, 'B'), (1101, 'E'), (486, 'B'), (1829, 'F'), (997, 'A'), (1647, 'C'), (891, 'A'), (1443, 'B'), (1807, 'E'), (1213, 'D1'), (1791, 'F'), (1690, 'E'), (1821, 'C'), (1726, 'C'), (1475, 'C'), (1260, 'B'), (1609, 'C'), (1742, 'F'), (1328, 'B'), (1270, 'C'), (709, 'B'), (469, 'B'), (1163, 'B1'), (1772, 'D'), (1870, 'C'), (1696, 'C'), (1840, 'D'), (1445, 'C'), (1397, 'B'), (1194, 'C'), (1873, 'G'), (1339, 'C'), (1857, 'E'), (1805, 'C'), (1794, 'C'), (665, 'C'), (409, 'H'), (450, 'B'), (1676, 'H1'), (1183, 'D'), (1369, 'C'), (1552, 'B'), (808, 'B'), (1851, 'D'), (1659, 'B'), (508, 'B'), (1873, 'F'), (1476, 'B'), (144, 'C'), (1110, 'C'), (1628, 'A'), (538, 'B'), (1427, 'B'), (276, 'B'), (1187, 'B'), (1816, 'C'), (1594, 'E1'), (1061, 'B'), (1100, 'B'), (598, 'B'), (1740, 'C'), (1611, 'D'), (279, 'B'), (1360, 'D'), (1157, 'B'), (1776, 'H'), (1555, 'B'), (1691, 'C'), (1451, 'C'), (1200, 'C')}",375
shivamss,1646.0,Yes,"{(507, 'B'), (617, 'B'), (515, 'C'), (1837, 'D'), (1574, 'C'), (1335, 'D'), (1719, 'C'), (1324, 'D'), (1007, 'A'), (520, 'B'), (1776, 'L'), (1773, 'E'), (1789, 'C'), (740, 'A'), (1844, 'C'), (1279, 'B'), (1538, 'C'), (1721, 'C'), (1842, 'C'), (25, 'A'), (1759, 'D'), (1618, 'D'), (1352, 'E'), (479, 'C'), (545, 'C'), (352, 'B'), (1285, 'B'), (1555, 'C'), (1804, 'C'), (1526, 'C1'), (1807, 'E'), (1768, 'C'), (1692, 'G'), (1490, 'E'), (479, 'B'), (1791, 'F'), (1766, 'C'), (1833, 'D'), (1821, 'C'), (1515, 'C'), (1119, 'B'), (1276, 'A'), (1320, 'A'), (371, 'B'), (1350, 'B'), (1714, 'E'), (1765, 'N'), (230, 'B'), (1526, 'B'), (489, 'C'), (1728, 'C'), (1838, 'C'), (1328, 'B'), (1371, 'C'), (1108, 'D'), (1520, 'E'), (1754, 'C1'), (588, 'B'), (271, 'B'), (1285, 'C'), (1375, 'C'), (1679, 'C'), (1506, 'D'), (1772, 'D'), (1749, 'C'), (260, 'A'), (1826, 'C'), (1800, 'E2'), (1245, 'C'), (1840, 'D'), (251, 'A'), (1463, 'B'), (1844, 'D'), (1788, 'C'), (441, 'C'), (1470, 'A'), (1846, 'E1'), (1420, 'C1'), (1771, 'B'), (1845, 'C'), (455, 'A'), (1355, 'D'), (1794, 'C'), (1037, 'C'), (1805, 'C'), (289, 'B'), (1811, 'E'), (1792, 'C'), (1369, 'C'), (1819, 'A'), (679, 'A'), (1380, 'C'), (1365, 'B'), (1486, 'B'), (1294, 'C'), (550, 'C'), (1701, 'C'), (573, 'A'), (478, 'B'), (1758, 'C'), (570, 'B'), (1201, 'C'), (962, 'A'), (1839, 'C'), (508, 'B'), (698, 'A'), (1778, 'B'), (220, 'A'), (580, 'C'), (1661, 'B'), (1733, 'C'), (1365, 'C'), (1815, 'A'), (1814, 'C'), (459, 'B'), (538, 'B'), (1372, 'B'), (1348, 'B'), (401, 'C'), (276, 'B'), (545, 'D'), (1195, 'C'), (1817, 'A'), (1178, 'B'), (1831, 'C'), (1820, 'C'), (476, 'B'), (363, 'C'), (1659, 'C'), (519, 'C'), (1736, 'C1'), (1323, 'B'), (4, 'C'), (1774, 'B'), (893, 'C'), (670, 'D1'), (670, 'D2'), (598, 'B'), (1063, 'A'), (1364, 'B'), (279, 'B'), (550, 'A'), (1733, 'D1'), (189, 'A'), (987, 'C'), (1810, 'C'), (276, 'C'), (922, 'A'), (600, 'B'), (977, 'E'), (1360, 'E'), (991, 'C'), (1354, 'C1'), (1800, 'E1'), (1823, 'C'), (558, 'B'), (1706, 'C'), (1029, 'A')}",158
