contestId,index,solvedCount
1887,F,56
1887,E,128
1887,D,443
1887,C,899
1887,B,1612
1886,F,98
1886,E,1002
1886,D,2638
1886,C,7693
1886,B,11999
1886,A,20296
1884,E,123
1884,D,1646
1884,C,3509
1884,B,8411
1884,A,12599
1883,G2,3103
1883,G1,5300
1883,F,4442
1883,E,4137
1883,D,5880
1883,C,13982
1883,B,16491
1883,A,16908
1882,E2,207
1882,E1,776
1882,D,3966
1882,C,9075
1882,B,11870
1882,A,21447
1881,G,1589
1881,F,4111
1881,E,8082
1881,D,10154
1881,C,12104
1881,B,18695
1881,A,20660
1879,F,384
1879,E,989
1879,D,5249
1879,C,11944
1879,B,17912
1879,A,19455
1878,G,841
1878,F,2931
1878,E,8620
1878,D,5966
1878,C,22178
1878,B,26173
1878,A,31150
1877,C,7604
1877,A,13161
1876,G,42
1876,F,35
1876,E,146
1876,D,620
1876,C,1723
1876,B,5693
1876,A,10611
1875,D,5426
1875,C,8684
1875,A,16658
1874,G,35
1874,F,77
1874,E,179
1874,D,495
1874,C,1235
1874,B,880
1874,A,12985
1873,H,4947
1873,G,8805
1873,F,10644
1873,E,17535
1873,D,26698
1873,C,27124
1873,B,34563
1873,A,37148
1872,G,3279
1872,F,4746
1872,E,9711
1872,D,16971
1872,C,19148
1872,B,23666
1872,A,32824
1870,H,51
1870,G,147
1870,F,380
1870,E,1869
1870,D,5470
1870,C,9117
1870,B,11420
1870,A,16976
1869,B,12000
1869,A,14783
1868,F,41
1868,E,52
1868,D,197
1868,C,923
1868,B2,1983
1868,B1,5484
1868,A,9625
1867,F,332
1867,E2,2567
1867,E1,3030
1867,D,4537
1867,C,9436
1867,B,13746
1867,A,17502
1866,M,562
1866,L,574
1866,K,326
1866,J,201
1866,I,557
1866,H,1329
1866,G,1267
1866,F,88
1866,E,206
1866,D,991
1866,C,2528
1866,B,5943
1866,A,12833
1864,I,62
1864,H,214
1864,G,221
1864,F,1145
1864,E,2241
1864,D,5656
1864,C,11021
1864,B,13385
1864,A,18495
1863,I,53
1863,H,54
1863,G,427
1863,F,856
1863,E,2341
1863,D,7698
1863,C,11810
1863,B,12821
1863,A,15995
1862,G,2214
1862,F,4684
1862,E,8084
1862,D,14085
1862,C,17530
1862,B,24445
1862,A,27409
1861,F,98
1861,E,1403
1861,D,5149
1861,C,8062
1861,B,17490
1861,A,21239
1860,F,230
1860,E,1106
1860,D,2401
1860,C,10682
1860,B,13885
1860,A,18871
1859,F,320
1859,E,1516
1859,D,5820
1859,C,14864
1859,B,20730
1859,A,25667
1858,E2,854
1858,E1,1101
1858,D,2389
1858,C,19880
1858,B,9446
1858,A,29181
1857,G,3527
1857,F,8838
1857,E,10007
1857,D,15714
1857,C,19476
1857,B,20349
1857,A,37566
1856,E2,1122
1856,E1,4224
1856,D,2775
1856,C,9448
1856,B,20799
1856,A,24244
1855,B,20424
1855,A,25458
1854,F,85
1854,E,332
1854,D,411
1854,C,1233
1854,B,2971
1854,A2,6050
1854,A1,12047
1853,B,14831
1853,A,23895
1852,F,81
1852,E,130
1852,D,375
1852,C,1265
1852,B,3546
1852,A,6625
1851,G,2474
1851,F,4490
1851,E,7968
1851,D,12682
1851,C,19878
1851,B,25394
1851,A,26741
1850,H,6267
1850,G,9374
1850,F,14339
1850,E,17644
1850,D,26503
1850,C,34643
1850,B,35087
1850,A,40883
1849,F,513
1849,E,1266
1849,D,6747
1849,C,8513
1849,B,19061
1849,A,25155
1848,F,1278
1848,E,659
1848,D,2271
1848,C,5288
1848,B,11446
1848,A,14895
1847,F,760
1847,E,289
1847,D,3243
1847,C,10986
1847,B,17269
1847,A,20635
1846,G,3573
