Handle,Max Rating_x,Result,Solved Problems,Problem Count
FastFreeTask,2927.0,Yes,"{(1693, 'A'), (1823, 'C'), (1684, 'C'), (1753, 'A2'), (1740, 'D'), (1717, 'C'), (1644, 'C'), (1661, 'B'), (1618, 'D'), (1868, 'A'), (1870, 'C'), (1776, 'H'), (1675, 'D'), (1804, 'C'), (1817, 'A'), (1740, 'C'), (1830, 'A'), (1753, 'A1'), (1810, 'C')}",19
xukai,2821.0,Yes,"{(1854, 'A1'), (1638, 'C'), (1627, 'C'), (1774, 'B'), (1753, 'A2'), (1774, 'C'), (1863, 'D'), (1842, 'C'), (1824, 'A'), (1868, 'A'), (521, 'A'), (1870, 'C'), (1738, 'C'), (1804, 'C'), (1696, 'C'), (1817, 'A'), (1654, 'C'), (1830, 'A'), (1819, 'A'), (1627, 'B'), (1753, 'A1'), (1614, 'C'), (1810, 'C')}",23
tokusakurai,2898.0,Yes,"{(1517, 'C'), (1515, 'C'), (1326, 'D1'), (1726, 'C'), (1332, 'C'), (1847, 'C'), (1519, 'C'), (1609, 'C'), (425, 'A'), (1866, 'B'), (438, 'A'), (528, 'A'), (504, 'A'), (1494, 'B'), (1492, 'C'), (1354, 'C1'), (1338, 'A'), (1371, 'C'), (1375, 'C'), (413, 'B'), (1506, 'D'), (1470, 'A'), (1373, 'C'), (1879, 'C'), (1340, 'A'), (1439, 'A1'), (1540, 'A'), (455, 'A'), (1379, 'A'), (413, 'C'), (1696, 'C'), (468, 'A'), (1445, 'C'), (1844, 'D'), (1830, 'A'), (1819, 'A'), (1418, 'B'), (1407, 'B'), (494, 'A'), (1422, 'B'), (1854, 'A1'), (1419, 'D2'), (1418, 'C'), (1355, 'D'), (1845, 'C'), (1473, 'C'), (1380, 'B'), (1684, 'C'), (1556, 'B'), (1553, 'D'), (1740, 'D'), (1380, 'C'), (1369, 'C'), (1307, 'B'), (1569, 'C'), (1463, 'B'), (1452, 'B'), (1515, 'D'), (356, 'A'), (1307, 'C'), (1348, 'B'), (1775, 'B'), (1401, 'C'), (1363, 'B'), (1817, 'A'), (1776, 'L'), (1654, 'C'), (1667, 'A'), (516, 'A'), (1737, 'B'), (1614, 'C'), (1535, 'C'), (1365, 'B'), (1486, 'B'), (1552, 'B'), (388, 'A'), (1737, 'C'), (1365, 'C'), (414, 'B'), (1559, 'D1'), (1393, 'B'), (403, 'A'), (1753, 'A2'), (1408, 'B'), (1487, 'D'), (1750, 'C'), (1499, 'C'), (1461, 'B'), (1516, 'B'), (1844, 'C'), (1420, 'C1'), (354, 'A'), (1476, 'B'), (1555, 'B'), (1542, 'B'), (1621, 'B'), (1408, 'C'), (1558, 'A'), (1461, 'C'), (1824, 'A'), (1368, 'B'), (367, 'A'), (1738, 'C'), (1628, 'A'), (1421, 'C'), (1322, 'A'), (1555, 'C'), (1372, 'B'), (1427, 'B'), (1740, 'C'), (1368, 'C'), (1426, 'D'), (1601, 'A'), (1372, 'C'), (1810, 'C'), (1416, 'A'), (1548, 'A'), (1603, 'A'), (1746, 'C'), (1693, 'A'), (1451, 'C'), (1774, 'B'), (1651, 'C'), (1761, 'C'), (1389, 'C'), (1400, 'C'), (1446, 'A'), (1575, 'J'), (1574, 'C'), (414, 'A'), (1615, 'B'), (1774, 'C'), (1864, 'C'), (480, 'A'), (1710, 'A'), (1534, 'C'), (1457, 'C'), (1404, 'A'), (1391, 'C'), (418, 'A'), (429, 'A'), (1364, 'B'), (1379, 'B'), (1436, 'C'), (1366, 'B'), (521, 'A'), (497, 'A'), (1870, 'C'), (1553, 'B'), (1320, 'A'), (1776, 'H'), (1419, 'C'), (1366, 'C'), (1804, 'C'), (1487, 'C'), (1326, 'C'), (1370, 'C'), (1753, 'A1'), (1381, 'A1'), (1332, 'B'), (1506, 'E'), (1453, 'B')}",162
YocyCraft,2739.0,Yes,"{(1768, 'C'), (1851, 'E'), (1517, 'C'), (1833, 'D'), (1766, 'C'), (1821, 'C'), (1515, 'C'), (1829, 'F'), (1726, 'C'), (1860, 'C'), (1847, 'C'), (1215, 'B'), (1526, 'C1'), (1609, 'C'), (1538, 'F'), (1728, 'C'), (1744, 'E1'), (1466, 'C'), (1838, 'C'), (1866, 'B'), (1809, 'C'), (1492, 'C'), (1536, 'C'), (1863, 'D'), (1470, 'A'), (1722, 'G'), (1772, 'D'), (1879, 'C'), (1868, 'A'), (1540, 'A'), (1630, 'A'), (1705, 'C'), (1732, 'D1'), (1839, 'C'), (1826, 'C'), (1749, 'C'), (1526, 'B'), (1840, 'D'), (1696, 'C'), (1762, 'C'), (1844, 'D'), (1830, 'A'), (1819, 'A'), (1858, 'B'), (1788, 'C'), (1846, 'E1'), (1854, 'A1'), (1767, 'D'), (1873, 'G'), (1473, 'C'), (1845, 'C'), (1673, 'C'), (1684, 'C'), (1739, 'C'), (1765, 'N'), (1805, 'C'), (1794, 'C'), (1765, 'K'), (1553, 'D'), (1792, 'C'), (1740, 'D'), (1811, 'E'), (1452, 'B'), (1463, 'B'), (1791, 'F'), (1515, 'D'), (1771, 'B'), (1758, 'C'), (1851, 'D'), (1815, 'A'), (1786, 'B'), (1562, 'C'), (1775, 'B'), (1742, 'F'), (569, 'A'), (1817, 'A'), (1776, 'L'), (1654, 'C'), (1790, 'E'), (1535, 'C'), (1737, 'B'), (1748, 'B'), (1735, 'C'), (1800, 'E1'), (1733, 'C'), (1638, 'C'), (1682, 'C'), (1873, 'F'), (1737, 'C'), (1814, 'C'), (1559, 'D1'), (1807, 'E'), (1697, 'C'), (1753, 'A2'), (1487, 'D'), (1733, 'D1'), (1750, 'C'), (1778, 'B'), (1461, 'B'), (1545, 'A'), (1516, 'B'), (1844, 'C'), (1760, 'F'), (1555, 'B'), (1542, 'B'), (1462, 'E1'), (1850, 'G'), (1594, 'E1'), (1646, 'C'), (1558, 'A'), (1461, 'C'), (1824, 'A'), (1738, 'C'), (1628, 'A'), (1555, 'C'), (1862, 'D'), (1466, 'D'), (1740, 'C'), (1736, 'C1'), (1795, 'C'), (1601, 'A'), (1810, 'C'), (1759, 'E'), (1548, 'A'), (1691, 'C'), (1603, 'A'), (1693, 'A'), (1746, 'C'), (1451, 'C'), (1823, 'C'), (1867, 'C'), (1561, 'C'), (1774, 'B'), (1761, 'C'), (1837, 'D'), (1800, 'E2'), (1719, 'C'), (1774, 'C'), (1864, 'C'), (1468, 'C'), (1534, 'C'), (1789, 'C'), (1872, 'E'), (1721, 'C'), (1759, 'D'), (1742, 'G'), (1842, 'C'), (1670, 'C'), (1850, 'F'), (1553, 'B'), (1648, 'A'), (1870, 'C'), (1776, 'H'), (1804, 'C'), (1741, 'D'), (1487, 'C'), (1698, 'C'), (1764, 'C'), (1647, 'C')}",159
elycx,2880.0,Yes,"{(1854, 'A1'), (1693, 'A'), (1326, 'D1'), (1774, 'B'), (1684, 'C'), (1559, 'D1'), (1609, 'C'), (1574, 'C'), (1774, 'C'), (1864, 'C'), (1844, 'C'), (1863, 'D'), (1542, 'B'), (1842, 'C'), (1824, 'A'), (1648, 'A'), (1179, 'A'), (1815, 'A'), (1844, 'D'), (1830, 'A'), (1667, 'A')}",21
AmirAli-Asgari,2660.0,Yes,"{(1754, 'C2'), (553, 'A'), (1768, 'C'), (22, 'B'), (1766, 'C'), (1821, 'C'), (1605, 'C'), (1649, 'C'), (1660, 'C'), (1726, 'C'), (1860, 'C'), (1847, 'C'), (1650, 'D'), (1717, 'C'), (1838, 'C'), (1809, 'C'), (1863, 'D'), (35, 'C'), (1679, 'C'), (1772, 'D'), (1879, 'C'), (1868, 'A'), (1604, 'C'), (1705, 'C'), (1732, 'D1'), (455, 'A'), (1839, 'C'), (1826, 'C'), (1749, 'C'), (1711, 'B'), (1694, 'C'), (1696, 'C'), (1762, 'C'), (1844, 'D'), (1830, 'A'), (1819, 'A'), (1858, 'B'), (1711, 'C'), (1788, 'C'), (1845, 'C'), (1158, 'A'), (1684, 'C'), (1673, 'C'), (1739, 'C'), (1805, 'C'), (1794, 'C'), (1792, 'C'), (1740, 'D'), (1701, 'C'), (356, 'A'), (1771, 'B'), (1758, 'C'), (1815, 'A'), (1775, 'B'), (1363, 'B'), (1754, 'C1'), (1817, 'A'), (1627, 'B'), (1748, 'B'), (1737, 'B'), (1614, 'C'), (1733, 'C'), (1627, 'C'), (1682, 'C'), (1737, 'C'), (1649, 'B'), (1814, 'C'), (1675, 'E'), (414, 'B'), (198, 'B'), (1697, 'C'), (1753, 'A2'), (1659, 'B'), (1733, 'D1'), (1750, 'C'), (1644, 'C'), (1461, 'B'), (1714, 'E'), (1844, 'C'), (1661, 'B'), (1659, 'C'), (1646, 'C'), (1461, 'C'), (1824, 'A'), (4, 'C'), (1617, 'C'), (1628, 'A'), (1634, 'B'), (459, 'B'), (1740, 'C'), (1736, 'C1'), (1795, 'C'), (1810, 'C'), (1691, 'C'), (1746, 'C'), (234, 'C'), (1823, 'C'), (1867, 'C'), (1774, 'B'), (1651, 'C'), (1706, 'C'), (1761, 'C'), (451, 'B'), (1837, 'D'), (332, 'B'), (26, 'B'), (1725, 'G'), (1774, 'C'), (1864, 'C'), (1668, 'C'), (1789, 'C'), (1721, 'C'), (1842, 'C'), (1670, 'C'), (1870, 'C'), (479, 'C'), (1675, 'D'), (1804, 'C'), (1698, 'C'), (1764, 'C'), (1753, 'A1'), (520, 'B'), (1647, 'C')}",123
paul2008,2655.0,Yes,"{(1854, 'A1'), (1693, 'A'), (1649, 'C'), (1649, 'B'), (1182, 'B'), (1673, 'C'), (1753, 'A2'), (1750, 'C'), (1574, 'C'), (1864, 'C'), (1016, 'B'), (1863, 'D'), (1256, 'B'), (1621, 'B'), (1842, 'C'), (1679, 'C'), (1670, 'C'), (1824, 'A'), (1868, 'A'), (1648, 'A'), (1870, 'C'), (1630, 'A'), (1815, 'A'), (1749, 'C'), (1617, 'C'), (1009, 'B'), (1696, 'C'), (1654, 'C'), (1830, 'A'), (1819, 'A'), (1764, 'C'), (1753, 'A1'), (1667, 'A'), (1810, 'C')}",34
StarSilk,2649.0,Yes,"{(1768, 'C'), (1851, 'E'), (1517, 'C'), (1833, 'D'), (1766, 'C'), (1821, 'C'), (1605, 'C'), (1829, 'F'), (1692, 'G'), (1726, 'C'), (1860, 'C'), (1847, 'C'), (1526, 'C1'), (1609, 'C'), (1728, 'C'), (1744, 'E1'), (1717, 'C'), (1838, 'C'), (1866, 'B'), (1809, 'C'), (1338, 'A'), (1857, 'E'), (1863, 'D'), (1498, 'B'), (1722, 'G'), (1772, 'D'), (1879, 'C'), (1868, 'A'), (1540, 'A'), (1630, 'A'), (1732, 'D1'), (1749, 'C'), (1839, 'C'), (1826, 'C'), (1526, 'B'), (1840, 'D'), (1696, 'C'), (1762, 'C'), (1844, 'D'), (1819, 'A'), (1830, 'A'), (1858, 'B'), (1788, 'C'), (960, 'B'), (1846, 'E1'), (1854, 'A1'), (1857, 'D'), (1873, 'G'), (1767, 'D'), (1845, 'C'), (1312, 'C'), (1765, 'K'), (1765, 'N'), (1739, 'C'), (1794, 'C'), (1805, 'C'), (1673, 'C'), (1553, 'D'), (1792, 'C'), (1740, 'D'), (1811, 'E'), (1701, 'C'), (1791, 'F'), (1676, 'G'), (1771, 'B'), (1758, 'C'), (1773, 'E'), (1851, 'D'), (1815, 'A'), (1786, 'B'), (1775, 'B'), (1742, 'F'), (1201, 'C'), (1776, 'L'), (1817, 'A'), (1769, 'B2'), (1654, 'C'), (1627, 'B'), (1790, 'E'), (1748, 'B'), (1737, 'B'), (1735, 'C'), (1552, 'B'), (1800, 'E1'), (1733, 'C'), (1627, 'C'), (1638, 'C'), (1676, 'H2'), (1873, 'F'), (1737, 'C'), (1814, 'C'), (1676, 'H1'), (1807, 'E'), (1649, 'B'), (1697, 'C'), (1753, 'A2'), (1659, 'B'), (1692, 'F'), (1733, 'D1'), (1750, 'C'), (1778, 'B'), (1714, 'E'), (1844, 'C'), (1661, 'B'), (1008, 'C'), (1659, 'C'), (1760, 'F'), (1579, 'D'), (1542, 'B'), (1621, 'B'), (1408, 'C'), (1850, 'G'), (1594, 'E1'), (1824, 'A'), (1617, 'C'), (1606, 'C'), (1738, 'C'), (1628, 'A'), (1634, 'B'), (976, 'B'), (1493, 'B'), (1862, 'D'), (1740, 'C'), (1736, 'C1'), (1795, 'C'), (1601, 'A'), (976, 'C'), (1810, 'C'), (1759, 'E'), (1521, 'B'), (1769, 'C2'), (1612, 'C'), (1691, 'C'), (1603, 'A'), (1693, 'A'), (1746, 'C'), (1823, 'C'), (1867, 'C'), (1585, 'C'), (1774, 'B'), (1706, 'C'), (1400, 'C'), (1761, 'C'), (1837, 'D'), (1725, 'G'), (1800, 'E2'), (1574, 'C'), (1615, 'B'), (1864, 'C'), (1710, 'A'), (1774, 'C'), (1703, 'F'), (1789, 'C'), (1872, 'E'), (1721, 'C'), (1759, 'D'), (1742, 'G'), (1842, 'C'), (1670, 'C'), (1850, 'F'), (1553, 'B'), (1648, 'A'), (1870, 'C'), (1776, 'H'), (1676, 'F'), (868, 'B'), (1804, 'C'), (1741, 'D'), (1764, 'C'), (1370, 'C'), (1753, 'A1'), (1647, 'C'), (868, 'C')}",173
do_while_true,2560.0,Yes,"{(1077, 'C'), (1605, 'C'), (1475, 'C'), (1526, 'C1'), (1399, 'D'), (1717, 'C'), (1728, 'C'), (1466, 'C'), (1494, 'B'), (1573, 'B'), (1415, 'C'), (1492, 'C'), (1863, 'D'), (1443, 'B'), (1498, 'B'), (1375, 'C'), (1506, 'D'), (1470, 'A'), (1679, 'C'), (1373, 'C'), (1722, 'G'), (1340, 'A'), (1439, 'A1'), (1179, 'A'), (1443, 'C'), (1350, 'B'), (1526, 'B'), (1445, 'C'), (1844, 'D'), (679, 'A'), (1407, 'B'), (1194, 'C'), (1341, 'B'), (1328, 'B'), (1167, 'B'), (1405, 'C'), (1422, 'B'), (1419, 'D2'), (1418, 'C'), (1355, 'D'), (1473, 'C'), (1765, 'K'), (1765, 'N'), (1684, 'C'), (1739, 'C'), (1312, 'C'), (1553, 'D'), (698, 'A'), (1369, 'C'), (1307, 'B'), (1397, 'B'), (1452, 'B'), (1385, 'D'), (1348, 'B'), (1775, 'B'), (1401, 'C'), (1817, 'A'), (1654, 'C'), (1352, 'E'), (1535, 'C'), (1365, 'B'), (1486, 'B'), (1735, 'C'), (958, 'F1'), (1454, 'D'), (1365, 'C'), (1303, 'B'), (1325, 'C'), (1753, 'A2'), (1690, 'E'), (1292, 'A'), (1408, 'B'), (1733, 'D1'), (1461, 'B'), (1844, 'C'), (1476, 'B'), (1408, 'C'), (1462, 'E1'), (1594, 'E1'), (1646, 'C'), (1558, 'A'), (1409, 'D'), (1824, 'A'), (1606, 'C'), (1738, 'C'), (1421, 'C'), (1322, 'A'), (1493, 'B'), (1466, 'D'), (1736, 'C1'), (1426, 'D'), (1352, 'F'), (1601, 'A'), (49, 'B'), (1521, 'B'), (515, 'B'), (1416, 'A'), (1603, 'A'), (1746, 'C'), (1693, 'A'), (1451, 'C'), (234, 'C'), (727, 'C'), (1753, 'A1'), (1400, 'C'), (1389, 'C'), (1446, 'A'), (1335, 'D'), (1444, 'A'), (1574, 'C'), (865, 'A'), (1864, 'C'), (1457, 'C'), (1404, 'A'), (1440, 'C1'), (1602, 'C'), (1364, 'B'), (1296, 'C'), (1417, 'C'), (1012, 'A'), (239, 'B'), (1436, 'C'), (1352, 'D'), (1842, 'C'), (1462, 'D'), (1648, 'A'), (1419, 'C'), (1320, 'A'), (1291, 'B'), (1330, 'B'), (1698, 'C'), (1326, 'C'), (1370, 'C'), (1447, 'C'), (1381, 'A1'), (1506, 'E'), (1647, 'C')}",137
dog_of_Nesraychan,2599.0,Yes,"{(1821, 'C'), (1838, 'C'), (1870, 'C'), (1814, 'C'), (1847, 'C')}",5
