Problem,Contest,Index,Tags,solvedCount
Sum of XOR Functions,1879,D,"bitmasks, combinatorics, divide and conquer, dp, math",5285
Mad City,1873,H,"dfs and similar, dsu, games, graphs, shortest paths, trees",4977
ABBC or BACB,1873,G,"constructive algorithms, greedy",8873
Data Structures Fan,1872,E,"binary search, bitmasks, data structures, dp",9762
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math",5505
Matrix Cascade,1864,D,"brute force, constructive algorithms, data structures, dp, greedy, math",5668
Kolya and Movie Theatre,1862,E,"constructive algorithms, data structures, greedy",8112
Queries for the Array,1861,C,"data structures, dfs and similar, implementation, strings, trees",8087
The Walkway,1858,B,"brute force, dp, greedy, math, number theory",9462
Sum and Product,1857,F,"binary search, data structures, math",8859
Power of Points,1857,E,"math, sortings",10028
To Become Max,1856,C,"binary search, brute force, data structures, dp",9466
Nastya and Potions,1851,E,"dfs and similar, dp, graphs, sortings",7975
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation",6280
The Morning Star,1850,G,"combinatorics, data structures, geometry, implementation, math, sortings",9393
Array Painting,1849,D,"constructive algorithms, greedy, two pointers",6763
Binary String Copying,1849,C,"binary search, brute force, data structures, hashing, strings",8527
Tracking Segments,1843,E,"binary search, brute force, data structures, two pointers",9495
Tenzing and Balls,1842,C,dp,9859
Character Blocking,1840,E,"data structures, hashing, implementation",6710
k-th equality,1835,A,"brute force, implementation, math",6704
Ira and Flamenco,1833,F,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers",5765
Round Dance,1833,E,"dfs and similar, dsu, graphs, shortest paths",8740
Don't Blame Me,1829,H,"bitmasks, combinatorics, dp, math",5964
Hits Different,1829,G,"data structures, dp, implementation, math",8007
Running Miles,1826,D,"brute force, dp, greedy",6794
Magic Triples (Easy Version),1822,G1,"brute force, data structures, math, number theory",5586
Gardening Friends,1822,F,"brute force, dfs and similar, dp, graphs, trees",4796
Making Anti-Palindromes,1822,E,"greedy, math, strings",8296
Almost Increasing Subsequence,1817,A,"binary search, data structures, greedy",9196
Search in Parallel,1814,C,"constructive algorithms, greedy, sortings",9138
Long Legs,1814,B,"brute force, math",8562
Living Sequence,1811,E,"binary search, dp, math, number theory",10189
Umka and a Long Flight,1811,D,"constructive algorithms, implementation, math",6328
Climbing the Tree,1810,D,"binary search, math",6479
Sum on Subarrays,1809,C,"constructive algorithms, greedy, math",10582
Bouncy Ball,1807,F,"brute force, dfs and similar, implementation",5248
Sequence Master,1806,C,"brute force, constructive algorithms, math",6610
Pull Your Luck,1804,C,"brute force, greedy, math, number theory",10526
The Very Beautiful Blanket,1801,A,"bitmasks, constructive algorithms",7438
Unforgivable Curse (hard version),1800,E2,"brute force, constructive algorithms, dfs and similar, dsu, graphs, greedy, strings",10630
Double Lexicographically Minimum,1799,C,"greedy, strings",5013
Shocking Arrangement,1798,D,"constructive algorithms, greedy, math",7925
Candy Store,1798,C,"greedy, math, number theory",7147
Li Hua and Chess,1797,C,"constructive algorithms, greedy, interactive",6586
Maximum Set,1796,C,"binary search, math",8655
Triangle Coloring,1795,D,"combinatorics, math",7593
Tea Tasting,1795,C,"binary search, data structures, implementation",10159
Fixed Prefix Permutations,1792,D,"binary search, bitmasks, data structures, hashing, math, sortings",5434
Min Max Sort,1792,C,"binary search, brute force, greedy, math, two pointers",11710
Range Update Point Query,1791,F,"binary search, brute force, data structures",10075
Serval and Toxel's Arrays,1789,C,"combinatorics, dp, implementation, math",7332
Remove the Bracket,1787,C,"dp, greedy, math",6128
Yet Another Tournament,1783,C,"binary search, greedy, sortings",8084
Equal Frequencies,1781,C,"brute force, constructive algorithms, greedy, implementation, sortings, strings",6356
Boris and His Amazing Haircut,1779,D,"constructive algorithms, data structures, dp, dsu, greedy, sortings",6909
Least Prefix Sum,1779,C,"data structures, greedy",10817
Flexible String,1778,C,"bitmasks, brute force, strings",6948
Quiz Master,1777,C,"binary search, math, number theory, sortings, two pointers",6834
Controllers,1776,L,"binary search, math",4312
Train Splitting,1776,F,"constructive algorithms, graphs, greedy",2832
Interesting Sequence,1775,C,"bitmasks, math",8488
Same Count One,1774,D,"brute force, constructive algorithms, greedy, implementation, two pointers",6777
Coloring,1774,B,"constructive algorithms, greedy, math",10503
Permutation Game,1772,E,games,5820
Hossam and Trainees,1771,C,"greedy, math, number theory",7903
Koxia and Number Theory,1770,C,"brute force, chinese remainder theorem, math, number theory",7799
Playoff,1767,D,"combinatorics, constructive algorithms, dp, greedy, math",8687
Lucky Chains,1766,D,"math, number theory",7313
Number Reduction,1765,N,greedy,3877
Torus Path,1765,K,"greedy, math",4816
Watch the Videos,1765,D,"binary search, constructive algorithms, two pointers",3533
SlavicG's Favorite Problem,1760,G,"bitmasks, dfs and similar, graphs",6121
Quests,1760,F,"binary search, greedy, sortings",9836
The Humanoid,1759,E,"brute force, dp, sortings",8823
Factorial Divisibility,1753,B,"math, number theory",11048
Make Nonzero Sum (hard version),1753,A2,"constructive algorithms, dp, greedy",9102
Zero-Sum Prefixes,1748,C,"brute force, data structures, dp, greedy, implementation",9486
Divisible Numbers (easy version),1744,E1,"brute force, math, number theory",9145
Problem with Random Tests,1743,D,"brute force, dp, greedy, probabilities",6853
Orray,1742,G,"bitmasks, brute force, greedy, math, sortings",8484
Smaller,1742,F,"constructive algorithms, greedy, strings",9531
Sending a Sequence Over the Network,1741,E,dp,9346
Knowledge Cards,1740,D,"constructive algorithms, data structures",7145
Card Game,1739,C,"combinatorics, constructive algorithms, dp, games",8150
Even Number Addicts,1738,C,"dp, games, greedy, math",9664
Ela and Crickets,1737,C,"constructive algorithms, games, implementation, math",5251
Meta-set,1735,D,"brute force, combinatorics, data structures, hashing, math",4995
Balance (Easy version),1732,D1,"brute force, data structures, implementation, number theory",7510
Valiant's New Map,1731,D,"binary search, brute force, data structures, dp, two pointers",6138
Even Subarrays,1731,C,"bitmasks, brute force, hashing, math, number theory",8186
Meeting on the Line,1730,B,"binary search, geometry, greedy, implementation, math, ternary search",10786
Garage,1725,G,"binary search, geometry, math",5134
Even-Odd XOR,1722,G,"bitmasks, constructive algorithms, greedy",8947
L-shapes,1722,F,"dfs and similar, implementation",6028
Counting Rectangles,1722,E,"brute force, data structures, dp, implementation",8934
Monoblock,1715,C,"combinatorics, data structures, implementation, math",7917
Path Prefixes,1714,G,"binary search, data structures, dfs and similar, trees",6518
Color with Occurrences,1714,D,"brute force, data structures, dp, greedy, strings",7939
Color the Picture,1710,A,"constructive algorithms, greedy, math",10073
Rorororobot,1709,D,"binary search, data structures, greedy, math",7572
Doremy's IQ,1707,A,"binary search, constructive algorithms, greedy, implementation",12047
Chopping Carrots (Easy Version),1706,D1,"binary search, brute force, constructive algorithms, greedy, number theory",6316
"Good Key, Bad Key",1703,G,"bitmasks, brute force, dp, greedy, math",8965
Equate Multisets,1702,F,"constructive algorithms, data structures, greedy, math, number theory",7374
Split Into Two Sets,1702,E,"dfs and similar, dsu, graphs",10990
Helping the Nature,1700,C,"constructive algorithms, data structures, greedy",9861
The Third Problem,1699,C,"combinatorics, constructive algorithms, math",8890
Fixed Point Guessing,1698,D,"binary search, constructive algorithms, interactive",8036
Zero Path,1695,C,"brute force, data structures, dp, graphs, greedy, shortest paths",9639
Fake Plastic Trees,1693,B,"dfs and similar, dp, greedy, trees",7538
Gambling,1692,H,"data structures, dp, greedy, math",6395
Shifting String,1690,F,"graphs, math, number theory, strings",6319
Price Maximization,1690,E,"binary search, greedy, math, two pointers",13402
Infected Tree,1689,C,"dfs and similar, dp, trees",9592
Manipulating History,1688,C,"constructive algorithms, greedy, strings",7562
Railway System,1687,B,"constructive algorithms, graphs, greedy, interactive, sortings",3307
The Enchanted Forest,1687,A,"brute force, greedy",9379
Traps,1684,D,"constructive algorithms, greedy, sortings",8814
Required Length,1681,D,"brute force, dfs and similar, dp, hashing, shortest paths",8654
Binary String,1680,C,"binary search, greedy, strings, two pointers",8879
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math",3793
Tokitsukaze and Strange Inequality,1677,A,"brute force, data structures, dp",7644
Maximum Crossings (Hard Version),1676,H2,"data structures, divide and conquer, sortings",8989
"Replace With the Previous, Minimize",1675,E,"dsu, greedy, strings",9232
Palindrome Basis,1673,C,"brute force, dp, math, number theory",10595
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers",5699
Insert a Progression,1671,D,"brute force, constructive algorithms, greedy",6798
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math",4710
Tree Infection,1665,C,"binary search, greedy, sortings, trees",7555
Water the Trees,1661,C,"binary search, greedy, math",8467
Promising String (easy version),1660,F1,"brute force, implementation, math, strings",6604
Matrix and Shifts,1660,E,"brute force, constructive algorithms, greedy, implementation",6608
Maximum Product Strikes Back,1660,D,"brute force, implementation, math, two pointers",7546
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math",8872
388535 (Easy Version),1658,D1,"bitmasks, math",8265
Shinju and the Lost Permutation,1658,C,"constructive algorithms, math",8775
Fault-tolerant Network,1651,C,"brute force, data structures, implementation",10037
Factorials and Powers of Two,1646,C,"bitmasks, brute force, constructive algorithms, dp, math",12135
Cross Coloring,1644,D,"data structures, implementation, math",6692
Make Them Equal,1633,D,"dp, greedy",11938
Strange Test,1632,C,"binary search, bitmasks, brute force, dp, math",11590
And Matching,1630,A,"bitmasks, constructive algorithms",13367
Peculiar Movie Preferences,1628,B,"greedy, strings",10692
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers",10207
Road Optimization,1625,C,dp,9263
Balanced Stone Heaps,1623,C,"binary search, greedy",10438
Set or Decrease,1622,C,"binary search, brute force, greedy, sortings",11473
