Handle,Max Rating_x,Result
mikacha,1476.0,Yes
Aeek_True,1424.0,Yes
amitjoshi24,1432.0,Yes
bedupako,1473.0,Yes
rahul250702,1568.0,Yes
wanggl,1458.0,Yes
arrowhead26,1437.0,Yes
botfrag,1404.0,Yes
lbm364dl,1977.0,Yes
mohitksharma2322,1415.0,Yes
lasventuras,1642.0,Yes
suraj_8863,1404.0,Yes
the_last_smilodon,1522.0,Yes
kg_codex,1455.0,Yes
subhu_darkknight72,1421.0,Yes
Katel,1431.0,Yes
Kt.ywang,1408.0,Yes
saifsweelam,1405.0,Yes
Meekys,1410.0,Yes
rag_221B,1578.0,Yes
Pirate-King,1422.0,Yes
arcube_01,1462.0,Yes
harsh_pandey_2003,1559.0,Yes
nayan21100,1407.0,Yes
ekeshwarj5,1473.0,Yes
lregion,1420.0,Yes
mastercheif,1402.0,Yes
Mesh_Error_403,1557.0,Yes
_notAcoder_,1444.0,Yes
cclab,1501.0,Yes
chiragagarwal819,1418.0,Yes
The.functional.Bit,1401.0,Yes
AhmedRamadan,1410.0,Yes
ZhixingYi,1517.0,Yes
_Khan__,1519.0,Yes
DoOmGuY007,1447.0,Yes
Nah1d,1531.0,Yes
capt_Levi,1519.0,Yes
vedantmishra69,1470.0,Yes
WeihangZheng,1444.0,Yes
Eslam_Aymann22,1415.0,Yes
Lonehll,1525.0,Yes
Naim21,1411.0,Yes
ashuashutosh2211,1484.0,Yes
programmer765,1621.0,Yes
mysterious_tanjil,1419.0,Yes
Encrypter23,1405.0,Yes
LeonardLiu,1413.0,Yes
ahree,1573.0,Yes
hxhx7,1496.0,Yes
EswarG143,1404.0,Yes
eiqkx,1458.0,Yes
RollLLing,1446.0,Yes
Subhashis_CSE,1596.0,Yes
Rajiun_nabi,1421.0,Yes
sahenulislam,1522.0,Yes
JuliaTatad,1415.0,Yes
CppC_solver,1448.0,Yes
siddharthtiwari3739,1436.0,Yes
-3.4,1412.0,Yes
saurabh_blr,1437.0,Yes
LIEGE,1416.0,Yes
nainaide,1430.0,Yes
shubham45sonar,1407.0,Yes
Matheus,1780.0,Yes
Singh_Rajan41,1434.0,Yes
coder_Gajendra,1435.0,Yes
Panther369,1428.0,Yes
chinagty,1452.0,Yes
ghannu,1572.0,Yes
sahanilxm,1498.0,Yes
Umnikfan,1438.0,Yes
namaay,1588.0,Yes
vatsaljain,1424.0,Yes
Bellman_Ford,1509.0,Yes
Elsheshtawy,1444.0,Yes
_bahut__dukh_,1452.0,Yes
pxzwy,1425.0,Yes
shubhtrikal,1512.0,Yes
_RANA_HOSSAIN_,1408.0,Yes
abhishek97.emp,1511.0,Yes
jangyi,1798.0,Yes
Dream_GrandMaster,1427.0,Yes
rustymf,1405.0,Yes
_Yeager_,1407.0,Yes
aa008,1402.0,Yes
darkclay,1529.0,Yes
wejih,1440.0,Yes
Naam_me_kya_hi_rakha_hai,1465.0,Yes
heiheihei123,1464.0,Yes
qabdurrazzaq,1440.0,Yes
1435730,1565.0,Yes
Syvx,1430.0,Yes
Shyam2811,1421.0,Yes
_raZu_,1405.0,Yes
animeshmadaan09,1428.0,Yes
magisterialmessi,1534.0,Yes
LeCaToX,1513.0,Yes
shufentainanle,1422.0,Yes
Phantom-Orion,1430.0,Yes
