Contest,Index,Name,Tags
1879,D,Sum of XOR Functions,"bitmasks, combinatorics, divide and conquer, dp, math"
1873,H,Mad City,"dfs and similar, dsu, games, graphs, shortest paths, trees"
1873,G,ABBC or BACB,"constructive algorithms, greedy"
1872,E,Data Structures Fan,"binary search, bitmasks, data structures, dp"
1868,B1,Candy Party (Easy Version),"bitmasks, constructive algorithms, graphs, greedy, implementation, math"
1864,D,Matrix Cascade,"brute force, constructive algorithms, data structures, dp, greedy, math"
1862,E,Kolya and Movie Theatre,"constructive algorithms, data structures, greedy"
1861,C,Queries for the Array,"data structures, dfs and similar, implementation, strings, trees"
1858,B,The Walkway,"brute force, dp, greedy, math, number theory"
1857,F,Sum and Product,"binary search, data structures, math"
1857,E,Power of Points,"math, sortings"
1856,C,To Become Max,"binary search, brute force, data structures, dp"
1851,E,Nastya and Potions,"dfs and similar, dp, graphs, sortings"
1850,H,The Third Letter,"dfs and similar, dsu, graphs, greedy, implementation"
1850,G,The Morning Star,"combinatorics, data structures, geometry, implementation, math, sortings"
1849,D,Array Painting,"constructive algorithms, greedy, two pointers"
1849,C,Binary String Copying,"binary search, brute force, data structures, hashing, strings"
1843,E,Tracking Segments,"binary search, brute force, data structures, two pointers"
1842,C,Tenzing and Balls,dp
1840,E,Character Blocking,"data structures, hashing, implementation"
1835,A,k-th equality,"brute force, implementation, math"
1833,F,Ira and Flamenco,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers"
1833,E,Round Dance,"dfs and similar, dsu, graphs, shortest paths"
1829,H,Don't Blame Me,"bitmasks, combinatorics, dp, math"
1829,G,Hits Different,"data structures, dp, implementation, math"
1826,D,Running Miles,"brute force, dp, greedy"
1822,G1,Magic Triples (Easy Version),"brute force, data structures, math, number theory"
1822,F,Gardening Friends,"brute force, dfs and similar, dp, graphs, trees"
1822,E,Making Anti-Palindromes,"greedy, math, strings"
1817,A,Almost Increasing Subsequence,"binary search, data structures, greedy"
1814,C,Search in Parallel,"constructive algorithms, greedy, sortings"
1814,B,Long Legs,"brute force, math"
1811,E,Living Sequence,"binary search, dp, math, number theory"
1811,D,Umka and a Long Flight,"constructive algorithms, implementation, math"
1810,D,Climbing the Tree,"binary search, math"
1809,C,Sum on Subarrays,"constructive algorithms, greedy, math"
1807,F,Bouncy Ball,"brute force, dfs and similar, implementation"
1806,C,Sequence Master,"brute force, constructive algorithms, math"
1804,C,Pull Your Luck,"brute force, greedy, math, number theory"
1801,A,The Very Beautiful Blanket,"bitmasks, constructive algorithms"
1800,E2,Unforgivable Curse (hard version),"brute force, constructive algorithms, dfs and similar, dsu, graphs, greedy, strings"
1799,C,Double Lexicographically Minimum,"greedy, strings"
1798,D,Shocking Arrangement,"constructive algorithms, greedy, math"
1798,C,Candy Store,"greedy, math, number theory"
1797,C,Li Hua and Chess,"constructive algorithms, greedy, interactive"
1796,C,Maximum Set,"binary search, math"
1795,D,Triangle Coloring,"combinatorics, math"
1795,C,Tea Tasting,"binary search, data structures, implementation"
1792,D,Fixed Prefix Permutations,"binary search, bitmasks, data structures, hashing, math, sortings"
1792,C,Min Max Sort,"binary search, brute force, greedy, math, two pointers"
1791,F,Range Update Point Query,"binary search, brute force, data structures"
1789,C,Serval and Toxel's Arrays,"combinatorics, dp, implementation, math"
1787,C,Remove the Bracket,"dp, greedy, math"
1783,C,Yet Another Tournament,"binary search, greedy, sortings"
1781,C,Equal Frequencies,"brute force, constructive algorithms, greedy, implementation, sortings, strings"
1779,D,Boris and His Amazing Haircut,"constructive algorithms, data structures, dp, dsu, greedy, sortings"
1779,C,Least Prefix Sum,"data structures, greedy"
1778,C,Flexible String,"bitmasks, brute force, strings"
1777,C,Quiz Master,"binary search, math, number theory, sortings, two pointers"
1776,L,Controllers,"binary search, math"
1776,F,Train Splitting,"constructive algorithms, graphs, greedy"
1775,C,Interesting Sequence,"bitmasks, math"
1774,D,Same Count One,"brute force, constructive algorithms, greedy, implementation, two pointers"
1774,B,Coloring,"constructive algorithms, greedy, math"
1772,E,Permutation Game,games
1771,C,Hossam and Trainees,"greedy, math, number theory"
1770,C,Koxia and Number Theory,"brute force, chinese remainder theorem, math, number theory"
1767,D,Playoff,"combinatorics, constructive algorithms, dp, greedy, math"
1766,D,Lucky Chains,"math, number theory"
1765,N,Number Reduction,greedy
1765,K,Torus Path,"greedy, math"
1765,D,Watch the Videos,"binary search, constructive algorithms, two pointers"
1760,G,SlavicG's Favorite Problem,"bitmasks, dfs and similar, graphs"
1760,F,Quests,"binary search, greedy, sortings"
1759,E,The Humanoid,"brute force, dp, sortings"
1753,B,Factorial Divisibility,"math, number theory"
1753,A2,Make Nonzero Sum (hard version),"constructive algorithms, dp, greedy"
1748,C,Zero-Sum Prefixes,"brute force, data structures, dp, greedy, implementation"
1744,E1,Divisible Numbers (easy version),"brute force, math, number theory"
1743,D,Problem with Random Tests,"brute force, dp, greedy, probabilities"
