Problem,Contest,Index,Tags
Sum of XOR Functions,1879,D,"bitmasks, combinatorics, divide and conquer, dp, math"
Mad City,1873,H,"dfs and similar, dsu, games, graphs, shortest paths, trees"
ABBC or BACB,1873,G,"constructive algorithms, greedy"
Data Structures Fan,1872,E,"binary search, bitmasks, data structures, dp"
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math"
Matrix Cascade,1864,D,"brute force, constructive algorithms, data structures, dp, greedy, math"
Kolya and Movie Theatre,1862,E,"constructive algorithms, data structures, greedy"
Queries for the Array,1861,C,"data structures, dfs and similar, implementation, strings, trees"
The Walkway,1858,B,"brute force, dp, greedy, math, number theory"
Sum and Product,1857,F,"binary search, data structures, math"
Power of Points,1857,E,"math, sortings"
To Become Max,1856,C,"binary search, brute force, data structures, dp"
Nastya and Potions,1851,E,"dfs and similar, dp, graphs, sortings"
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation"
The Morning Star,1850,G,"combinatorics, data structures, geometry, implementation, math, sortings"
Array Painting,1849,D,"constructive algorithms, greedy, two pointers"
Binary String Copying,1849,C,"binary search, brute force, data structures, hashing, strings"
Tracking Segments,1843,E,"binary search, brute force, data structures, two pointers"
Tenzing and Balls,1842,C,dp
Character Blocking,1840,E,"data structures, hashing, implementation"
k-th equality,1835,A,"brute force, implementation, math"
Ira and Flamenco,1833,F,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers"
Round Dance,1833,E,"dfs and similar, dsu, graphs, shortest paths"
Don't Blame Me,1829,H,"bitmasks, combinatorics, dp, math"
Hits Different,1829,G,"data structures, dp, implementation, math"
Running Miles,1826,D,"brute force, dp, greedy"
Magic Triples (Easy Version),1822,G1,"brute force, data structures, math, number theory"
Gardening Friends,1822,F,"brute force, dfs and similar, dp, graphs, trees"
Making Anti-Palindromes,1822,E,"greedy, math, strings"
Almost Increasing Subsequence,1817,A,"binary search, data structures, greedy"
Search in Parallel,1814,C,"constructive algorithms, greedy, sortings"
Long Legs,1814,B,"brute force, math"
Living Sequence,1811,E,"binary search, dp, math, number theory"
Umka and a Long Flight,1811,D,"constructive algorithms, implementation, math"
Climbing the Tree,1810,D,"binary search, math"
Sum on Subarrays,1809,C,"constructive algorithms, greedy, math"
Bouncy Ball,1807,F,"brute force, dfs and similar, implementation"
Sequence Master,1806,C,"brute force, constructive algorithms, math"
Pull Your Luck,1804,C,"brute force, greedy, math, number theory"
The Very Beautiful Blanket,1801,A,"bitmasks, constructive algorithms"
Unforgivable Curse (hard version),1800,E2,"brute force, constructive algorithms, dfs and similar, dsu, graphs, greedy, strings"
Double Lexicographically Minimum,1799,C,"greedy, strings"
Shocking Arrangement,1798,D,"constructive algorithms, greedy, math"
Candy Store,1798,C,"greedy, math, number theory"
Li Hua and Chess,1797,C,"constructive algorithms, greedy, interactive"
Maximum Set,1796,C,"binary search, math"
Triangle Coloring,1795,D,"combinatorics, math"
Tea Tasting,1795,C,"binary search, data structures, implementation"
Fixed Prefix Permutations,1792,D,"binary search, bitmasks, data structures, hashing, math, sortings"
Min Max Sort,1792,C,"binary search, brute force, greedy, math, two pointers"
Range Update Point Query,1791,F,"binary search, brute force, data structures"
Serval and Toxel's Arrays,1789,C,"combinatorics, dp, implementation, math"
Remove the Bracket,1787,C,"dp, greedy, math"
Yet Another Tournament,1783,C,"binary search, greedy, sortings"
Equal Frequencies,1781,C,"brute force, constructive algorithms, greedy, implementation, sortings, strings"
Boris and His Amazing Haircut,1779,D,"constructive algorithms, data structures, dp, dsu, greedy, sortings"
Least Prefix Sum,1779,C,"data structures, greedy"
Flexible String,1778,C,"bitmasks, brute force, strings"
Quiz Master,1777,C,"binary search, math, number theory, sortings, two pointers"
Controllers,1776,L,"binary search, math"
Train Splitting,1776,F,"constructive algorithms, graphs, greedy"
Interesting Sequence,1775,C,"bitmasks, math"
Same Count One,1774,D,"brute force, constructive algorithms, greedy, implementation, two pointers"
Coloring,1774,B,"constructive algorithms, greedy, math"
Permutation Game,1772,E,games
Hossam and Trainees,1771,C,"greedy, math, number theory"
Koxia and Number Theory,1770,C,"brute force, chinese remainder theorem, math, number theory"
Playoff,1767,D,"combinatorics, constructive algorithms, dp, greedy, math"
Lucky Chains,1766,D,"math, number theory"
Number Reduction,1765,N,greedy
Torus Path,1765,K,"greedy, math"
Watch the Videos,1765,D,"binary search, constructive algorithms, two pointers"
SlavicG's Favorite Problem,1760,G,"bitmasks, dfs and similar, graphs"
Quests,1760,F,"binary search, greedy, sortings"
The Humanoid,1759,E,"brute force, dp, sortings"
Factorial Divisibility,1753,B,"math, number theory"
Make Nonzero Sum (hard version),1753,A2,"constructive algorithms, dp, greedy"
Zero-Sum Prefixes,1748,C,"brute force, data structures, dp, greedy, implementation"
Divisible Numbers (easy version),1744,E1,"brute force, math, number theory"
Problem with Random Tests,1743,D,"brute force, dp, greedy, probabilities"
Orray,1742,G,"bitmasks, brute force, greedy, math, sortings"
Smaller,1742,F,"constructive algorithms, greedy, strings"
Sending a Sequence Over the Network,1741,E,dp
Knowledge Cards,1740,D,"constructive algorithms, data structures"
Card Game,1739,C,"combinatorics, constructive algorithms, dp, games"
Even Number Addicts,1738,C,"dp, games, greedy, math"
Ela and Crickets,1737,C,"constructive algorithms, games, implementation, math"
Meta-set,1735,D,"brute force, combinatorics, data structures, hashing, math"
Balance (Easy version),1732,D1,"brute force, data structures, implementation, number theory"
Valiant's New Map,1731,D,"binary search, brute force, data structures, dp, two pointers"
Even Subarrays,1731,C,"bitmasks, brute force, hashing, math, number theory"
Meeting on the Line,1730,B,"binary search, geometry, greedy, implementation, math, ternary search"
Garage,1725,G,"binary search, geometry, math"
Even-Odd XOR,1722,G,"bitmasks, constructive algorithms, greedy"
L-shapes,1722,F,"dfs and similar, implementation"
Counting Rectangles,1722,E,"brute force, data structures, dp, implementation"
Monoblock,1715,C,"combinatorics, data structures, implementation, math"
Path Prefixes,1714,G,"binary search, data structures, dfs and similar, trees"
Color with Occurrences,1714,D,"brute force, data structures, dp, greedy, strings"
Color the Picture,1710,A,"constructive algorithms, greedy, math"
Rorororobot,1709,D,"binary search, data structures, greedy, math"
Doremy's IQ,1707,A,"binary search, constructive algorithms, greedy, implementation"
Chopping Carrots (Easy Version),1706,D1,"binary search, brute force, constructive algorithms, greedy, number theory"
"Good Key, Bad Key",1703,G,"bitmasks, brute force, dp, greedy, math"
Equate Multisets,1702,F,"constructive algorithms, data structures, greedy, math, number theory"
Split Into Two Sets,1702,E,"dfs and similar, dsu, graphs"
Helping the Nature,1700,C,"constructive algorithms, data structures, greedy"
The Third Problem,1699,C,"combinatorics, constructive algorithms, math"
Fixed Point Guessing,1698,D,"binary search, constructive algorithms, interactive"
Zero Path,1695,C,"brute force, data structures, dp, graphs, greedy, shortest paths"
Fake Plastic Trees,1693,B,"dfs and similar, dp, greedy, trees"
Gambling,1692,H,"data structures, dp, greedy, math"
Shifting String,1690,F,"graphs, math, number theory, strings"
Price Maximization,1690,E,"binary search, greedy, math, two pointers"
Infected Tree,1689,C,"dfs and similar, dp, trees"
Manipulating History,1688,C,"constructive algorithms, greedy, strings"
Railway System,1687,B,"constructive algorithms, graphs, greedy, interactive, sortings"
The Enchanted Forest,1687,A,"brute force, greedy"
Traps,1684,D,"constructive algorithms, greedy, sortings"
Required Length,1681,D,"brute force, dfs and similar, dp, hashing, shortest paths"
Binary String,1680,C,"binary search, greedy, strings, two pointers"
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math"
Tokitsukaze and Strange Inequality,1677,A,"brute force, data structures, dp"
Maximum Crossings (Hard Version),1676,H2,"data structures, divide and conquer, sortings"
"Replace With the Previous, Minimize",1675,E,"dsu, greedy, strings"
Palindrome Basis,1673,C,"brute force, dp, math, number theory"
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers"
Insert a Progression,1671,D,"brute force, constructive algorithms, greedy"
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math"
Tree Infection,1665,C,"binary search, greedy, sortings, trees"
Water the Trees,1661,C,"binary search, greedy, math"
Promising String (easy version),1660,F1,"brute force, implementation, math, strings"
Matrix and Shifts,1660,E,"brute force, constructive algorithms, greedy, implementation"
Maximum Product Strikes Back,1660,D,"brute force, implementation, math, two pointers"
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math"
388535 (Easy Version),1658,D1,"bitmasks, math"
Shinju and the Lost Permutation,1658,C,"constructive algorithms, math"
Fault-tolerant Network,1651,C,"brute force, data structures, implementation"
Factorials and Powers of Two,1646,C,"bitmasks, brute force, constructive algorithms, dp, math"
Cross Coloring,1644,D,"data structures, implementation, math"
Make Them Equal,1633,D,"dp, greedy"
Strange Test,1632,C,"binary search, bitmasks, brute force, dp, math"
And Matching,1630,A,"bitmasks, constructive algorithms"
Peculiar Movie Preferences,1628,B,"greedy, strings"
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers"
Road Optimization,1625,C,dp
Balanced Stone Heaps,1623,C,"binary search, greedy"
Set or Decrease,1622,C,"binary search, brute force, greedy, sortings"
Hidden Permutations,1621,C,"dfs and similar, interactive, math"
Integers Shop,1621,B,"data structures, greedy, implementation"
MEX and Increments,1619,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings"
Singers' Tour,1618,E,"constructive algorithms, math"
Representative Edges,1616,C,"brute force, geometry, implementation, math"
Menorah,1615,C,"brute force, graphs, greedy, math"
Divan and bitwise operations,1614,C,"bitmasks, combinatorics, constructive algorithms, dp, math"
X-Magic Pair,1612,D,"math, number theory"
Escape The Maze (easy version),1611,E1,"dfs and similar, greedy, shortest paths, trees, two pointers"
Weights Assignment For Tree Edges,1611,D,"constructive algorithms, trees"
Keshi Is Throwing a Party,1610,C,"binary search, greedy"
Social Network,1609,D,"dsu, graphs, greedy, implementation, trees"
Game Master,1608,C,"data structures, dfs and similar, dp, graphs, greedy, two pointers"
Robot on the Board 1,1607,E,implementation
Moderate Modular Mode,1603,B,"constructive algorithms, math, number theory"
Training Session,1598,D,"combinatorics, data structures, geometry, implementation, math"
The Number of Imposters,1594,D,"constructive algorithms, dfs and similar, dp, dsu, graphs"
Gardener and Tree,1593,E,"brute force, data structures, dfs and similar, greedy, implementation, trees"
Bakry and Partitioning,1592,C,"bitmasks, constructive algorithms, dfs and similar, dp, graphs, trees"
Omkar and Determination,1583,C,"data structures, dp"
"Vupsen, Pupsen and 0",1582,D,"constructive algorithms, math"
Portal,1580,A,"brute force, data structures, dp, greedy, implementation"
Array Stabilization (AND version),1579,F,"brute force, graphs, math, number theory, shortest paths"
