Handle,Max Rating,Result
Benq,3833,No
jiangly,3859,
Radewoosh,3752,
orzdevinwang,3697,No
cnnfls_csy,3691,
tourist,3979,
ecnerwala,3668,
amiya,3681,
Geothermal,3366,No
Petr,3597,
Um_nik,3663,
zh0ukangyang,3423,No
ko_osaga,3500,
heno239,3385,
maroonrk,3650,
Ormlis,3410,
p_b_p_b,3137,
maspy,3177,No
244mhq,3278,
hos.lyric,3315,
isaf27,3143,
fsy_jiaxun_when,3075,No
flowerletter,3069,
Qingyu,3065,
yosupo,3369,
QAQAutoMaton,3428,
gamegame,3339,
kotatsugame,3095,
sjcsjcsjc,3011,No
998batrr,3020,Yes
turmax,3200,No
Kubic,3004,
neal,3147,
youbot,3001,Yes
gisp_zjz,3213,
dlalswp25,2993,
Maksim1744,3376,
Endagorion,3313,
ChemicalEquilibrium,2975,Yes
20333333333,2970,No
353cerega,3048,
noimi,3353,
K-H,2962,No
TLEwpdus,3036,
ainta,3318,
Chtholly-Nota-Seniorious,2945,No
ugly2333,3264,
antontrygubO_o,3095,
hank55663,3064,
Merkurev,3148,
hehezhoutxdy,2913,No
peti1234,3093,No
SSRS_,3181,
Crystally,2953,
MagicSpark,2900,
jiangly_fan,3069,
Swistakk,3105,
dXqwq,2889,No
alireza_kaviani,2898,Yes
FastFreeTask,2927,Yes
ksun48,3654,
Alex_Wei,2998,
DoorhandleMahoushoujo,2921,No
Vercingetorix,3213,
The_Noble_Brahman_Bison,2866,
potato167,3029,
ttklwxx,2896,No
PinkieRabbit,2954,
Rubikun,3033,
A_G,3279,No
Amoo_Safar,2982,
feecIe6418,2987,
dl720125,2944,
EternalAlexander,2834,
yuto1115,3043,
sansen,2828,
xukai,2827,Yes
A.K.E.E.,2948,
Golovanov399,3303,
QwertyPi,2839,
qiuzx,2820,No
Melusine,2813,No
i_will_be_less_than_blue,2855,No
E869120,2909,
275307894a,2833,
Sol1,2865,No
tute7627,3044,
Egor,3235,
fengqiyuka,2771,No
tokusakurai,2898,No
Sana,2917,
Potassium,2759,
jeroenodb,2844,No
crazy_sea,2823,No
peltorator,2887,No
kdh9949,2881,
qwerasdfzxcl,2781,
BalintR,2799,No
Kapt,2882,No
m_99,2959,
LeoPro,2770,
PetelgeuseRomaneeconti,2749,No
tkacper,2740,No
YocyCraft,2739,No
kmjp,2901,
Roundgod,2768,
antekb,2807,
AmazingTalker_Frank,2725,No
1004535809,2871,No
nok0,2722,
KroosTheKeenGlint,2720,No
elycx,2880,Yes
Licha06,2716,
Nyaan,2949,
nantf,2906,
Farhod_Farmon,2976,
Pointy,2708,No
TadijaSebez,3035,
CharlieV,2715,No
risujiroh,2857,
foammm,2703,
shiomusubi496,2701,No
RDDCCD,2696,
Egor.Lifar,2929,No
Lynkcat,2694,No
qwerty787788,3038,
ppavic,2750,No
blackbori,2955,
Nachia,2764,
BigBag,2864,
cabbit,2938,
Morphymorphymorphy,2688,No
soltanbh,2716,No
cljq_cpp,2673,No
jacynkaa,2754,
AndreySergunin,2997,
stkwill,2808,No
_Diu_,2703,Yes
Brovko,2894,No
Serin,2665,
kevinxiehk,2706,
grass8sheep,2689,No
Pyqe,2994,
