contestId,index,solvedCount
1890,B,12304
1890,A,13325
1889,F,14
1889,E,12
1889,D,195
1889,C2,367
1889,C1,1796
1889,B,4149
1889,A,7928
1887,F,60
1887,E,139
1887,D,472
1887,C,943
1887,B,1674
1886,F,104
1886,E,1017
1886,D,2667
1886,C,7743
1886,B,12076
1886,A,20413
1884,E,131
1884,D,1704
1884,C,3611
1884,B,8553
1884,A,12792
1883,G2,3210
1883,G1,5442
1883,F,4618
1883,E,4294
1883,D,6082
1883,C,14303
1883,B,16857
1883,A,17247
1882,E2,209
1882,E1,778
1882,D,3971
1882,C,9091
1882,B,11894
1882,A,21498
1881,G,1600
1881,F,4153
1881,E,8133
1881,D,10226
1881,C,12162
1881,B,18783
1881,A,20759
1879,F,386
1879,E,992
1879,D,5285
1879,C,12010
1879,B,18012
1879,A,19553
1878,G,847
1878,F,2937
1878,E,8645
1878,D,5982
1878,C,22218
1878,B,26225
1878,A,31209
1877,C,7625
1877,A,13200
1876,G,43
1876,F,36
1876,E,149
1876,D,622
1876,C,1727
1876,B,5708
1876,A,10643
1875,D,5438
1875,C,8705
1875,A,16699
1874,G,36
1874,F,80
1874,E,181
1874,D,496
1874,C,1237
1874,B,884
1874,A,13027
1873,H,4977
1873,G,8873
1873,F,10694
1873,E,17626
1873,D,26800
1873,C,27218
1873,B,34729
1873,A,37307
1872,G,3315
1872,F,4768
1872,E,9762
1872,D,17039
1872,C,19211
1872,B,23724
1872,A,32952
1870,H,53
1870,G,149
1870,F,381
1870,E,1875
1870,D,5491
1870,C,9148
1870,B,11452
1870,A,17011
1869,B,12044
1869,A,14838
1868,F,42
1868,E,53
1868,D,199
1868,C,926
1868,B2,1991
1868,B1,5505
1868,A,9660
1867,F,333
1867,E2,2574
1867,E1,3037
1867,D,4554
1867,C,9454
1867,B,13782
1867,A,17537
1866,M,567
1866,L,577
1866,K,328
1866,J,202
1866,I,558
1866,H,1335
1866,G,1275
1866,F,89
1866,E,210
1866,D,993
1866,C,2540
1866,B,5971
1866,A,12903
1864,I,63
1864,H,216
1864,G,222
1864,F,1149
1864,E,2251
1864,D,5668
1864,C,11064
1864,B,13414
1864,A,18526
1863,I,54
1863,H,55
1863,G,430
1863,F,857
1863,E,2344
1863,D,7714
1863,C,11829
1863,B,12848
1863,A,16020
1862,G,2223
1862,F,4704
1862,E,8112
1862,D,14110
1862,C,17554
1862,B,24476
1862,A,27452
1861,F,100
1861,E,1406
1861,D,5166
1861,C,8087
1861,B,17545
1861,A,21269
