Handle,Max Rating_x,Result,Max Rating_y,Solved Problems,Problem Count
hefengchen,1931,Yes,1931,"{(1698, 'D'), (1730, 'B'), (1607, 'E'), (1735, 'D'), (1660, 'F1'), (1760, 'F'), (1771, 'C'), (1774, 'B'), (1359, 'C'), (1766, 'D'), (1775, 'C'), (102348, 'D'), (1632, 'C'), (1711, 'C'), (1741, 'E'), (1760, 'G'), (1777, 'C'), (1671, 'D'), (1660, 'D'), (1658, 'D1'), (1612, 'D'), (1700, 'C'), (1856, 'C'), (1658, 'C'), (1770, 'C'), (1651, 'C'), (1673, 'C'), (1629, 'D'), (1739, 'C'), (1774, 'D'), (1644, 'D'), (1633, 'D'), (1616, 'C'), (1743, 'D'), (1566, 'D2'), (1732, 'D1'), (1695, 'C'), (102348, 'G'), (598, 'D'), (1708, 'C'), (1692, 'H'), (1796, 'C'), (1800, 'E2'), (1767, 'D'), (1672, 'D'), (1694, 'D'), (1604, 'D'), (126, 'B'), (1690, 'F'), (1646, 'C'), (1814, 'B'), (1744, 'E1'), (1782, 'C'), (1660, 'E')}",54
tanaka255,1870,Yes,1870,"{(1862, 'E'), (1730, 'B'), (1743, 'D'), (1879, 'D'), (1872, 'E'), (1851, 'E'), (1742, 'G'), (1754, 'D'), (1861, 'C'), (1703, 'G'), (1692, 'H'), (1754, 'C2'), (1873, 'G'), (1858, 'B')}",14
__Shinigami__,1802,Yes,1802,"{(1698, 'D'), (1730, 'B'), (1772, 'E'), (455, 'A'), (1774, 'B'), (1665, 'C'), (1714, 'G'), (1766, 'D'), (1775, 'C'), (1703, 'G'), (1675, 'E'), (1304, 'C'), (1741, 'E'), (1779, 'D'), (1689, 'C'), (1680, 'C'), (1711, 'C'), (495, 'B'), (441, 'C'), (1690, 'E'), (1742, 'F'), (1700, 'C'), (1722, 'F'), (1792, 'D'), (1779, 'C'), (1407, 'C'), (1748, 'C'), (1770, 'C'), (577, 'C'), (1722, 'G'), (339, 'C'), (1765, 'N'), (231, 'C'), (1792, 'C'), (1740, 'D'), (1783, 'C'), (1708, 'C'), (1767, 'D'), (1714, 'D'), (486, 'C'), (1722, 'E'), (268, 'C'), (431, 'C'), (550, 'A'), (1538, 'F'), (1368, 'D'), (1744, 'E1'), (1562, 'C')}",48
bestial-42-centroids,1802,Yes,1801,"{(1498, 'C'), (1497, 'C2'), (1469, 'D'), (1822, 'G1'), (1292, 'B'), (1503, 'A'), (1280, 'A'), (1537, 'D'), (1365, 'D'), (441, 'C'), (707, 'C'), (1207, 'C'), (1856, 'C'), (1484, 'C'), (839, 'C'), (1673, 'C'), (960, 'C'), (1422, 'C'), (1644, 'D'), (1105, 'C'), (1796, 'C'), (722, 'C'), (1622, 'C'), (1384, 'C'), (1582, 'D'), (1444, 'A'), (1603, 'B'), (584, 'B'), (1512, 'G'), (1858, 'B'), (1552, 'B'), (863, 'B'), (1607, 'E'), (1486, 'C1'), (1810, 'D'), (1216, 'C'), (580, 'C'), (1612, 'D'), (1469, 'C'), (701, 'C'), (1614, 'C'), (1363, 'C'), (1799, 'C'), (1516, 'B'), (1629, 'D'), (1695, 'C'), (1699, 'C'), (1303, 'C'), (1282, 'B2'), (1353, 'D'), (1430, 'D'), (1408, 'C'), (268, 'C'), (1661, 'C'), (1352, 'E'), (1861, 'C'), (1082, 'C'), (1623, 'C'), (1610, 'C'), (1678, 'C'), (1372, 'C'), (276, 'C'), (1519, 'D'), (1609, 'D'), (825, 'B'), (1466, 'D'), (1334, 'C'), (1611, 'D'), (1400, 'C'), (676, 'C'), (1371, 'D'), (1864, 'D'), (1368, 'B'), (1789, 'C'), (1694, 'D'), (765, 'D'), (1842, 'C'), (603, 'A'), (1646, 'C'), (1802, 'C'), (1485, 'C'), (1551, 'C'), (1511, 'D'), (1506, 'E'), (500, 'B'), (611, 'C'), (1804, 'C'), (1051, 'C'), (1513, 'C'), (1141, 'C'), (1196, 'C'), (456, 'C'), (1243, 'B2'), (1836, 'C'), (741, 'B'), (1437, 'D'), (1800, 'E2'), (1787, 'C'), (1619, 'E'), (1626, 'C'), (1056, 'D'), (1879, 'D'), (1484, 'B'), (1615, 'C'), (960, 'B')}",105
codeBegins,1801,Yes,1801,"{(1765, 'K'), (1731, 'D'), (1475, 'E'), (1822, 'G1'), (474, 'D'), (1735, 'D'), (1760, 'F'), (1537, 'E1'), (1579, 'E2'), (1632, 'C'), (1777, 'C'), (1671, 'D'), (1581, 'C'), (1592, 'C'), (1547, 'E'), (1543, 'D1'), (1722, 'F'), (1579, 'C'), (1779, 'C'), (1856, 'C'), (1754, 'C2'), (1583, 'C'), (1811, 'E'), (1673, 'C'), (1628, 'B'), (1739, 'C'), (1633, 'D'), (1644, 'D'), (1579, 'F'), (1467, 'B'), (1765, 'D'), (1732, 'D1'), (1792, 'C'), (1692, 'H'), (1818, 'C'), (1796, 'C'), (1567, 'C'), (1767, 'D'), (1622, 'C'), (1582, 'D'), (1672, 'D'), (1722, 'E'), (1562, 'D1'), (1843, 'E'), (1555, 'D'), (1807, 'F'), (1690, 'F'), (1710, 'A'), (977, 'F'), (1822, 'F'), (1603, 'B'), (1829, 'G'), (1814, 'B'), (1858, 'B'), (1562, 'C'), (1552, 'B'), (1795, 'D'), (1740, 'D'), (1744, 'E1'), (1607, 'E'), (1618, 'E'), (1678, 'D'), (1810, 'D'), (1771, 'C'), (1554, 'B'), (1665, 'C'), (1731, 'C'), (1725, 'G'), (1797, 'C'), (1612, 'D'), (1675, 'E'), (1775, 'C'), (1546, 'C'), (1614, 'C'), (1741, 'E'), (1658, 'D1'), (1862, 'E'), (1680, 'C'), (1690, 'E'), (1550, 'C'), (1822, 'E'), (1799, 'C'), (1658, 'C'), (1748, 'C'), (1742, 'G'), (1814, 'C'), (1774, 'D'), (1542, 'B'), (1538, 'D'), (1695, 'C'), (1699, 'C'), (1670, 'D'), (1681, 'D'), (1459, 'C'), (1569, 'C'), (1659, 'C'), (1778, 'C'), (1661, 'C'), (1487, 'D'), (1738, 'C'), (1553, 'D'), (1782, 'C'), (1693, 'B'), (1709, 'D'), (1698, 'D'), (1542, 'C'), (1621, 'C'), (1759, 'E'), (1051, 'D'), (1833, 'F'), (1676, 'H2'), (1660, 'F1'), (1630, 'A'), (1795, 'C'), (1774, 'B'), (1766, 'D'), (1623, 'C'), (1610, 'C'), (1678, 'C'), (1689, 'C'), (1760, 'G'), (1660, 'D'), (1561, 'D1'), (1575, 'J'), (1609, 'D'), (1687, 'A'), (339, 'D'), (1611, 'E1'), (1651, 'C'), (1849, 'D'), (1833, 'E'), (1616, 'C'), (1611, 'D'), (1593, 'E'), (1598, 'D'), (1688, 'D'), (1722, 'G'), (1743, 'D'), (1798, 'D'), (1872, 'E'), (1864, 'D'), (1566, 'D2'), (1621, 'B'), (1765, 'N'), (1811, 'D'), (1789, 'C'), (1551, 'D1'), (1826, 'D'), (1526, 'C2'), (1842, 'C'), (1646, 'C'), (1802, 'C'), (1419, 'C'), (1702, 'E'), (1485, 'C'), (1551, 'C'), (466, 'C'), (1730, 'B'), (1806, 'C'), (1772, 'E'), (1791, 'F'), (1857, 'F'), (1804, 'C'), (1608, 'C'), (1703, 'G'), (1714, 'G'), (1051, 'C'), (1557, 'C'), (1539, 'D'), (1594, 'D'), (1684, 'D'), (1707, 'A'), (1742, 'F'), (1706, 'D1'), (1700, 'C'), (1792, 'D'), (1625, 'C'), (1715, 'C'), (1398, 'C'), (1781, 'C'), (1836, 'C'), (1770, 'C'), (1857, 'E'), (1829, 'H'), (1702, 'F'), (1783, 'C'), (1849, 'C'), (1754, 'D'), (1688, 'C'), (1800, 'E2'), (1352, 'G'), (1619, 'E'), (1798, 'C'), (1809, 'C'), (1687, 'B'), (1626, 'C'), (1091, 'D'), (1714, 'D'), (1879, 'D'), (1787, 'C'), (1615, 'C'), (1660, 'E')}",202
rakkoon69,1861,Yes,1861,"{(1731, 'D'), (1497, 'C2'), (1475, 'E'), (474, 'D'), (1735, 'D'), (1760, 'F'), (1579, 'E2'), (1365, 'D'), (1505, 'B'), (678, 'D'), (1779, 'C'), (1633, 'D'), (493, 'D'), (1416, 'A'), (1692, 'H'), (873, 'B'), (1796, 'C'), (1767, 'D'), (550, 'C'), (431, 'C'), (1710, 'A'), (219, 'D'), (1360, 'F'), (977, 'F'), (1368, 'D'), (1744, 'E1'), (1795, 'D'), (567, 'C'), (1618, 'E'), (1333, 'C'), (1216, 'C'), (276, 'D'), (455, 'A'), (1554, 'B'), (1731, 'C'), (1359, 'C'), (1741, 'E'), (1680, 'C'), (1658, 'D1'), (977, 'E'), (1799, 'C'), (1737, 'C'), (1742, 'G'), (236, 'C'), (467, 'C'), (1325, 'C'), (1868, 'B1'), (427, 'C'), (1538, 'D'), (1695, 'C'), (1699, 'C'), (630, 'I'), (1681, 'D'), (1353, 'D'), (1381, 'A2'), (1185, 'C2'), (1408, 'C'), (1778, 'C'), (1516, 'C'), (1661, 'C'), (356, 'A'), (1342, 'C'), (631, 'C'), (1709, 'D'), (919, 'D'), (864, 'D'), (1203, 'D1'), (1676, 'H2'), (1660, 'F1'), (1795, 'C'), (1774, 'B'), (1861, 'C'), (1766, 'D'), (1689, 'C'), (1760, 'G'), (1343, 'D'), (1561, 'D1'), (1037, 'D'), (1279, 'D'), (339, 'D'), (1611, 'E1'), (828, 'C'), (1849, 'D'), (1255, 'C'), (1389, 'C'), (1743, 'D'), (294, 'B'), (349, 'B'), (936, 'A'), (86, 'A'), (900, 'C'), (1604, 'D'), (1526, 'C2'), (126, 'B'), (118, 'D'), (1335, 'E1'), (1485, 'C'), (1474, 'C'), (706, 'C'), (466, 'C'), (1506, 'E'), (545, 'C'), (1806, 'C'), (888, 'D'), (1400, 'B'), (1851, 'E'), (1857, 'F'), (1608, 'C'), (1703, 'G'), (1779, 'D'), (1539, 'D'), (1000, 'C'), (1312, 'D'), (1684, 'D'), (1706, 'D1'), (1700, 'C'), (1792, 'D'), (1625, 'C'), (1715, 'C'), (1770, 'C'), (1458, 'A'), (1203, 'D2'), (1702, 'F'), (1313, 'C1'), (1783, 'C'), (1800, 'E2'), (1688, 'C'), (1787, 'C'), (1619, 'E'), (1626, 'C'), (486, 'C'), (1879, 'D'), (1256, 'D'), (1526, 'C1'), (550, 'A')}",135
thisislike,1801,Yes,1764,"{(1731, 'D'), (1469, 'D'), (7, 'B'), (1722, 'G'), (1503, 'A'), (474, 'D'), (1292, 'B'), (1822, 'G1'), (1497, 'C2'), (1760, 'F'), (1537, 'E1'), (1579, 'E2'), (743, 'C'), (822, 'C'), (877, 'C'), (1537, 'D'), (1777, 'C'), (1671, 'D'), (1365, 'D'), (1592, 'C'), (1325, 'D'), (1503, 'B'), (1418, 'C'), (1407, 'C'), (1856, 'C'), (1473, 'C'), (1779, 'C'), (1811, 'E'), (1673, 'C'), (916, 'C'), (1739, 'C'), (50, 'B'), (1579, 'F'), (1467, 'B'), (1765, 'D'), (1361, 'A'), (1732, 'D1'), (1792, 'C'), (1796, 'C'), (1767, 'D'), (1753, 'A2'), (329, 'B'), (460, 'C'), (1163, 'B2'), (4, 'D'), (1582, 'D'), (1672, 'D'), (682, 'C'), (1722, 'E'), (1843, 'E'), (1555, 'D'), (214, 'B'), (1690, 'F'), (1163, 'B1'), (1710, 'A'), (1360, 'F'), (1822, 'F'), (219, 'D'), (2, 'A'), (453, 'A'), (1814, 'B'), (1829, 'G'), (1744, 'E1'), (1795, 'D'), (1562, 'C'), (1180, 'B'), (1618, 'E'), (1810, 'D'), (1611, 'D'), (1771, 'C'), (827, 'A'), (1665, 'C'), (1731, 'C'), (1359, 'C'), (1797, 'C'), (1775, 'C'), (1675, 'E'), (164, 'A'), (1741, 'E'), (295, 'B'), (712, 'C'), (1680, 'C'), (1862, 'E'), (1658, 'D1'), (1869, 'D1'), (1382, 'C2'), (1822, 'E'), (417, 'A'), (1799, 'C'), (1482, 'C'), (1383, 'A'), (1658, 'C'), (1748, 'C'), (1742, 'G'), (1814, 'C'), (1257, 'D'), (940, 'D'), (1774, 'D'), (1542, 'B'), (467, 'C'), (106, 'C'), (1325, 'C'), (1868, 'B1'), (66, 'D'), (1873, 'H'), (1352, 'F'), (1538, 'D'), (1268, 'A'), (128, 'A'), (570, 'C'), (1393, 'C'), (931, 'C'), (1681, 'D'), (1353, 'D'), (46, 'C'), (23, 'B'), (91, 'B'), (1776, 'F'), (1406, 'C'), (1778, 'C'), (923, 'B'), (1516, 'C'), (1527, 'C'), (1738, 'C'), (1342, 'C'), (1693, 'B'), (115, 'B'), (1709, 'D'), (1698, 'D'), (1759, 'E'), (1227, 'D1'), (1833, 'F'), (1676, 'H2'), (409, 'A'), (264, 'B'), (1660, 'F1'), (1795, 'C'), (1774, 'B'), (1861, 'C'), (1478, 'C'), (1766, 'D'), (1689, 'C'), (1515, 'D'), (1372, 'C'), (1348, 'C'), (1760, 'G'), (1253, 'D'), (1332, 'D'), (1561, 'D1'), (276, 'C'), (1817, 'A'), (1530, 'D'), (991, 'C'), (962, 'D'), (1041, 'D'), (1419, 'D2'), (627, 'B'), (1396, 'A'), (817, 'C'), (1466, 'D'), (1849, 'D'), (1255, 'C'), (1321, 'C'), (1334, 'C'), (1400, 'C'), (1593, 'E'), (294, 'B'), (1371, 'D'), (1426, 'D'), (1872, 'E'), (1864, 'D'), (1621, 'B'), (1528, 'A'), (1765, 'N'), (1204, 'C'), (1743, 'D'), (1798, 'D'), (349, 'B'), (566, 'F'), (348, 'A'), (44, 'H'), (930, 'B'), (1753, 'B'), (1368, 'B'), (1811, 'D'), (1283, 'C'), (1789, 'C'), (1551, 'D1'), (1826, 'D'), (126, 'B'), (1677, 'A'), (1842, 'C'), (1646, 'C'), (1364, 'C'), (1254, 'A'), (1802, 'C'), (1474, 'C'), (235, 'A'), (300, 'B'), (1506, 'E'), (1511, 'D'), (500, 'B'), (1730, 'B'), (1806, 'C'), (1772, 'E'), (1850, 'H'), (1851, 'E'), (1835, 'A'), (1439, 'A1'), (1857, 'F'), (1791, 'F'), (20, 'A'), (1804, 'C'), (1487, 'C'), (1703, 'G'), (1368, 'C'), (1779, 'D'), (1006, 'E'), (1840, 'E'), (1594, 'D'), (1684, 'D'), (1000, 'C'), (1707, 'A'), (1742, 'F'), (1706, 'D1'), (1700, 'C'), (1801, 'A'), (1792, 'D'), (1070, 'H'), (1625, 'C'), (1770, 'C'), (1781, 'C'), (1836, 'C'), (510, 'B'), (28, 'B'), (1313, 'B'), (978, 'G'), (22, 'C'), (1702, 'F'), (1829, 'H'), (1, 'B'), (773, 'A'), (1783, 'C'), (1849, 'C'), (1688, 'C'), (75, 'C'), (1800, 'E2'), (1798, 'C'), (1352, 'G'), (1714, 'D'), (1481, 'C'), (1619, 'E'), (1626, 'C'), (1687, 'B'), (1787, 'C'), (1879, 'D'), (1809, 'C'), (702, 'C'), (913, 'C'), (939, 'D'), (166, 'E'), (1032, 'C'), (1111, 'C'), (1399, 'D'), (409, 'C'), (1833, 'E'), (1660, 'E')}",267
CWJ_123,1902,Yes,1902,"{(1731, 'D'), (1498, 'C'), (1469, 'D'), (1475, 'E'), (1822, 'G1'), (1497, 'C2'), (474, 'D'), (1326, 'D1'), (1735, 'D'), (1237, 'C1'), (1537, 'E1'), (1579, 'E2'), (1632, 'C'), (1165, 'D'), (1677, 'B'), (1184, 'C1'), (1592, 'C'), (1407, 'C'), (1856, 'C'), (1754, 'C2'), (1673, 'C'), (1288, 'C'), (1422, 'C'), (1644, 'D'), (1579, 'F'), (578, 'B'), (1765, 'D'), (1361, 'A'), (1633, 'D'), (1732, 'D1'), (1263, 'D'), (848, 'A'), (1692, 'H'), (1818, 'C'), (1796, 'C'), (1622, 'C'), (1461, 'D'), (1163, 'B2'), (1305, 'C'), (460, 'C'), (1722, 'E'), (1843, 'E'), (1490, 'F'), (847, 'H'), (151, 'D'), (1163, 'B1'), (1360, 'F'), (1603, 'B'), (453, 'A'), (1814, 'B'), (1368, 'D'), (1858, 'B'), (1795, 'D'), (1552, 'B'), (1486, 'B'), (1607, 'E'), (1486, 'C1'), (327, 'C'), (1771, 'C'), (1344, 'A'), (1374, 'E1'), (1665, 'C'), (1359, 'C'), (1731, 'C'), (1775, 'C'), (1612, 'D'), (1469, 'C'), (580, 'C'), (835, 'C'), (1680, 'C'), (1862, 'E'), (1363, 'C'), (1284, 'C'), (1550, 'C'), (1516, 'B'), (1748, 'C'), (1742, 'G'), (1814, 'C'), (1629, 'D'), (1542, 'B'), (1151, 'D'), (818, 'B'), (1631, 'C'), (1699, 'C'), (570, 'C'), (1681, 'D'), (1670, 'D'), (1353, 'D'), (1459, 'C'), (1514, 'C'), (780, 'B'), (1336, 'A'), (1395, 'C'), (1461, 'C'), (1516, 'C'), (1661, 'C'), (1342, 'C'), (1165, 'E'), (1542, 'C'), (1349, 'A'), (1468, 'K'), (1529, 'C'), (1795, 'C'), (1623, 'C'), (1610, 'C'), (1689, 'C'), (1304, 'C'), (1760, 'G'), (1348, 'C'), (1660, 'D'), (1343, 'D'), (1519, 'D'), (1279, 'D'), (1687, 'A'), (1419, 'D2'), (1295, 'C'), (1611, 'E1'), (1340, 'B'), (1396, 'A'), (817, 'C'), (1849, 'D'), (1334, 'C'), (1321, 'C'), (1255, 'C'), (1598, 'D'), (1466, 'D'), (1371, 'D'), (1872, 'E'), (1140, 'C'), (1373, 'D'), (845, 'C'), (1327, 'C'), (1789, 'C'), (1417, 'C'), (1826, 'D'), (126, 'B'), (1646, 'C'), (1419, 'C'), (1702, 'E'), (1474, 'C'), (1506, 'E'), (1730, 'B'), (1389, 'B'), (1772, 'E'), (1791, 'F'), (1188, 'A1'), (1714, 'G'), (1281, 'B'), (1703, 'G'), (1336, 'B'), (1491, 'C'), (1557, 'C'), (1175, 'B'), (1151, 'B'), (845, 'B'), (1512, 'E'), (1684, 'D'), (1707, 'A'), (1742, 'F'), (733, 'D'), (1700, 'C'), (1504, 'C'), (847, 'B'), (1770, 'C'), (1133, 'F1'), (1398, 'C'), (1137, 'B'), (1358, 'C'), (616, 'D'), (1702, 'F'), (1313, 'C1'), (1578, 'H'), (1849, 'C'), (1754, 'D'), (1437, 'D'), (1352, 'G'), (1714, 'D'), (1175, 'C'), (837, 'B'), (1005, 'D'), (1660, 'E')}",181
Dev588,1810,Yes,1810,"{(466, 'C'), (1731, 'D'), (1730, 'B'), (1806, 'C'), (1621, 'C'), (1618, 'E'), (1676, 'H2'), (1851, 'E'), (1850, 'H'), (1810, 'D'), (1804, 'C'), (1795, 'C'), (1554, 'B'), (1731, 'C'), (1766, 'D'), (1775, 'C'), (1797, 'C'), (1689, 'C'), (1711, 'C'), (1537, 'D'), (1760, 'G'), (1675, 'E'), (407, 'B'), (1561, 'D1'), (1365, 'D'), (1869, 'D1'), (1690, 'E'), (1550, 'C'), (1543, 'D1'), (1799, 'C'), (1625, 'C'), (1850, 'G'), (1715, 'C'), (1754, 'C2'), (1814, 'C'), (1849, 'D'), (1836, 'C'), (1739, 'C'), (1628, 'B'), (1798, 'D'), (1872, 'E'), (1864, 'D'), (1732, 'D1'), (1538, 'D'), (1849, 'C'), (1708, 'C'), (1738, 'C'), (1796, 'C'), (1800, 'E2'), (1767, 'D'), (1798, 'C'), (1809, 'C'), (1619, 'E'), (1714, 'D'), (1681, 'D'), (1789, 'C'), (1626, 'C'), (1694, 'D'), (1659, 'C'), (1842, 'C'), (1690, 'F'), (1516, 'C'), (1802, 'C'), (1474, 'C'), (1740, 'D'), (1795, 'D')}",66
domovonok,1800,Yes,1800,"{(1851, 'E'), (1791, 'F'), (1857, 'F'), (763, 'A'), (1861, 'C'), (1797, 'C'), (1689, 'C'), (229, 'B'), (295, 'B'), (1862, 'E'), (1365, 'D'), (1742, 'F'), (1856, 'C'), (1850, 'G'), (1742, 'G'), (1811, 'E'), (1814, 'C'), (1857, 'E'), (194, 'C'), (1872, 'E'), (1818, 'C'), (1879, 'D'), (1843, 'E'), (1336, 'A'), (1842, 'C')}",25
