Handle,Max Rating_x,Result,Solved Problems,Problem Count
nanometer01,1442.0,Yes,"{(1837, 'D'), (1846, 'E1'), (1850, 'F'), (1866, 'B'), (1855, 'C1'), (1867, 'C'), (1847, 'C'), (1869, 'C'), (1851, 'E'), (1825, 'C'), (1794, 'C'), (1851, 'D'), (1831, 'C'), (1873, 'F'), (1850, 'G'), (1829, 'F'), (1857, 'E'), (1858, 'B'), (1870, 'C'), (1833, 'D'), (1857, 'D')}",21
Abid_Ul_Islam,1450.0,Yes,"{(1216, 'D'), (1795, 'C'), (1837, 'D'), (26, 'B'), (1768, 'C'), (1324, 'D'), (1873, 'G'), (1742, 'F'), (1615, 'B'), (1506, 'E'), (279, 'B'), (1692, 'G'), (862, 'B'), (1691, 'C'), (1746, 'C'), (1847, 'C'), (1854, 'A1'), (1825, 'C'), (1823, 'C'), (1585, 'C'), (1651, 'C'), (1706, 'C'), (1736, 'C1'), (1628, 'A'), (1607, 'D'), (1618, 'D'), (230, 'B'), (1513, 'B'), (1574, 'C'), (1462, 'E1'), (1719, 'C'), (1809, 'C'), (1391, 'C'), (1873, 'F'), (1864, 'C'), (617, 'B'), (702, 'C'), (1774, 'C'), (1285, 'C'), (1675, 'D'), (1601, 'A'), (1692, 'F'), (1722, 'G'), (1857, 'E'), (1721, 'C'), (1649, 'B'), (1842, 'C'), (1604, 'C'), (1670, 'C'), (1767, 'D'), (1870, 'C'), (1693, 'A'), (479, 'C'), (1760, 'F'), (1804, 'C'), (1571, 'B'), (1487, 'C'), (1698, 'C'), (1740, 'D'), (1444, 'A'), (1676, 'H2'), (1436, 'C'), (1650, 'D'), (1647, 'C'), (1866, 'B'), (189, 'A'), (1766, 'C'), (1821, 'C'), (1863, 'D'), (1732, 'D1'), (1605, 'C'), (1515, 'C'), (1660, 'C'), (1851, 'E'), (1498, 'B'), (1794, 'C'), (1726, 'C'), (1860, 'C'), (1475, 'C'), (1506, 'D'), (1609, 'C'), (1648, 'A'), (1711, 'B'), (1717, 'C'), (1728, 'C'), (1838, 'C'), (1526, 'B'), (1850, 'G'), (1492, 'C'), (1490, 'F'), (1676, 'G'), (1669, 'H'), (1526, 'C1'), (478, 'B'), (1679, 'C'), (1879, 'C'), (1549, 'C'), (1703, 'F'), (1705, 'C'), (1749, 'C'), (1839, 'C'), (1676, 'H1'), (1776, 'H'), (757, 'B'), (1556, 'B'), (1696, 'C'), (701, 'C'), (1487, 'D'), (1535, 'C'), (1676, 'F'), (888, 'C'), (1790, 'E'), (1397, 'B'), (1573, 'B'), (50, 'B'), (1754, 'C1'), (1515, 'D'), (1744, 'E1'), (401, 'C'), (839, 'C'), (1673, 'C'), (1684, 'C'), (1739, 'C'), (1540, 'A'), (1195, 'C'), (455, 'A'), (1775, 'B'), (1851, 'D'), (1792, 'C'), (1831, 'C'), (1466, 'D'), (1701, 'C'), (1482, 'B'), (1714, 'E'), (1627, 'B'), (1748, 'B'), (1737, 'B'), (1858, 'B'), (1486, 'B'), (1439, 'A1'), (1560, 'D'), (1201, 'C'), (762, 'A'), (1733, 'D1'), (414, 'B'), (1659, 'B'), (1203, 'C'), (1846, 'E1'), (987, 'C'), (580, 'C'), (1654, 'C'), (1850, 'F'), (1614, 'C'), (1735, 'C'), (1778, 'B'), (24, 'A'), (1516, 'B'), (1612, 'C'), (1661, 'B'), (1733, 'C'), (1542, 'B'), (1561, 'C'), (1616, 'C'), (1627, 'C'), (1682, 'C'), (1638, 'C'), (1737, 'C'), (1433, 'E'), (1697, 'C'), (1634, 'B'), (1750, 'C'), (1816, 'C'), (1499, 'C'), (1644, 'C'), (1741, 'D'), (1667, 'A'), (1659, 'C'), (1742, 'G'), (1872, 'E'), (1646, 'C'), (1461, 'C'), (1753, 'A2'), (1606, 'C'), (1617, 'C'), (1624, 'D'), (1738, 'C'), (1555, 'C'), (293, 'A'), (1774, 'B'), (1096, 'B')}",190
ParasBedi298,1635.0,Yes,"{(1804, 'C'), (1459, 'B'), (1837, 'D'), (1846, 'E1'), (1810, 'C'), (698, 'A'), (1768, 'C'), (1788, 'C'), (1778, 'B'), (1790, 'E'), (1855, 'C1'), (1845, 'C'), (1863, 'D'), (1814, 'C'), (1847, 'C'), (1869, 'C'), (1851, 'E'), (1823, 'C'), (1805, 'C'), (1697, 'C'), (1725, 'G'), (1269, 'B'), (1786, 'B'), (1851, 'D'), (1792, 'C'), (1284, 'B'), (1775, 'B'), (1838, 'C'), (1719, 'C'), (628, 'B'), (1864, 'C'), (1844, 'C'), (1862, 'D'), (1811, 'E'), (1844, 'D'), (1857, 'E'), (1178, 'B'), (1842, 'C'), (1767, 'D'), (1839, 'C'), (1791, 'F'), (1857, 'D')}",42
__lawliet__,1402.0,Yes,"{(1855, 'C1'), (1867, 'C'), (1869, 'C'), (1873, 'G'), (1857, 'D'), (1857, 'E')}",6
qizhencheng666,1483.0,Yes,"{(1800, 'E1'), (1846, 'E1'), (1850, 'F'), (713, 'A'), (1800, 'E2'), (1855, 'C1'), (1867, 'C'), (1863, 'D'), (697, 'B'), (1847, 'C'), (1759, 'D'), (1105, 'C'), (455, 'A'), (1628, 'A'), (1157, 'C1'), (1851, 'D'), (1152, 'B'), (1547, 'E'), (982, 'C'), (1838, 'C'), (1809, 'C'), (1864, 'C'), (1850, 'G'), (1844, 'C'), (1197, 'C'), (1538, 'F'), (1272, 'D'), (1811, 'E'), (1844, 'D'), (1857, 'E'), (1842, 'C'), (995, 'B'), (1879, 'C'), (981, 'C'), (1870, 'C'), (1857, 'D'), (545, 'C')}",37
Saumyasharma2003,1435.0,Yes,"{(1873, 'G'), (1867, 'C'), (1870, 'C')}",3
Priyam_Jha,1415.0,Yes,"{(1839, 'C')}",1
abdelrahman_wael1029,1485.0,Yes,"{(451, 'B'), (1285, 'B'), (1795, 'C'), (1837, 'D'), (26, 'B'), (1324, 'D'), (1066, 'C'), (1108, 'D'), (416, 'A'), (1615, 'B'), (1364, 'B'), (279, 'B'), (1855, 'C1'), (1692, 'G'), (534, 'B'), (1379, 'B'), (1746, 'C'), (234, 'C'), (600, 'B'), (1519, 'C'), (996, 'B'), (489, 'C'), (1736, 'C1'), (1628, 'A'), (798, 'B'), (1607, 'D'), (1618, 'D'), (230, 'B'), (602, 'B'), (1119, 'B'), (1270, 'C'), (975, 'C'), (1809, 'C'), (1774, 'C'), (1864, 'C'), (628, 'B'), (1602, 'C'), (1668, 'C'), (1285, 'C'), (1675, 'D'), (1692, 'F'), (520, 'B'), (1332, 'B'), (1721, 'C'), (1453, 'B'), (1842, 'C'), (445, 'B'), (907, 'B'), (1249, 'C2'), (1870, 'C'), (25, 'A'), (545, 'C'), (1183, 'C'), (1804, 'C'), (702, 'B'), (492, 'C'), (1370, 'C'), (189, 'A'), (1766, 'C'), (1845, 'C'), (1732, 'D1'), (1498, 'B'), (1143, 'C'), (1443, 'B'), (1660, 'C'), (96, 'B'), (1037, 'C'), (1860, 'C'), (1506, 'D'), (1276, 'A'), (1772, 'D'), (371, 'B'), (1260, 'B'), (505, 'B'), (1728, 'C'), (1547, 'E'), (1350, 'B'), (1717, 'C'), (1838, 'C'), (1466, 'C'), (681, 'B'), (1294, 'C'), (1840, 'D'), (1676, 'G'), (1375, 'C'), (1249, 'C1'), (1669, 'H'), (1679, 'C'), (1373, 'C'), (960, 'B'), (1694, 'C'), (548, 'B'), (1703, 'F'), (1443, 'C'), (1169, 'B'), (550, 'B'), (1163, 'B1'), (165, 'B'), (701, 'C'), (1535, 'C'), (816, 'B'), (1676, 'F'), (888, 'C'), (1249, 'B2'), (246, 'B'), (1463, 'B'), (1452, 'B'), (1201, 'B'), (1573, 'B'), (50, 'B'), (1744, 'E1'), (1771, 'B'), (1374, 'D'), (1630, 'A'), (1195, 'C'), (455, 'A'), (525, 'B'), (1348, 'B'), (580, 'B'), (1786, 'B'), (1792, 'C'), (1775, 'B'), (44, 'E'), (1631, 'C'), (912, 'B'), (1380, 'C'), (1820, 'C'), (1701, 'C'), (1714, 'E'), (573, 'A'), (476, 'B'), (1737, 'B'), (797, 'B'), (1758, 'C'), (1201, 'C'), (1095, 'C'), (762, 'A'), (1420, 'C1'), (414, 'B'), (1303, 'B'), (614, 'B'), (253, 'B'), (1282, 'B1'), (1203, 'C'), (1654, 'C'), (987, 'C'), (580, 'C'), (698, 'A'), (1461, 'B'), (1661, 'B'), (1733, 'C'), (1542, 'B'), (1627, 'C'), (1697, 'C'), (1040, 'B'), (459, 'B'), (538, 'B'), (604, 'B'), (1816, 'C'), (1844, 'C'), (1197, 'C'), (1742, 'G'), (1133, 'D'), (1606, 'C'), (4, 'C'), (893, 'C'), (1791, 'F'), (264, 'B'), (1093, 'C'), (388, 'A'), (1555, 'C'), (1256, 'D'), (940, 'B')}",173
uxinglaohu,1484.0,Yes,"{(1804, 'C'), (1800, 'E1'), (1795, 'C'), (1810, 'C'), (1850, 'F'), (1873, 'G'), (1800, 'E2'), (1855, 'C1'), (1845, 'C'), (1867, 'C'), (1863, 'D'), (1821, 'C'), (1847, 'C'), (1869, 'C'), (1823, 'C'), (1825, 'C'), (1660, 'C'), (1794, 'C'), (1860, 'C'), (1409, 'D'), (1771, 'B'), (1792, 'C'), (1838, 'C'), (1831, 'C'), (1873, 'F'), (1864, 'C'), (1818, 'C'), (1820, 'C'), (1850, 'G'), (1844, 'C'), (1862, 'D'), (298, 'A'), (1857, 'E'), (1872, 'E'), (1858, 'B'), (1842, 'C'), (1879, 'C'), (1826, 'C'), (1870, 'C'), (1833, 'D'), (1839, 'C'), (1857, 'D')}",42
Hanaa,1554.0,Yes,"{(1216, 'D'), (451, 'B'), (1837, 'D'), (1100, 'B'), (295, 'A'), (1873, 'G'), (1742, 'F'), (1324, 'D'), (1517, 'C'), (1250, 'A'), (220, 'A'), (279, 'B'), (1692, 'G'), (1691, 'C'), (1847, 'C'), (1825, 'C'), (1823, 'C'), (1178, 'C'), (489, 'C'), (1389, 'C'), (1400, 'C'), (1736, 'C1'), (1352, 'D'), (1607, 'D'), (230, 'B'), (1574, 'C'), (507, 'B'), (1719, 'C'), (975, 'C'), (1774, 'C'), (1873, 'F'), (1594, 'E1'), (1296, 'C'), (1668, 'C'), (1675, 'D'), (1649, 'B'), (1253, 'B'), (1692, 'F'), (1721, 'C'), (520, 'B'), (1604, 'C'), (445, 'B'), (1670, 'C'), (1249, 'C2'), (1826, 'C'), (1833, 'D'), (1551, 'B2'), (479, 'C'), (1234, 'B2'), (1760, 'F'), (486, 'B'), (1698, 'C'), (1764, 'C'), (1676, 'H2'), (1436, 'C'), (414, 'A'), (441, 'C'), (189, 'A'), (915, 'B'), (1766, 'C'), (1845, 'C'), (1443, 'B'), (1821, 'C'), (1732, 'D1'), (437, 'B'), (413, 'B'), (1660, 'C'), (1851, 'E'), (137, 'C'), (1352, 'F'), (448, 'B'), (96, 'B'), (873, 'B'), (152, 'C'), (1772, 'D'), (30, 'A'), (505, 'B'), (1728, 'C'), (1717, 'C'), (1838, 'C'), (1371, 'C'), (1840, 'D'), (1676, 'G'), (35, 'C'), (316, 'A2'), (1249, 'C1'), (1669, 'H'), (1844, 'D'), (478, 'B'), (1679, 'C'), (282, 'B'), (271, 'B'), (337, 'B'), (92, 'C'), (1703, 'F'), (1694, 'C'), (1839, 'C'), (131, 'C'), (1676, 'H1'), (1380, 'B'), (205, 'B'), (1696, 'C'), (550, 'B'), (1762, 'C'), (233, 'B'), (1139, 'C'), (1676, 'F'), (1249, 'B2'), (1154, 'C'), (1106, 'D'), (277, 'A'), (332, 'A'), (1754, 'C1'), (1744, 'E1'), (401, 'C'), (839, 'C'), (1684, 'C'), (1739, 'C'), (1771, 'B'), (1374, 'D'), (282, 'C'), (1195, 'C'), (455, 'A'), (514, 'B'), (1775, 'B'), (1754, 'C2'), (1690, 'E'), (318, 'B'), (1631, 'C'), (450, 'B'), (1380, 'C'), (1831, 'C'), (289, 'B'), (1701, 'C'), (1538, 'F'), (476, 'B'), (236, 'B'), (357, 'B'), (1758, 'C'), (62, 'A'), (493, 'B'), (1654, 'C'), (1846, 'E1'), (508, 'B'), (1810, 'C'), (580, 'C'), (1850, 'F'), (1735, 'C'), (1154, 'D'), (1759, 'E'), (1352, 'E'), (1661, 'B'), (1555, 'B'), (1682, 'C'), (219, 'B'), (1697, 'C'), (1629, 'C'), (276, 'B'), (1789, 'C'), (1741, 'D'), (1844, 'C'), (1829, 'F'), (1538, 'C'), (363, 'C'), (268, 'C'), (1551, 'C'), (1617, 'C'), (893, 'C'), (1738, 'C'), (388, 'A'), (1555, 'C'), (182, 'D'), (1774, 'B'), (403, 'A')}",174
