Problem,Contest,Index,Tags,solvedCount
Sum of XOR Functions,1879,D,"bitmasks, combinatorics, divide and conquer, dp, math",5249
Mad City,1873,H,"dfs and similar, dsu, games, graphs, shortest paths, trees",4947
Selling a Menagerie,1872,F,"dfs and similar, dsu, graphs, implementation, math",4746
Prefix Purchase,1870,D,"greedy, implementation, sortings",5470
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math",5484
Cyclic Operations,1867,D,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",4537
Completely Searching for Inversions,1866,C,"dfs and similar, dp, graphs",2528
Matrix Cascade,1864,D,"brute force, constructive algorithms, data structures, dp, greedy, math",5656
Magic Will Save the World,1862,F,"binary search, bitmasks, brute force, dp",4684
Sorting By Multiplication,1861,D,"dp, greedy",5149
Andrey and Escape from Capygrad,1859,D,"binary search, data structures, dp, dsu, greedy, sortings",5820
PermuTree (easy version),1856,E1,"dfs and similar, dp, trees",4224
Dual (Hard Version),1854,A2,"constructive algorithms, math",6050
Imbalanced Arrays,1852,B,"constructive algorithms, graphs, greedy, math, sortings, two pointers",3546
Ntarsis' Set,1852,A,"binary search, math, number theory",6625
Lisa and the Martians,1851,F,"bitmasks, greedy, math, strings, trees",4490
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation",6267
Array Painting,1849,D,"constructive algorithms, greedy, two pointers",6747
Vika and Price Tags,1848,C,"math, number theory",5288
Professor Higashikata,1847,D,"data structures, dsu, greedy, implementation, strings",3243
Rudolf and CodeVid-23,1846,G,"bitmasks, dp, graphs, greedy, shortest paths",3573
Rudolph and Mimic,1846,F,"constructive algorithms, implementation, interactive",2465
Rudolf and Snowflakes (hard version),1846,E2,"binary search, brute force, implementation, math",5845
Rating System,1845,D,"binary search, brute force, data structures, dp, dsu, greedy, math, two pointers",6499
Omsk Metro (simple version),1843,F1,"data structures, dfs and similar, dp, graphs, greedy, math, trees",4431
Tenzing and His Animal Friends ,1842,D,"constructive algorithms, graphs, greedy",3576
Ranom Numbers,1841,C,"brute force, dp, greedy, math, strings",6626
k-th equality,1835,A,"brute force, implementation, math",6695
Survey in Class,1834,D,"brute force, data structures, greedy, implementation, sortings",3793
Ksyusha and Chinchilla,1833,G,"constructive algorithms, dfs and similar, dp, dsu, greedy, implementation, trees",4243
Ira and Flamenco,1833,F,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers",5759
Don't Blame Me,1829,H,"bitmasks, combinatorics, dp, math",5955
Running Miles,1826,D,"brute force, dp, greedy",6776
LuoTianyi and the Floating Islands (Easy Version),1824,B1,"combinatorics, math, probabilities, trees",3910
Unique Palindromes,1823,D,"constructive algorithms, math, strings",3288
Magic Triples (Easy Version),1822,G1,"brute force, data structures, math, number theory",5577
Gardening Friends,1822,F,"brute force, dfs and similar, dp, graphs, trees",4791
Black Cells,1821,D,"binary search, brute force, greedy, math",4271
The Butcher,1819,B,"geometry, greedy, implementation, sortings, two pointers",3112
Fish Graph,1817,B,"brute force, constructive algorithms, dfs and similar, graphs",3435
Long Legs,1814,B,"brute force, math",8557
Climbing the Tree,1810,D,"binary search, math",6472
Binary String Sorting,1809,D,"constructive algorithms, greedy",5248
Unlucky Numbers,1808,C,"brute force, dp, greedy, implementation",3224
Bouncy Ball,1807,F,"brute force, dfs and similar, implementation",5242
"A Wide, Wide Graph",1805,D,"dfs and similar, dp, graphs, greedy, trees",5361
Music Festival,1801,C,"binary search, data structures, dp, greedy, sortings",2848
Buying gifts,1801,B,"data structures, greedy, sortings",5160
Dasha and Nightmares,1800,F,"bitmasks, hashing, meet-in-the-middle, strings",3182
Hot Start Up (easy version),1799,D1,dp,3574
Double Lexicographically Minimum,1799,C,"greedy, strings",5011
Candy Store,1798,C,"greedy, math, number theory",7141
Li Hua and Tree,1797,D,"brute force, data structures, dfs and similar, dp, implementation, trees",3270
Counting Factorizations,1794,D,"combinatorics, divide and conquer, dp, math, number theory",3033
Moscow Gorillas,1793,D,"binary search, dp, greedy, implementation, math, two pointers",5232
Fixed Prefix Permutations,1792,D,"binary search, bitmasks, data structures, hashing, math, sortings",5432
Teleporters (Hard Version),1791,G2,"binary search, greedy, sortings",3990
Game on Axis,1787,D,"combinatorics, dfs and similar, dsu, graphs, implementation",3055
Letter Exchange,1784,B,constructive algorithms,3040
Yet Another Tournament,1783,C,"binary search, greedy, sortings",8078
Many Perfect Squares,1781,D,"brute force, math, number theory",4899
Bit Guessing Game,1780,D,"binary search, bitmasks, constructive algorithms, interactive",4250
Boris and His Amazing Haircut,1779,D,"constructive algorithms, data structures, dp, dsu, greedy, sortings",6904
Score of a Tree,1777,D,"bitmasks, combinatorics, dfs and similar, dp, math, probabilities, trees",2883
Quiz Master,1777,C,"binary search, math, number theory, sortings, two pointers",6825
Train Splitting,1776,F,"constructive algorithms, graphs, greedy",2825
Friendly Spiders,1775,D,"dfs and similar, graphs, math, number theory, shortest paths",5057
Two Chess Pieces,1774,E,"dfs and similar, dp, greedy, trees",3091
