Problem,Contest,Index,Tags,solvedCount
Traps,1684.0,D,"constructive algorithms, greedy, sortings",8810
Count The Blocks,1327.0,E,"combinatorics, dp, math",8226
MEX and Increments,1619.0,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings",8097
Slime,1038.0,D,"dp, greedy, implementation",7872
Task On The Board,1367.0,D,"constructive algorithms, greedy, implementation, sortings",7755
Replace the Numbers,1620.0,E,"constructive algorithms, data structures, dsu, implementation",7215
A/B Matrix,1360.0,G,"constructive algorithms, greedy, math",7169
Yet Another Monster Killing Problem,1257.0,D,"binary search, data structures, dp, greedy, sortings, two pointers",7017
"Rock, Paper, Scissors",1426.0,E,"brute force, constructive algorithms, flows, greedy, math",6934
Boris and His Amazing Haircut,1779.0,D,"constructive algorithms, data structures, dp, dsu, greedy, sortings",6904
String Coloring (easy version),1296.0,E1,"constructive algorithms, dp, graphs, greedy, sortings",6763
Array Painting,1849.0,D,"constructive algorithms, greedy, two pointers",6747
Zookeeper and The Infinite Zoo,1491.0,D,"bitmasks, constructive algorithms, dp, greedy, math",6563
K-periodic Garland,1353.0,E,"brute force, dp, greedy",6537
Climbing the Tree,1810.0,D,"binary search, math",6480
Climbing the Tree,1810.0,D,"binary search, math",6472
Gambling,1692.0,H,"data structures, dp, greedy, math",6392
New Year and the Permutation Concatenation,1091.0,D,"combinatorics, dp, math",6370
Beautiful Array,1155.0,D,"brute force, data structures, divide and conquer, dp, greedy",6361
Tree with Maximum Cost,1092.0,F,"dfs and similar, dp, trees",6311
Extra Element,1185.0,D,"implementation, math",6277
Lucky Permutation,1768.0,D,"constructive algorithms, dfs and similar, graphs, greedy",6126
Superhero Battle,1141.0,E,math,6060
Three Bags,1467.0,C,"constructive algorithms, greedy",6020
Relatively Prime Graph,1009.0,D,"brute force, constructive algorithms, graphs, greedy, math",6013
1-2-K Game,1194.0,D,"games, math",5991
New Year Parties,1283.0,E,"dp, greedy",5973
Don't Blame Me,1829.0,H,"bitmasks, combinatorics, dp, math",5955
Shortest and Longest LIS,1304.0,D,"constructive algorithms, graphs, greedy, two pointers",5899
Vasya And Array,1187.0,C,"constructive algorithms, greedy, implementation",5892
Rudolf and Snowflakes (hard version),1846.0,E2,"binary search, brute force, implementation, math",5845
Skyscrapers (hard version),1313.0,C2,"data structures, dp, greedy",5831
Andrey and Escape from Capygrad,1859.0,D,"binary search, data structures, dp, dsu, greedy, sortings",5820
Maximum AND,1721.0,D,"bitmasks, dfs and similar, divide and conquer, greedy, sortings",5797
Genius's Gambit,1492.0,D,"bitmasks, constructive algorithms, greedy, math",5729
Balanced Removals (Easier),1237.0,C1,"constructive algorithms, geometry, greedy",5725
Magic Ship,1117.0,C,binary search,5706
Cyclic Rotation,1672.0,D,"constructive algorithms, greedy, implementation, two pointers",5696
Vus the Cossack and Strings,1186.0,C,"implementation, math",5685
Matrix Cascade,1864.0,D,"brute force, constructive algorithms, data structures, dp, greedy, math",5669
Matrix Cascade,1864.0,D,"brute force, constructive algorithms, data structures, dp, greedy, math",5656
Nearest Beautiful Number (easy version),1560.0,F1,"binary search, bitmasks, brute force, constructive algorithms, dfs and similar, greedy",5620
Santa's Bot,1279.0,D,"combinatorics, math, probabilities",5606
Education,1512.0,F,"brute force, dp, greedy, implementation",5603
Prefix Purchase,1870.0,D,"greedy, implementation, sortings",5492
River Locks,1700.0,D,"binary search, dp, greedy, math",5482
Prefix Purchase,1870.0,D,"greedy, implementation, sortings",5470
Fixed Prefix Permutations,1792.0,D,"binary search, bitmasks, data structures, hashing, math, sortings",5432
Salary Changing,1251.0,D,"binary search, greedy, sortings",5373
XOR Guessing,1207.0,E,"bitmasks, interactive, math",5349
Sum of XOR Functions,1879.0,D,"bitmasks, combinatorics, divide and conquer, dp, math",5287
