Handle,Max Rating_x,Result
prairie2022,2115.0,Yes
JWRuixi,2106.0,Yes
Jerry20110434,2190.0,Yes
Francesco4203,2130.0,Yes
Kita,2137.0,Yes
Issa,2115.0,Yes
dreamy_jasper,2086.0,Yes
Iamjuruo,2079.0,Yes
unordered_map,2212.0,Yes
The_thought_of_fallout,2202.0,Yes
_morsmordre_,2077.0,Yes
ScorpioDagger,2082.0,Yes
koderkushy,2331.0,Yes
parsa-golestani,2159.0,Yes
zdc123456,2228.0,Yes
Error_Yuan,2095.0,Yes
ITworker_Z,2229.0,Yes
lerasimus,2061.0,Yes
zc_zxq,2060.0,Yes
D0min0,2171.0,Yes
alexdd,2097.0,Yes
Gergyg,2161.0,Yes
Hectonit,2116.0,Yes
Paul_Liao_1457,2179.0,Yes
Richw818,2155.0,Yes
kimmoqt,2101.0,Yes
yzb002,2049.0,Yes
-LAP-,2091.0,Yes
oval_m,2133.0,Yes
petamingks,2108.0,Yes
Alan,2042.0,Yes
SMIrrichto,2032.0,Yes
xuyufeiya,2153.0,Yes
Galetx,2068.0,Yes
El.LeBron,2016.0,Yes
nalemy,2075.0,Yes
cpbeginner,2114.0,Yes
adamsoltan,2180.0,Yes
JadeReaper,2008.0,Yes
uhtyzmaaa,2110.0,Yes
kingmessi,2201.0,Yes
yamia,2040.0,Yes
lonely_forever,1992.0,Yes
Lalic,1994.0,Yes
Twilight_Shimmer,1985.0,Yes
tch1cherin,2210.0,Yes
flamengo,1983.0,Yes
RamanujGoel,2082.0,Yes
newamnesia,1976.0,Yes
Dec0Dedd,1974.0,Yes
sha7dow,2032.0,Yes
HEltim7,2105.0,Yes
Pa_sha,1965.0,Yes
SimilarifiedFate,1964.0,Yes
Shayan86,2234.0,Yes
DerekYeh,2018.0,Yes
sputn1k,2048.0,Yes
3abqreno,1961.0,Yes
Bossusuprem,1983.0,Yes
luoshen,2129.0,Yes
stan23456,2069.0,Yes
Lrosfrv,1952.0,Yes
TrendBattleswillwinioi,1951.0,Yes
sv1shan,2170.0,Yes
Vanthoci,1963.0,Yes
hulm,1952.0,Yes
skhan_org,2016.0,Yes
volodya_petarda,1989.0,Yes
DAleksa,2069.0,Yes
Omar_Mohammad,1998.0,Yes
mihneacazan,1945.0,Yes
newbiepupilspecialist,1945.0,Yes
Leo_0503,1944.0,Yes
iam_czx,1941.0,Yes
Lazy.JPG,2040.0,Yes
y200,2003.0,Yes
wangjunchao,1960.0,Yes
Floating_Duck,1933.0,Yes
Rising-coder,1932.0,Yes
carnation13,2010.0,Yes
Ste,1930.0,Yes
haoren258,2018.0,Yes
fclvbfm934,1928.0,Yes
profchi,2149.0,Yes
qqq1n,1927.0,Yes
Hackerman278,1956.0,Yes
Tyx2019,1964.0,Yes
FBI,1953.0,Yes
Mr..Bot,1964.0,Yes
Autreekt,1921.0,Yes
xyloph0nex17,1921.0,Yes
zhouyuheng2009,2007.0,Yes
TMM233,1981.0,Yes
MinaRagy06,1958.0,Yes
ZiadEl-Gafy,1938.0,Yes
perchuts,2197.0,Yes
cp_first,1970.0,Yes
Surver,1968.0,Yes
Shui_Dream,1908.0,Yes
xX_I_Have_Esbat_Xx,1951.0,Yes
