Handle,Max Rating_x,Result,Max Rating_y
Ormlis,3410,Yes,3410
244mhq,3278,Yes,3278
ChemicalEquilibrium,2975,Yes,2975
K-H,2962,Yes,2918
MagicSpark,2900,Yes,2874
PinkieRabbit,2954,Yes,2954
xukai,2827,Yes,2821
tokusakurai,2898,Yes,2898
crazy_sea,2823,Yes,2823
Kapt,2882,Yes,2882
AmazingTalker_Frank,2725,Yes,2650
stkwill,2808,Yes,2808
dingdingsb,2655,Yes,2655
paul2008,2655,Yes,2655
JCY_,2648,Yes,2648
newbie__wrz,2643,Yes,2643
milisav,2682,Yes,2682
_Peter_,2765,Yes,2765
Dominater069,2636,Yes,2552
Toxel,2901,Yes,2901
thenymphsofdelphi,2752,Yes,2752
umbrella-leaf,2600,Yes,2600
GeZhiyuan,2582,Yes,2582
jdurie,2705,Yes,2705
namelessgugugu,2562,Yes,2562
dog_of_Nesraychan,2599,Yes,2599
TheLuminousSky,2556,Yes,2529
yuanhaowei,2551,Yes,2551
Everule,2610,Yes,2610
chen_zexing,2575,Yes,2575
Tony2_CF,2557,Yes,2557
chinerist,2698,Yes,2698
zltzlt,2503,Yes,2464
jtnydv25,2675,Yes,2675
kyo20111,2501,Yes,2487
ttttan,2534,Yes,2534
AmShZ,2603,Yes,2603
sevlll777,2549,Yes,2549
-is-this-fft-,2645,Yes,2645
Fido_Puppy,2461,Yes,2429
JeanBombeur,2566,Yes,2566
yaoxi,2597,Yes,2597
N_z__,2460,Yes,2460
sbzhangjianjun,2447,Yes,2447
locsey,2436,Yes,2436
zidder,2586,Yes,2586
TKT_YI,2500,Yes,2500
EMBailey,2427,Yes,2427
