Problem,Contest,Index,Tags
Sum of XOR Functions,1879,D,"bitmasks, combinatorics, divide and conquer, dp, math"
Mad City,1873,H,"dfs and similar, dsu, games, graphs, shortest paths, trees"
Selling a Menagerie,1872,F,"dfs and similar, dsu, graphs, implementation, math"
Prefix Purchase,1870,D,"greedy, implementation, sortings"
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math"
Cyclic Operations,1867,D,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation"
Completely Searching for Inversions,1866,C,"dfs and similar, dp, graphs"
Matrix Cascade,1864,D,"brute force, constructive algorithms, data structures, dp, greedy, math"
Magic Will Save the World,1862,F,"binary search, bitmasks, brute force, dp"
Sorting By Multiplication,1861,D,"dp, greedy"
Andrey and Escape from Capygrad,1859,D,"binary search, data structures, dp, dsu, greedy, sortings"
PermuTree (easy version),1856,E1,"dfs and similar, dp, trees"
Dual (Hard Version),1854,A2,"constructive algorithms, math"
Imbalanced Arrays,1852,B,"constructive algorithms, graphs, greedy, math, sortings, two pointers"
Ntarsis' Set,1852,A,"binary search, math, number theory"
Lisa and the Martians,1851,F,"bitmasks, greedy, math, strings, trees"
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation"
Array Painting,1849,D,"constructive algorithms, greedy, two pointers"
Vika and Price Tags,1848,C,"math, number theory"
Professor Higashikata,1847,D,"data structures, dsu, greedy, implementation, strings"
Rudolf and CodeVid-23,1846,G,"bitmasks, dp, graphs, greedy, shortest paths"
Rudolph and Mimic,1846,F,"constructive algorithms, implementation, interactive"
Rudolf and Snowflakes (hard version),1846,E2,"binary search, brute force, implementation, math"
Rating System,1845,D,"binary search, brute force, data structures, dp, dsu, greedy, math, two pointers"
Omsk Metro (simple version),1843,F1,"data structures, dfs and similar, dp, graphs, greedy, math, trees"
Tenzing and His Animal Friends ,1842,D,"constructive algorithms, graphs, greedy"
Ranom Numbers,1841,C,"brute force, dp, greedy, math, strings"
k-th equality,1835,A,"brute force, implementation, math"
Survey in Class,1834,D,"brute force, data structures, greedy, implementation, sortings"
Ksyusha and Chinchilla,1833,G,"constructive algorithms, dfs and similar, dp, dsu, greedy, implementation, trees"
Ira and Flamenco,1833,F,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers"
Don't Blame Me,1829,H,"bitmasks, combinatorics, dp, math"
Running Miles,1826,D,"brute force, dp, greedy"
LuoTianyi and the Floating Islands (Easy Version),1824,B1,"combinatorics, math, probabilities, trees"
Unique Palindromes,1823,D,"constructive algorithms, math, strings"
Magic Triples (Easy Version),1822,G1,"brute force, data structures, math, number theory"
Gardening Friends,1822,F,"brute force, dfs and similar, dp, graphs, trees"
Black Cells,1821,D,"binary search, brute force, greedy, math"
The Butcher,1819,B,"geometry, greedy, implementation, sortings, two pointers"
Fish Graph,1817,B,"brute force, constructive algorithms, dfs and similar, graphs"
Long Legs,1814,B,"brute force, math"
Climbing the Tree,1810,D,"binary search, math"
Binary String Sorting,1809,D,"constructive algorithms, greedy"
Unlucky Numbers,1808,C,"brute force, dp, greedy, implementation"
Bouncy Ball,1807,F,"brute force, dfs and similar, implementation"
"A Wide, Wide Graph",1805,D,"dfs and similar, dp, graphs, greedy, trees"
Music Festival,1801,C,"binary search, data structures, dp, greedy, sortings"
Buying gifts,1801,B,"data structures, greedy, sortings"
Dasha and Nightmares,1800,F,"bitmasks, hashing, meet-in-the-middle, strings"
Hot Start Up (easy version),1799,D1,dp
Double Lexicographically Minimum,1799,C,"greedy, strings"
Candy Store,1798,C,"greedy, math, number theory"
Li Hua and Tree,1797,D,"brute force, data structures, dfs and similar, dp, implementation, trees"
Counting Factorizations,1794,D,"combinatorics, divide and conquer, dp, math, number theory"
Moscow Gorillas,1793,D,"binary search, dp, greedy, implementation, math, two pointers"
Fixed Prefix Permutations,1792,D,"binary search, bitmasks, data structures, hashing, math, sortings"
Teleporters (Hard Version),1791,G2,"binary search, greedy, sortings"
Game on Axis,1787,D,"combinatorics, dfs and similar, dsu, graphs, implementation"
Letter Exchange,1784,B,constructive algorithms
Yet Another Tournament,1783,C,"binary search, greedy, sortings"
Many Perfect Squares,1781,D,"brute force, math, number theory"
Bit Guessing Game,1780,D,"binary search, bitmasks, constructive algorithms, interactive"
Boris and His Amazing Haircut,1779,D,"constructive algorithms, data structures, dp, dsu, greedy, sortings"
Score of a Tree,1777,D,"bitmasks, combinatorics, dfs and similar, dp, math, probabilities, trees"
Quiz Master,1777,C,"binary search, math, number theory, sortings, two pointers"
Train Splitting,1776,F,"constructive algorithms, graphs, greedy"
Friendly Spiders,1775,D,"dfs and similar, graphs, math, number theory, shortest paths"
Two Chess Pieces,1774,E,"dfs and similar, dp, greedy, trees"
King's Puzzle,1773,K,constructive algorithms
Amazing Trick,1773,A,"constructive algorithms, graph matchings, math, probabilities"
Permutation Game,1772,E,games
Koxia and Number Theory,1770,C,"brute force, chinese remainder theorem, math, number theory"
Игра в Девятку I,1769,D1,"*special, brute force, dp"
Lucky Permutation,1768,D,"constructive algorithms, dfs and similar, graphs, greedy"
Watch the Videos,1765,D,"binary search, constructive algorithms, two pointers"
SlavicG's Favorite Problem,1760,G,"bitmasks, dfs and similar, graphs"
Restore the Permutation,1759,G,"binary search, constructive algorithms, data structures, greedy, math"
All Possible Digits,1759,F,"binary search, data structures, greedy, math, number theory"
Range = √Sum,1758,D,"binary search, brute force, constructive algorithms, math, two pointers"
Count GCD,1750,D,"combinatorics, math, number theory"
Counting Arrays,1749,D,"combinatorics, dp, math, number theory"
Yet Another Problem,1747,D,"binary search, bitmasks, constructive algorithms, data structures"
Paths on the Tree,1746,D,"dfs and similar, dp, greedy, sortings, trees"
Divisible Numbers (hard version),1744,E2,"brute force, math, number theory"
Problem with Random Tests,1743,D,"brute force, dp, greedy, probabilities"
Hanging Hearts,1740,E,"constructive algorithms, data structures, dfs and similar, dp, greedy, trees"
Reset K Edges,1739,D,"binary search, data structures, dfs and similar, graphs, greedy, trees"
Permutation Addicts,1738,D,"constructive algorithms, data structures, dfs and similar, dsu, graphs, trees"
Meta-set,1735,D,"brute force, combinatorics, data structures, hashing, math"
Slime Escape,1734,D,"data structures, dp, greedy, two pointers"
Sheikh (Easy version),1732,C1,"binary search, bitmasks, greedy, two pointers"
Valiant's New Map,1731,D,"binary search, brute force, data structures, dp, two pointers"
Even Subarrays,1731,C,"bitmasks, brute force, hashing, math, number theory"
Kirei and the Linear Function,1729,F,"hashing, math"
Guess the Cycle Size,1729,E,"interactive, probabilities"
Letter Picking,1728,D,"constructive algorithms, dp, games, two pointers"
Moving Both Hands,1725,M,"dp, graphs, shortest paths"
Hot Black Hot White,1725,H,"constructive algorithms, math"
L-shapes,1722,F,"dfs and similar, implementation"
Maximum AND,1721,D,"bitmasks, dfs and similar, divide and conquer, greedy, sortings"
Xor-Subsequence (easy version),1720,D1,"bitmasks, brute force, dp, strings, trees, two pointers"
Burenka and Traditions (hard version),1718,A2,"data structures, dp, greedy"
Burenka and Traditions (easy version),1718,A1,"dp, greedy"
Madoka and The Corruption Scheme,1717,D,"combinatorics, constructive algorithms, greedy, math"
2+ doors,1715,D,"2-sat, bitmasks, graphs, greedy"
Monoblock,1715,C,"combinatorics, data structures, implementation, math"
Path Prefixes,1714,G,"binary search, data structures, dfs and similar, trees"
Build a Tree and That Is It,1714,F,"constructive algorithms, implementation, trees"
Tournament Countdown,1713,D,"constructive algorithms, greedy, interactive, number theory, probabilities"
Rorororobot,1709,D,"binary search, data structures, greedy, math"
Recover an RBS,1709,C,"constructive algorithms, greedy, implementation, strings"
Difference Array,1707,B,"brute force, data structures, implementation, sortings"
Chopping Carrots (Easy Version),1706,D1,"binary search, brute force, constructive algorithms, greedy, number theory"
Mark and Lightbulbs,1705,D,"combinatorics, constructive algorithms, greedy, math, sortings"
Magical Array,1704,D,"constructive algorithms, hashing, implementation, math"
Passable Paths (easy version),1702,G1,"dfs and similar, trees"
Equate Multisets,1702,F,"constructive algorithms, data structures, greedy, math, number theory"
Permutation Restoration,1701,D,"binary search, data structures, greedy, math, sortings, two pointers"
River Locks,1700,D,"binary search, dp, greedy, math"
Helping the Nature,1700,C,"constructive algorithms, data structures, greedy"
The Third Problem,1699,C,"combinatorics, constructive algorithms, math"
Guess The String,1697,D,"binary search, constructive algorithms, interactive"
Permutation Graph,1696,D,"binary search, constructive algorithms, data structures, divide and conquer, greedy, shortest paths"
Zero Path,1695,C,"brute force, data structures, dp, graphs, greedy, shortest paths"
Fake Plastic Trees,1693,B,"dfs and similar, dp, greedy, trees"
Gambling,1692,H,"data structures, dp, greedy, math"
Max GEQ Sum,1691,D,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers"
Shifting String,1690,F,"graphs, math, number theory, strings"
Lena and Matrix,1689,D,"data structures, dp, geometry, shortest paths"
Manipulating History,1688,C,"constructive algorithms, greedy, strings"
Railway System,1687,B,"constructive algorithms, graphs, greedy, interactive, sortings"
Traps,1684,D,"constructive algorithms, greedy, sortings"
Required Length,1681,D,"brute force, dfs and similar, dp, hashing, shortest paths"
Toss a Coin to Your Graph...,1679,D,"binary search, dfs and similar, dp, graphs"
Tokitsukaze and Good 01-String (hard version),1678,B2,"dp, greedy, implementation"
Tokitsukaze and Two Colorful Tapes,1677,C,"constructive algorithms, dfs and similar, graphs, greedy"
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math"
Vlad and Unfinished Business,1675,F,"dfs and similar, dp, greedy, trees"
Desktop Rearrangement,1674,F,"data structures, greedy, implementation"
Lost Arithmetic Progression,1673,D,"combinatorics, math, number theory"
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers"
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math"
Labyrinth,1666,L,"dfs and similar, graphs"
Connect the Points,1666,C,"brute force, constructive algorithms, geometry"
Progressions Covering,1661,D,"data structures, greedy"
Water the Trees,1661,C,"binary search, greedy, math"
Promising String (easy version),1660,F1,"brute force, implementation, math, strings"
Reverse Sort Sum,1659,D,"constructive algorithms, data structures, greedy, implementation, math, two pointers"
Shinju and the Lost Permutation,1658,C,"constructive algorithms, math"
K-good,1656,D,"constructive algorithms, math, number theory"
Nearest Excluded Points,1651,D,"binary search, data structures, dfs and similar, graphs, shortest paths"
Rescheduling the Exam,1650,E,"binary search, data structures, greedy, implementation, math, sortings"
Tyler and Strings,1648,C,"combinatorics, data structures, implementation"
Integral Array,1648,B,"brute force, constructive algorithms, data structures, math"
Madoka and the Best School in Russia,1647,D,"constructive algorithms, dp, math, number theory"
