Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Decreasing String,1886,C,"implementation, strings",,,,,,,,,,
Hard Design,1884,E,"greedy, implementation, math",,,,,,,,,,
Perfect Square,1881,C,"brute force, implementation",,,,,,,,,,
Interactive Game with Coloring,1879,E,"brute force, constructive algorithms, dfs and similar, graphs, implementation, interactive, trees",,,,,,,,,,
wxhtzdy ORO Tree,1878,G,"binary search, bitmasks, brute force, data structures, dfs and similar, implementation, trees",,,,,,,,,,
Jellyfish and Game,1874,A,"brute force, games, greedy, implementation",,,,,,,,,,
1D Eraser,1873,D,"greedy, implementation, two pointers",,,,,,,,,,
Target Practice,1873,C,"implementation, math",,,,,,,,,,
Short Sort,1873,A,"brute force, implementation",,,,,,,,,,
Selling a Menagerie,1872,F,"dfs and similar, dsu, graphs, implementation, math",,,,,,,,,,
The Corridor or There and Back Again,1872,B,"greedy, implementation",,,,,,,,,,
Prefix Purchase,1870,D,"greedy, implementation, sortings",,,,,,,,,,
Colorful Table,1870,C,"binary search, data structures, dp, implementation, math, two pointers",,,,,,,,,,
LIS?,1868,F,"data structures, greedy, implementation",,,,,,,,,,
Flower-like Pseudotree,1868,D,"constructive algorithms, graphs, greedy, implementation, trees",,,,,,,,,,
Travel Plan,1868,C,"combinatorics, dp, implementation, math, trees",,,,,,,,,,
Candy Party (Hard Version),1868,B2,"bitmasks, constructive algorithms, dp, greedy, implementation, math",,,,,,,,,,
Candy Party (Easy Version),1868,B1,"bitmasks, constructive algorithms, graphs, greedy, implementation, math",,,,,,,,,,
Fill in the Matrix,1868,A,"constructive algorithms, implementation",,,,,,,,,,
Cyclic Operations,1867,D,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation",,,,,,,,,,
Keen Tree Calculation,1866,K,"binary search, data structures, dp, geometry, graphs, implementation, trees",,,,,,,,,,
Magic Square,1864,G,"combinatorics, constructive algorithms, implementation",,,,,,,,,,
Exotic Queries,1864,F,"data structures, implementation, sortings",,,,,,,,,,
Increasing and Decreasing,1864,A,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
MEX Repetition,1863,C,"implementation, math",,,,,,,,,,
Channel,1863,A,"greedy, implementation",,,,,,,,,,
Flower City Fence,1862,C,"binary search, data structures, implementation, sortings",,,,,,,,,,
Gift Carpet,1862,A,"dp, greedy, implementation, strings",,,,,,,,,,
Non-Intersecting Subpermutations,1861,E,"combinatorics, dp, implementation, math",,,,,,,,,,
Queries for the Array,1861,C,"data structures, dfs and similar, implementation, strings, trees",,,,,,,,,,
Evaluate RBS,1860,F,"data structures, geometry, implementation, math, sortings",,,,,,,,,,
Maximum Rounding,1857,B,"greedy, implementation, math",,,,,,,,,,
PermuTree (hard version),1856,E2,"bitmasks, dfs and similar, dp, fft, greedy, implementation, math, trees",,,,,,,,,,
Good Arrays,1856,B,"implementation, math",,,,,,,,,,
Tales of a Sort,1856,A,implementation,,,,,,,,,,
Vlad and the Mountains,1851,G,"binary search, data structures, dsu, graphs, implementation, sortings, trees, two pointers",,,,,,,,,,
Prefix Permutation Sums,1851,D,"implementation, math",,,,,,,,,,
The Third Letter,1850,H,"dfs and similar, dsu, graphs, greedy, implementation",,,,,,,,,,
The Morning Star,1850,G,"combinatorics, data structures, geometry, implementation, math, sortings",,,,,,,,,,
We Were Both Children,1850,F,"brute force, implementation, math, number theory",,,,,,,,,,
Cardboard for Pictures,1850,E,"binary search, geometry, implementation, math",,,,,,,,,,
Balanced Round,1850,D,"brute force, greedy, implementation, sortings",,,,,,,,,,
Word on the Paper,1850,C,"implementation, strings",,,,,,,,,,
Ten Words of Wisdom,1850,B,"implementation, sortings",,,,,,,,,,
To My Critics,1850,A,"implementation, sortings",,,,,,,,,,
Morning Sandwich,1849,A,"implementation, math",,,,,,,,,,
Vika and Stone Skipping,1848,E,"brute force, implementation, math, number theory",,,,,,,,,,
Vika and the Bridge,1848,B,"binary search, data structures, greedy, implementation, math, sortings",,,,,,,,,,
Triangle Platinum?,1847,E,"brute force, combinatorics, implementation, interactive, math, probabilities",,,,,,,,,,
Professor Higashikata,1847,D,"data structures, dsu, greedy, implementation, strings",,,,,,,,,,
Rudolph and Mimic,1846,F,"constructive algorithms, implementation, interactive",,,,,,,,,,
Rudolf and Snowflakes (hard version),1846,E2,"binary search, brute force, implementation, math",,,,,,,,,,
Rudolf and Snowflakes (simple version),1846,E1,"brute force, implementation, math",,,,,,,,,,
Rudolph and Tic-Tac-Toe,1846,B,"brute force, implementation, strings",,,,,,,,,,
Rudolph and Cut the Rope ,1846,A,"implementation, math",,,,,,,,,,
Boxes and Balls,1845,E,"dp, implementation, math",,,,,,,,,,
Come Together,1845,B,"geometry, implementation, math",,,,,,,,,,
Forbidden Integer,1845,A,"constructive algorithms, implementation, math, number theory",,,,,,,,,,
Tree Weights,1844,G,"bitmasks, constructive algorithms, data structures, dfs and similar, implementation, math, matrices, number theory, trees",,,,,,,,,,
Particles,1844,C,"dp, greedy, implementation, math",,,,,,,,,,
Keep it Beautiful,1841,B,implementation,,,,,,,,,,
Character Blocking,1840,E,"data structures, hashing, implementation",,,,,,,,,,
Cipher Shifer,1840,A,"implementation, strings, two pointers",,,,,,,,,,
The Good Array,1839,A,"greedy, implementation, math",,,,,,,,,,
Editorial for Two,1837,F,"binary search, data structures, greedy, implementation",,,,,,,,,,
Destroyer,1836,A,"implementation, sortings",,,,,,,,,,
Good Graph,1835,F,"bitmasks, dfs and similar, graph matchings, graphs, implementation",,,,,,,,,,
k-th equality,1835,A,"brute force, implementation, math",,,,,,,,,,
MEX of LCM,1834,E,"binary search, data structures, implementation, math, number theory",,,,,,,,,,
Survey in Class,1834,D,"brute force, data structures, greedy, implementation, sortings",,,,,,,,,,
Ksyusha and Chinchilla,1833,G,"constructive algorithms, dfs and similar, dp, dsu, greedy, implementation, trees",,,,,,,,,,
Ira and Flamenco,1833,F,"combinatorics, constructive algorithms, data structures, implementation, math, sortings, two pointers",,,,,,,,,,
Musical Puzzle,1833,A,"implementation, strings",,,,,,,,,,
Red-Blue Operations (Hard Version),1832,D2,"binary search, constructive algorithms, greedy, implementation, math",,,,,,,,,,
Red-Blue Operations (Easy Version),1832,D1,"binary search, greedy, implementation, math",,,,,,,,,,
Contrast Value,1832,C,"greedy, implementation",,,,,,,,,,
Hits Different,1829,G,"data structures, dp, implementation, math",,,,,,,,,,
The Lakes,1829,E,"dfs and similar, dsu, graphs, implementation",,,,,,,,,,
Gold Rush,1829,D,"brute force, dfs and similar, dp, implementation",,,,,,,,,,
Mr. Perfectly Fine,1829,C,"bitmasks, greedy, implementation",,,,,,,,,,
Blank Space,1829,B,implementation,,,,,,,,,,
Love Story,1829,A,"implementation, strings",,,,,,,,,,
Walk the Runway,1826,E,"bitmasks, brute force, data structures, dp, graphs, implementation, sortings",,,,,,,,,,
Trust Nobody,1826,A,"brute force, greedy, implementation, sortings",,,,,,,,,,
LuoTianyi and the Show,1824,A,"greedy, implementation",,,,,,,,,,
TubeTube Feed,1822,A,"brute force, implementation",,,,,,,,,,
Tear It Apart,1821,C,"brute force, implementation, math, strings",,,,,,,,,,
Yura's New Name,1820,A,"implementation, strings",,,,,,,,,,
The Fox and the Complete Tree Traversal,1819,C,"constructive algorithms, dp, implementation, math, trees",,,,,,,,,,
The Butcher,1819,B,"geometry, greedy, implementation, sortings, two pointers",,,,,,,,,,
Politics,1818,A,"greedy, implementation",,,,,,,,,,
Toy Machine,1817,D,"constructive algorithms, games, implementation",,,,,,,,,,
Sum Graph,1815,B,"brute force, constructive algorithms, graphs, implementation, interactive, shortest paths, trees",,,,,,,,,,
