Handle,Max Rating_x,Result
r1atsa1a,1595.0,Yes
__Lonny,1649.0,Yes
.utk.,1654.0,Yes
Petercc,1743.0,Yes
pawanrawat,1678.0,Yes
PabloChocobarT_T,1600.0,Yes
SiberianKhatru,1626.0,Yes
autoastt,1643.0,Yes
shiworm,1650.0,Yes
wfeng2,1591.0,Yes
Ashish_verma,1653.0,Yes
Dragonshout,1590.0,Yes
Dr.Bot,1713.0,Yes
YQD,1639.0,Yes
istiak_a2i,1589.0,Yes
ssinghal_12345,1656.0,Yes
Joe2009,1588.0,Yes
dodobow,1619.0,Yes
reimuB_Enjoyer,1626.0,Yes
cn_ryh,1586.0,Yes
Maanas23,1667.0,Yes
amulshaturia,1607.0,Yes
bear1222,1760.0,Yes
namsee1,1760.0,Yes
oreofilling,1630.0,Yes
C2-D2,1583.0,Yes
bladelessknife,1679.0,Yes
doanhoccho,1708.0,Yes
qqqqqv,1606.0,Yes
Eren767,1582.0,Yes
KunoSayo,1703.0,Yes
assanali,1620.0,Yes
nice333,1582.0,Yes
raphaelp,1582.0,Yes
an1ket_62,1638.0,Yes
egor7002,1581.0,Yes
yyytf__,1616.0,Yes
Senior,1754.0,Yes
_ChiFAN_,1606.0,Yes
Hagag,1590.0,Yes
AyanVishwakarma,1661.0,Yes
WORTH,1864.0,Yes
kerembozkaya,1661.0,Yes
kpothari,1773.0,Yes
rit_22,1578.0,Yes
bzh110,1663.0,Yes
puffinmuffin,1584.0,Yes
Your_Bunny_Wrote,1731.0,Yes
atulkumarmaurya201,1575.0,Yes
dhakaprashant666,1580.0,Yes
0-4,1780.0,Yes
BBlack_Star,1573.0,Yes
divyaraj_vaghela,1661.0,Yes
dngnogu,1573.0,Yes
ha_na_da,1573.0,Yes
BalasaRadu,1769.0,Yes
lekkoo,1698.0,Yes
fireheart17,1715.0,Yes
kitekat1__4,1579.0,Yes
EG2107,1574.0,Yes
Mamimi,1683.0,Yes
dhruv21,1570.0,Yes
susenyang,1571.0,Yes
Abyss-skber,1569.0,Yes
dipu_2,1686.0,Yes
yusufazam,1576.0,Yes
Emon72,1653.0,Yes
Akhilendra11,1566.0,Yes
Alkaser_ID,1663.0,Yes
MmusoM,1686.0,Yes
Xapak,1629.0,Yes
darkeer,1733.0,Yes
honakakaka,1655.0,Yes
tea_and_eight,1632.0,Yes
ParadigmShift,1719.0,Yes
AndrewDJ,1691.0,Yes
SDUST_slient,1561.0,Yes
Sy1vester,1753.0,Yes
tanmaytaneja2,1609.0,Yes
x__h__w__123,1561.0,Yes
HenriqueCP,1585.0,Yes
Mr.Jin,1580.0,Yes
pranjala99,1552.0,Yes
ZERO_AKG,1582.0,Yes
__Tanzeel__,1742.0,Yes
jsh00325,1541.0,Yes
uditkansal2002,1597.0,Yes
Cuteeeee,1540.0,Yes
NinjaSenpai,1838.0,Yes
_Body,1540.0,Yes
UzuHa_NaruSuke,1573.0,Yes
zuyuh0ng,1539.0,Yes
Febleaf,1618.0,Yes
m1racleO_o,1537.0,Yes
playinwithfire,1633.0,Yes
praps1614,1573.0,Yes
trMatherz,1567.0,Yes
tuam1221,1647.0,Yes
Ferrriccc,1848.0,Yes
prashast_jain,1602.0,Yes
