Handle,Max Rating_x,Result
senko,1653.0,Yes
Arnav_63638,1427.0,Yes
dode_pep,1424.0,Yes
21o7,1516.0,Yes
Hatsoff,1408.0,Yes
why_pulkit14,1425.0,Yes
DevCBasic,1513.0,Yes
Yashraj1402,1408.0,Yes
wiredin,1479.0,Yes
amanrajput1,1458.0,Yes
fadi__,1425.0,Yes
daniel.carlos,1422.0,Yes
ashmegragmit,1413.0,Yes
deydhananjoy5,1433.0,Yes
ink_and_fable,1426.0,Yes
leneza_41,1443.0,Yes
byte_dock,1468.0,Yes
-is-this-dp-,1512.0,Yes
sunny2002,1436.0,Yes
_.anonymous._,1457.0,Yes
abenov,1418.0,Yes
gxh7,1516.0,Yes
Only_Y,1803.0,Yes
Mukkunddd,1455.0,Yes
praveenseervi5678,1415.0,Yes
StrongBirdsFlyFirst,1587.0,Yes
ahsenkamal,1457.0,Yes
Ronak_Doshi,1447.0,Yes
alamin16,1464.0,Yes
Electro_,1432.0,Yes
vaibhav454,1410.0,Yes
Goalie371,1572.0,Yes
SHASHWHAT,1421.0,Yes
Z_ZZ,1478.0,Yes
iamsk,1403.0,Yes
catastros_64,1418.0,Yes
parametername,1482.0,Yes
agrim07,1657.0,Yes
