Handle,Max Rating,Result
Benq,3833,No
jiangly,3859,
Radewoosh,3752,
orzdevinwang,3697,No
cnnfls_csy,3691,No
tourist,3979,
ecnerwala,3668,No
amiya,3681,No
Geothermal,3366,No
Petr,3597,
Um_nik,3663,No
zh0ukangyang,3423,No
ko_osaga,3500,Yes
heno239,3385,No
maroonrk,3650,
Ormlis,3410,Yes
p_b_p_b,3137,No
maspy,3177,No
244mhq,3278,Yes
hos.lyric,3315,
isaf27,3143,No
fsy_jiaxun_when,3075,No
flowerletter,3069,No
Qingyu,3065,No
yosupo,3369,
QAQAutoMaton,3428,No
gamegame,3339,Yes
kotatsugame,3095,No
sjcsjcsjc,3011,No
998batrr,3020,No
turmax,3200,No
Kubic,3004,
neal,3147,
youbot,3001,No
gisp_zjz,3213,
dlalswp25,2993,No
Maksim1744,3376,
Endagorion,3313,
ChemicalEquilibrium,2975,Yes
20333333333,2970,No
353cerega,3048,
noimi,3353,No
K-H,2962,Yes
TLEwpdus,3036,
ainta,3318,No
Chtholly-Nota-Seniorious,2945,No
ugly2333,3264,No
antontrygubO_o,3095,No
hank55663,3064,
Merkurev,3148,No
hehezhoutxdy,2913,No
peti1234,3093,No
SSRS_,3181,No
Crystally,2953,No
MagicSpark,2900,Yes
jiangly_fan,3069,
Swistakk,3105,
dXqwq,2889,No
alireza_kaviani,2898,No
FastFreeTask,2927,No
ksun48,3654,No
Alex_Wei,2998,
DoorhandleMahoushoujo,2921,No
Vercingetorix,3213,
The_Noble_Brahman_Bison,2866,
potato167,3029,No
ttklwxx,2896,No
PinkieRabbit,2954,Yes
Rubikun,3033,
A_G,3279,No
Amoo_Safar,2982,No
feecIe6418,2987,
dl720125,2944,
EternalAlexander,2834,No
yuto1115,3043,
sansen,2828,Yes
xukai,2827,Yes
A.K.E.E.,2948,
Golovanov399,3303,
QwertyPi,2839,
qiuzx,2820,No
Melusine,2813,No
i_will_be_less_than_blue,2855,No
E869120,2909,No
275307894a,2833,No
Sol1,2865,No
tute7627,3044,
Egor,3235,
fengqiyuka,2771,No
tokusakurai,2898,Yes
Sana,2917,
Potassium,2759,
jeroenodb,2844,No
crazy_sea,2823,Yes
peltorator,2887,No
kdh9949,2881,No
qwerasdfzxcl,2781,No
BalintR,2799,No
Kapt,2882,Yes
m_99,2959,
LeoPro,2770,No
PetelgeuseRomaneeconti,2749,No
tkacper,2740,No
YocyCraft,2739,No
kmjp,2901,
Roundgod,2768,No
antekb,2807,
AmazingTalker_Frank,2725,Yes
1004535809,2871,No
nok0,2722,
KroosTheKeenGlint,2720,No
elycx,2880,No
Licha06,2716,
Nyaan,2949,No
nantf,2906,
Farhod_Farmon,2976,No
Pointy,2708,No
TadijaSebez,3035,No
CharlieV,2715,
risujiroh,2857,
foammm,2703,No
shiomusubi496,2701,No
RDDCCD,2696,No
Egor.Lifar,2929,
Lynkcat,2694,No
qwerty787788,3038,No
ppavic,2750,No
blackbori,2955,No
Nachia,2764,
BigBag,2864,No
cabbit,2938,
Morphymorphymorphy,2688,No
soltanbh,2716,No
cljq_cpp,2673,
jacynkaa,2754,
AndreySergunin,2997,No
stkwill,2808,Yes
_Diu_,2703,No
