Handle,Max Rating_x,Result,Max Rating_y
Ormlis,3410,Yes,3410
244mhq,3278,Yes,3278
ChemicalEquilibrium,2975,Yes,2975
K-H,2962,Yes,2918
MagicSpark,2900,Yes,2874
PinkieRabbit,2954,Yes,2954
xukai,2827,Yes,2821
tokusakurai,2898,Yes,2898
crazy_sea,2823,Yes,2823
Kapt,2882,Yes,2882
AmazingTalker_Frank,2725,Yes,2650
stkwill,2808,Yes,2808
dingdingsb,2655,Yes,2655
paul2008,2655,Yes,2655
JCY_,2648,Yes,2648
newbie__wrz,2643,Yes,2643
milisav,2682,Yes,2682
_Peter_,2765,Yes,2765
Dominater069,2636,Yes,2552
Toxel,2901,Yes,2901
thenymphsofdelphi,2752,Yes,2752
umbrella-leaf,2600,Yes,2600
GeZhiyuan,2582,Yes,2582
jdurie,2705,Yes,2705
namelessgugugu,2562,Yes,2562
dog_of_Nesraychan,2599,Yes,2599
TheLuminousSky,2556,Yes,2529
yuanhaowei,2551,Yes,2551
Everule,2610,Yes,2610
chen_zexing,2575,Yes,2575
Tony2_CF,2557,Yes,2557
chinerist,2698,Yes,2698
zltzlt,2503,Yes,2464
jtnydv25,2675,Yes,2675
kyo20111,2501,Yes,2487
ttttan,2534,Yes,2534
AmShZ,2603,Yes,2603
sevlll777,2549,Yes,2549
-is-this-fft-,2645,Yes,2645
Fido_Puppy,2461,Yes,2429
JeanBombeur,2566,Yes,2566
yaoxi,2597,Yes,2597
N_z__,2460,Yes,2460
sbzhangjianjun,2447,Yes,2447
locsey,2436,Yes,2436
zidder,2586,Yes,2586
TKT_YI,2500,Yes,2500
EMBailey,2427,Yes,2427
SmolBrain,2422,Yes,2389
jucason_xu,2429,Yes,2429
Valera_Grinenko,2403,Yes,2403
yyyyxh329,2397,Yes,2315
ytkn,2572,Yes,2572
Be_dos,2527,Yes,2527
DeMen100ns,2390,Yes,2390
Lou_Sassle,2388,Yes,2388
lightseba,2509,Yes,2509
zwh2008,2370,Yes,2337
CFM_LOVE_ETK,2362,Yes,2362
lichenghan,2360,Yes,2360
hyforces,2492,Yes,2492
chro4896,2439,Yes,2439
induk_v_tsiane,2349,Yes,2349
KDVinit,2411,Yes,2411
MridulAhi,2562,Yes,2562
dyppp,2340,Yes,2340
bronze_coder,2337,Yes,2337
Zeardoe,2346,Yes,2346
Akulyat,2702,Yes,2702
andreystefanov,2297,Yes,2297
ACOIer,2282,Yes,2282
ParsaDox,2285,Yes,2285
Feynn,2260,Yes,2260
oursaco,2298,Yes,2298
applese,2497,Yes,2497
dannyboy20031204,2366,Yes,2366
vito1036,2281,Yes,2281
SanguineChameleon,2278,Yes,2278
leexzq,2239,Yes,2223
hjcafaroUC,2238,Yes,2238
pavement,2511,Yes,2511
MediocreSouris,2267,Yes,2267
leihonglongyin,2220,Yes,2220
cpchenpi,2217,Yes,2217
ExpertHunter,2202,Yes,2202
Iratis,2254,Yes,2254
Perpetually_Purple,2351,Yes,2351
i209m123,2193,Yes,2193
rt3,2364,Yes,2364
Andrei_ierdnA,2191,Yes,2191
anil9717,2317,Yes,2317
__shaun_0124,2347,Yes,2347
RP-1,2246,Yes,2246
Msstt,2184,Yes,2184
joww,2243,Yes,2243
Iamjuruo,2182,Yes,2079
manizare,2297,Yes,2297
Pompeii,2291,Yes,2291
duck_pear,2230,Yes,2230
zlc1114_v2,2346,Yes,2346
Renauga,2256,Yes,2256
__chtholly__,2180,Yes,2180
shiven,2370,Yes,2370
Wansur,2161,Yes,2161
jiangtaizhe001,2199,Yes,2199
Vectors_Master,2261,Yes,2261
YuJiahe,2268,Yes,2268
Psychotic_D,2347,Yes,2347
IZOI,2158,Yes,2158
JagguBandar,2235,Yes,2235
sanyon,2199,Yes,2199
islingr,2227,Yes,2227
keyurchd_11,2168,Yes,2168
jaewoo2009,2208,Yes,2208
Proofy,2147,Yes,2147
cqbzly,2256,Yes,2256
HaPpY1213,2159,Yes,2159
Kira_1234,2512,Yes,2512
Badint,2205,Yes,2205
