Handle,Max Rating,Result
AllDirections,2057,No
AntonDk,2193,No
Greedy_watermelon,1940,No
HQH.qh,1810,No
Withers_,1810,No
ereoth,1810,No
sos89756,1892,Yes
Abbess,2219,No
Habibulda,2051,No
JerryMao,1814,No
Lena_fan,1975,No
NMD2k6tg,1809,Yes
XQH_Prime,1809,No
XZRSEVEN,1967,No
tdsb,2105,No
xueshen666,1957,No
yy__zq,2019,N/A
Deamer,1877,No
Lemontea_,1808,Yes
Maxmilite,1872,N/A
NourhanHanna,1950,Yes
PLA_Nh,2033,No
_shakespeare_,1854,No
animish01,1808,No
bkdn23.lamlaicuocdoi,1855,N/A
cjoa,2070,No
ktq_cpp,1828,No
kylych03,1911,No
linxd,2005,No
nono00,1844,N/A
rakshith21mohan,1925,No
tushar_314,1851,No
urieg_alltime,1808,N/A
Aaron_wch,1807,No
Azm1t,2017,N/A
Frus,1945,No
Goldenglow1427,1807,No
Yaman_Alwaza,1835,Yes
yhk1001,1816,N/A
DanielMontes,1890,No
Maksimka_coolhacker,1815,No
Shirabuki,1911,Yes
astilate,1806,No
cepher01,1888,Yes
gabmei,1806,No
kaztaev,1913,Yes
ldkk,1854,No
nakshatraexe,1806,N/A
none_c,1947,No
vbsinha,1848,No
xelsink1,1806,Yes
Keepy,1835,No
Ostrich888,1998,No
ant.ermilov,2021,No
csegura,2062,N/A
disjointset,2136,No
ohmygodtosbryantooorz,1805,No
11d10xy,1829,N/A
LinkinPony,2014,No
MATHEMATICS_2022,1804,Yes
Rudovich,1881,N/A
Sabbir1807070,1804,Yes
ZhangwuKitten,1834,No
flakepowders,1899,N/A
hieu_2004,2120,N/A
krigare,1804,No
robert.barbu27,2085,No
six-floor-slip-liu,1804,No
wmrmr,2055,No
yaaarseny,1952,N/A
Lyamzin_alexandr,2222,No
SpeedyX,1803,No
carlosad1,1855,No
dantoper556,1804,N/A
hefengchen,1931,No
rohit2593,2117,No
sonder042,1803,N/A
tanaka255,1870,Yes
xiaoququsd,1832,No
H2J,1923,N/A
__Shinigami__,1802,No
bestial-42-centroids,1802,Yes
nelch,1802,No
saturnbored,1805,No
sunzz3183,1802,No
C2022lihan,1801,No
SUZUKO_DAZE,1827,No
SagittariusAstar,1819,No
Serik2003,1841,No
Vequis,1891,No
ashanksingh1997,1804,No
codeBegins,1801,Yes
harshaa05,1985,Yes
myny2005,1801,No
rakkoon69,1861,No
thisislike,1801,Yes
CWJ_123,1902,No
Dev588,1810,No
I-love-you,1800,No
OutsiderZz,1838,N/A
cheng1202,1800,No
domovonok,1800,No
harryb17,1872,No
huyphuocuit,1800,No
jg_in_cf,1800,Yes
leaf_node,1804,No
lucassala,1800,N/A
molhaam1,1802,No
pedrosorio,1964,No
r_q,1808,No
russian_proger,2069,No
vatsutheboss,1800,No
Abhishek_Srivastava,1956,Yes
NoiceFi,1799,N/A
bashNewbie,1819,Yes
zhasyn20,1905,Yes
314tonick,1851,No
ArgintLaAnu,1988,No
BrehamPie,1956,Yes
Irene,2014,No
Raito_Yagami,1967,No
SolarStar,1798,N/A
darklight13,2069,No
xishui,1798,N/A
Jellyprx,1797,N/A
PM-1,1797,N/A
RestlessPsycho,1803,No
bfsof123,1824,No
derug_,1880,Yes
ev1sq,1797,N/A
flygon,2043,Yes
luanyi,1829,No
ppt1524,1811,No
sioo_,1797,N/A
vyshniak.n,1797,N/A
Jefy,1796,N/A
Litusiano_,1887,No
Tagl,2020,No
alex_liu09,1796,N/A
awolfloveapple,1813,N/A
cho57020,1796,N/A
kazeninvladimir,1897,Yes
whyself,1796,N/A
yunetive29,1796,N/A
AcPlusOne,2181,N/A
Farhan20,1872,No
Tainel.,1926,No
anshkabackup,1795,N/A
appleSheep,1795,N/A
buleeyes,1823,Yes
charanaaa,1795,N/A
hupeiyuan,1795,N/A
ksu_,1903,No
tejpavan,1795,N/A
zbit,1950,No
AGG,1970,No
