Handle,Max Rating_x,Result,Solved Problems,Problem Count
Siriushfgame,1781.0,Yes,"{(1735, 'C'), (1768, 'C'), (1754, 'C2'), (1846, 'E1'), (1767, 'D'), (1857, 'D'), (1873, 'G'), (1766, 'C'), (1821, 'C'), (1691, 'C'), (1746, 'C'), (1823, 'C'), (1682, 'C'), (1829, 'F'), (1873, 'F'), (1692, 'G'), (1814, 'C'), (1847, 'C'), (1706, 'C'), (1805, 'C'), (1837, 'D'), (1690, 'E'), (1692, 'F'), (1792, 'C'), (1717, 'C'), (1728, 'C'), (1733, 'D1'), (1816, 'C'), (1838, 'C'), (1719, 'C'), (1778, 'B'), (1818, 'C'), (1774, 'C'), (1811, 'E'), (1714, 'E'), (1703, 'F'), (1831, 'C'), (1820, 'C'), (1857, 'E'), (1789, 'C'), (1760, 'F'), (1872, 'E'), (1759, 'D'), (1842, 'C'), (1771, 'B'), (1772, 'D'), (1722, 'G'), (1850, 'F'), (1758, 'C'), (1705, 'C'), (1738, 'C'), (1749, 'C'), (1839, 'C'), (1826, 'C'), (1786, 'B'), (1711, 'B'), (1513, 'B'), (1840, 'D'), (1741, 'D'), (1696, 'C'), (1754, 'C1'), (1762, 'C'), (1736, 'C1'), (1698, 'C'), (1764, 'C'), (1858, 'B'), (1711, 'C'), (1748, 'B'), (1788, 'C'), (1759, 'E')}",70
iprom,1781.0,Yes,"{(1768, 'C'), (1754, 'C2'), (1800, 'E1'), (1851, 'E'), (1767, 'D'), (1857, 'D'), (1766, 'C'), (1733, 'C'), (1638, 'C'), (1660, 'C'), (1726, 'C'), (1675, 'E'), (1860, 'C'), (1847, 'C'), (1825, 'C'), (1814, 'C'), (1761, 'C'), (1805, 'C'), (1684, 'C'), (1673, 'C'), (1837, 'D'), (1800, 'E2'), (1725, 'G'), (1744, 'E1'), (1733, 'D1'), (1728, 'C'), (1717, 'C'), (1838, 'C'), (1669, 'H'), (1864, 'C'), (1811, 'E'), (1573, 'B'), (1844, 'C'), (1831, 'C'), (1701, 'C'), (1668, 'C'), (1857, 'E'), (1863, 'D'), (1661, 'B'), (1872, 'E'), (1579, 'D'), (1742, 'G'), (1679, 'C'), (1771, 'B'), (1772, 'D'), (1879, 'C'), (1722, 'G'), (1670, 'C'), (1758, 'C'), (1618, 'D'), (1705, 'C'), (1851, 'D'), (1749, 'C'), (1839, 'C'), (1775, 'B'), (1742, 'F'), (1738, 'C'), (1634, 'B'), (1862, 'D'), (1675, 'D'), (1754, 'C1'), (1741, 'D'), (1762, 'C'), (1736, 'C1'), (1654, 'C'), (1764, 'C'), (1858, 'B'), (1748, 'B')}",68
MATHEMATICS_2022,1780.0,Yes,"{(1768, 'C'), (1833, 'D'), (1846, 'E1'), (1857, 'D'), (1873, 'G'), (1821, 'C'), (1869, 'C'), (1823, 'C'), (1829, 'F'), (1873, 'F'), (1860, 'C'), (1825, 'C'), (1805, 'C'), (1837, 'D'), (1838, 'C'), (1778, 'B'), (1864, 'C'), (1818, 'C'), (1866, 'B'), (1844, 'C'), (1809, 'C'), (1857, 'E'), (1863, 'D'), (1872, 'E'), (1850, 'G'), (1879, 'C'), (1850, 'F'), (1870, 'C'), (1851, 'D'), (1776, 'H'), (1775, 'B'), (1839, 'C'), (1826, 'C'), (1855, 'C1'), (166, 'E'), (1840, 'D'), (1862, 'D'), (1776, 'L'), (1795, 'C'), (1844, 'D'), (1858, 'B'), (1788, 'C')}",42
real_pulp,1780.0,Yes,"{(1850, 'G'), (1846, 'E1'), (1840, 'D'), (1850, 'F'), (1870, 'C')}",5
Beelzebub_eulb,1840.0,Yes,"{(1792, 'C'), (1740, 'D'), (1744, 'E1'), (1821, 'C'), (1740, 'C'), (1879, 'C'), (1823, 'C'), (1778, 'B'), (1748, 'B')}",9
Majedh,1840.0,Yes,"{(141, 'B'), (152, 'B'), (1249, 'C1'), (1860, 'C'), (460, 'B'), (687, 'A'), (858, 'B'), (1744, 'E1'), (1573, 'B'), (1857, 'E'), (35, 'C'), (1470, 'A'), (1879, 'C'), (455, 'A'), (166, 'E'), (1696, 'C'), (573, 'A'), (1857, 'D'), (1419, 'D2'), (485, 'A'), (1418, 'C'), (1167, 'C'), (1765, 'K'), (1805, 'C'), (1794, 'C'), (550, 'B'), (165, 'B'), (698, 'A'), (1631, 'C'), (1811, 'E'), (1385, 'D'), (1091, 'C'), (580, 'B'), (1562, 'C'), (1546, 'C'), (144, 'C'), (630, 'F'), (1110, 'C'), (859, 'C'), (1675, 'E'), (670, 'D1'), (1559, 'D1'), (1393, 'B'), (1733, 'D1'), (1669, 'H'), (284, 'A'), (1844, 'C'), (1278, 'B'), (1203, 'E'), (1421, 'C'), (1855, 'C1'), (1555, 'C'), (226, 'A'), (1740, 'C'), (1426, 'D'), (1372, 'C'), (987, 'C'), (1521, 'B'), (1691, 'C'), (25, 'A'), (1451, 'C'), (150, 'A'), (676, 'C'), (161, 'A'), (1800, 'E2'), (1391, 'C'), (1213, 'D1'), (1296, 'C'), (1789, 'C'), (1872, 'E'), (1538, 'C'), (534, 'B'), (1721, 'C'), (1742, 'G'), (1850, 'F'), (1263, 'D'), (1506, 'E'), (1453, 'B'), (707, 'C'), (1833, 'D'), (1143, 'C'), (1399, 'D'), (1838, 'C'), (1492, 'C'), (1863, 'D'), (1549, 'C'), (1705, 'C'), (1839, 'C'), (450, 'B'), (1443, 'C'), (954, 'B'), (1762, 'C'), (1844, 'D'), (1418, 'B'), (1407, 'B'), (1271, 'C'), (1301, 'B'), (548, 'B'), (1767, 'D'), (1873, 'G'), (1869, 'C'), (1473, 'C'), (1765, 'N'), (1367, 'C'), (1547, 'E'), (1792, 'C'), (1740, 'D'), (1569, 'C'), (630, 'H'), (990, 'C'), (1775, 'B'), (1282, 'B1'), (884, 'C'), (1754, 'C1'), (1776, 'L'), (1203, 'C'), (1296, 'D'), (1790, 'E'), (701, 'C'), (1748, 'B'), (1486, 'B'), (1165, 'C'), (1814, 'C'), (414, 'B'), (570, 'B'), (1697, 'C'), (977, 'E'), (1692, 'F'), (1249, 'C2'), (1195, 'C'), (1516, 'B'), (1714, 'E'), (1661, 'B'), (510, 'B'), (1760, 'F'), (1555, 'B'), (519, 'C'), (268, 'C'), (1738, 'C'), (180, 'C'), (1634, 'B'), (1372, 'B'), (1736, 'C1'), (1795, 'C'), (1425, 'A'), (300, 'B'), (1304, 'C'), (276, 'C'), (1612, 'C'), (1746, 'C'), (1651, 'C'), (489, 'C'), (1400, 'C'), (1490, 'F'), (1389, 'C'), (1285, 'B'), (1719, 'C'), (1615, 'B'), (1864, 'C'), (1457, 'C'), (1364, 'B'), (1703, 'F'), (189, 'A'), (600, 'B'), (1670, 'C'), (1618, 'D'), (1419, 'C'), (1776, 'H'), (1676, 'F'), (1675, 'D'), (1487, 'C'), (1551, 'B2'), (1370, 'C'), (985, 'C'), (1130, 'C'), (1141, 'C'), (1242, 'A'), (1768, 'C'), (1851, 'E'), (1517, 'C'), (1605, 'C'), (1829, 'F'), (1332, 'C'), (1299, 'A'), (1847, 'C'), (1825, 'C'), (1526, 'C1'), (330, 'B'), (670, 'D2'), (1054, 'C'), (277, 'A'), (1536, 'C'), (1749, 'C'), (1379, 'A'), (1271, 'B'), (1272, 'D'), (1328, 'B'), (1858, 'B'), (1711, 'C'), (1846, 'E1'), (1673, 'C'), (762, 'A'), (1553, 'D'), (1397, 'B'), (1195, 'D1'), (1515, 'D'), (1307, 'C'), (1201, 'C'), (1352, 'E'), (771, 'A'), (797, 'B'), (1800, 'E1'), (1733, 'C'), (1616, 'C'), (1638, 'C'), (1873, 'F'), (1807, 'E'), (1690, 'E'), (1659, 'B'), (508, 'B'), (1487, 'D'), (550, 'A'), (1831, 'C'), (1476, 'B'), (1462, 'E1'), (1646, 'C'), (4, 'C'), (893, 'C'), (276, 'B'), (1352, 'F'), (1624, 'D'), (1256, 'D'), (1823, 'C'), (1323, 'B'), (1561, 'C'), (1706, 'C'), (451, 'B'), (1837, 'D'), (1324, 'D'), (1629, 'C'), (1774, 'C'), (978, 'D'), (1404, 'A'), (1668, 'C'), (279, 'B'), (1283, 'C'), (2, 'A'), (1417, 'C'), (1842, 'C'), (1591, 'C'), (1870, 'C'), (1236, 'B'), (230, 'B'), (1234, 'C'), (628, 'B'), (617, 'B'), (1804, 'C'), (1741, 'D'), (1698, 'C'), (1081, 'B'), (328, 'B'), (1766, 'C'), (1660, 'C'), (1253, 'C'), (1692, 'G'), (909, 'B'), (1538, 'F'), (1728, 'C'), (1466, 'C'), (659, 'D'), (1215, 'C'), (1866, 'B'), (1371, 'C'), (1338, 'A'), (702, 'C'), (858, 'C'), (96, 'B'), (1679, 'C'), (1722, 'G'), (1772, 'D'), (1826, 'C'), (1711, 'B'), (1840, 'D'), (1245, 'C'), (743, 'C'), (1788, 'C'), (282, 'B'), (1144, 'D'), (1845, 'C'), (839, 'C'), (1739, 'C'), (1106, 'D'), (1818, 'C'), (812, 'C'), (1701, 'C'), (1791, 'F'), (312, 'B'), (1201, 'B'), (1294, 'C'), (550, 'C'), (1676, 'G'), (1771, 'B'), (1758, 'C'), (514, 'B'), (1851, 'D'), (1742, 'F'), (1401, 'C'), (912, 'B'), (580, 'C'), (1627, 'B'), (476, 'B'), (1365, 'B'), (335, 'A'), (1682, 'C'), (574, 'B'), (1750, 'C'), (1644, 'C'), (1542, 'B'), (1850, 'G'), (1409, 'D'), (1368, 'B'), (855, 'B'), (459, 'B'), (1493, 'B'), (1862, 'D'), (630, 'K'), (1561, 'B'), (1810, 'C'), (1759, 'E'), (1867, 'C'), (1196, 'D1'), (1774, 'B'), (1761, 'C'), (1725, 'G'), (1379, 'B'), (1759, 'D'), (1551, 'C'), (545, 'C'), (1183, 'C'), (1366, 'C'), (1764, 'C'), (1649, 'B'), (520, 'B')}",343
B0NGCL0UD,1796.0,Yes,"{(1735, 'C'), (1833, 'D'), (1846, 'E1'), (1767, 'D'), (1416, 'A'), (1766, 'C'), (1733, 'C'), (1691, 'C'), (25, 'A'), (1746, 'C'), (1869, 'C'), (1845, 'C'), (1726, 'C'), (1737, 'C'), (1814, 'C'), (1847, 'C'), (1706, 'C'), (1739, 'C'), (1805, 'C'), (1794, 'C'), (451, 'B'), (1837, 'D'), (1692, 'F'), (1792, 'C'), (1725, 'G'), (1733, 'D1'), (1750, 'C'), (1728, 'C'), (1717, 'C'), (1838, 'C'), (1774, 'C'), (1468, 'C'), (1307, 'B'), (1844, 'C'), (1820, 'C'), (1831, 'C'), (1809, 'C'), (1294, 'C'), (1863, 'D'), (1701, 'C'), (189, 'A'), (1721, 'C'), (1842, 'C'), (1771, 'B'), (476, 'B'), (1879, 'C'), (1722, 'G'), (478, 'B'), (4, 'C'), (1786, 'B'), (1826, 'C'), (459, 'B'), (230, 'B'), (1804, 'C'), (1762, 'C'), (1795, 'C'), (1360, 'D'), (1698, 'C'), (1844, 'D'), (1328, 'B'), (1858, 'B'), (1790, 'E'), (1737, 'B'), (1614, 'C'), (1810, 'C')}",65
schmosby,1778.0,Yes,"{(1754, 'C2'), (1768, 'C'), (469, 'B'), (1851, 'E'), (1833, 'D'), (1766, 'C'), (1821, 'C'), (1660, 'C'), (1326, 'D1'), (1829, 'F'), (1726, 'C'), (1692, 'G'), (1860, 'C'), (1847, 'C'), (1825, 'C'), (352, 'B'), (330, 'B'), (1650, 'D'), (486, 'B'), (1744, 'E1'), (1728, 'C'), (1717, 'C'), (1838, 'C'), (854, 'C'), (277, 'A'), (1857, 'E'), (699, 'B'), (448, 'B'), (1722, 'G'), (1772, 'D'), (279, 'A'), (1705, 'C'), (1732, 'D1'), (1749, 'C'), (1839, 'C'), (1826, 'C'), (450, 'B'), (1350, 'B'), (1194, 'B'), (1711, 'B'), (1694, 'C'), (1526, 'B'), (58, 'B'), (1840, 'D'), (1696, 'C'), (1762, 'C'), (1194, 'C'), (1788, 'C'), (478, 'B'), (282, 'B'), (1846, 'E1'), (1767, 'D'), (1869, 'C'), (1845, 'C'), (1380, 'B'), (839, 'C'), (18, 'A'), (1805, 'C'), (1228, 'B'), (1794, 'C'), (1360, 'E'), (1792, 'C'), (1631, 'C'), (1380, 'C'), (1818, 'C'), (1811, 'E'), (312, 'B'), (1791, 'F'), (1256, 'B'), (1676, 'G'), (1771, 'B'), (514, 'B'), (1851, 'D'), (358, 'A'), (1742, 'F'), (1282, 'B1'), (1401, 'C'), (699, 'C'), (289, 'B'), (278, 'B'), (1754, 'C1'), (1547, 'D'), (1482, 'B'), (1352, 'E'), (1790, 'E'), (1737, 'B'), (1735, 'C'), (1800, 'E1'), (278, 'C'), (1733, 'C'), (1682, 'C'), (1676, 'H2'), (1873, 'F'), (1737, 'C'), (1814, 'C'), (493, 'B'), (1807, 'E'), (1675, 'E'), (192, 'A'), (1037, 'A'), (1676, 'H1'), (1365, 'C'), (1690, 'E'), (508, 'B'), (1692, 'F'), (1733, 'D1'), (864, 'D'), (1750, 'C'), (1816, 'C'), (284, 'A'), (1778, 'B'), (1141, 'D'), (416, 'A'), (1516, 'B'), (1714, 'E'), (1831, 'C'), (1820, 'C'), (1263, 'C'), (1760, 'F'), (1850, 'G'), (1421, 'C'), (459, 'B'), (276, 'B'), (437, 'A'), (1862, 'D'), (1736, 'C1'), (1360, 'D'), (1007, 'A'), (445, 'B'), (1810, 'C'), (1759, 'E'), (25, 'A'), (1746, 'C'), (1823, 'C'), (1867, 'C'), (1774, 'B'), (1425, 'H'), (1216, 'D'), (1162, 'B'), (451, 'B'), (1837, 'D'), (1800, 'E2'), (414, 'A'), (1719, 'C'), (475, 'B'), (1534, 'C'), (1063, 'A'), (1703, 'F'), (279, 'B'), (1789, 'C'), (189, 'A'), (1872, 'E'), (1721, 'C'), (1759, 'D'), (1742, 'G'), (1842, 'C'), (1352, 'D'), (1607, 'D'), (1850, 'F'), (1870, 'C'), (587, 'A'), (1676, 'F'), (230, 'B'), (507, 'B'), (1675, 'D'), (1804, 'C'), (1741, 'D'), (1698, 'C'), (509, 'B'), (298, 'A')}",170
singlabharat,1806.0,Yes,"{(1768, 'C'), (1521, 'B'), (1624, 'D'), (1560, 'D'), (1579, 'C'), (1821, 'C'), (1845, 'C'), (1561, 'C'), (1860, 'C'), (1825, 'C'), (1847, 'C'), (1037, 'A'), (1556, 'B'), (1559, 'D1'), (1285, 'B'), (1475, 'C'), (1519, 'C'), (1837, 'D'), (1538, 'F'), (1659, 'B'), (1553, 'D'), (1547, 'E'), (1003, 'B'), (1692, 'F'), (977, 'E'), (1728, 'C'), (1541, 'C'), (1574, 'C'), (1838, 'C'), (1629, 'C'), (1490, 'F'), (1615, 'B'), (978, 'D'), (1573, 'B'), (1569, 'C'), (1070, 'H'), (1661, 'B'), (1668, 'C'), (1534, 'C'), (1492, 'C'), (1579, 'D'), (567, 'B'), (1621, 'B'), (1538, 'C'), (1003, 'C'), (1462, 'E1'), (1850, 'G'), (1594, 'E1'), (1842, 'C'), (1462, 'D'), (1549, 'C'), (1553, 'B'), (1520, 'E'), (1005, 'C'), (1634, 'B'), (1839, 'C'), (1775, 'B'), (1562, 'C'), (978, 'F'), (1526, 'B'), (1490, 'E'), (1696, 'C'), (1547, 'D'), (1360, 'D'), (977, 'D'), (1535, 'C')}",66
HarperTaylor,1853.0,Yes,"{(1754, 'C2'), (1754, 'C1'), (1758, 'C'), (1858, 'B'), (1863, 'D')}",5
