Handle,Max Rating_x,Result
Mint_Ice,1699.0,Yes
Mythic_Yggdrasil,1860.0,Yes
ansh.chaturmohta,1658.0,Yes
LC_535,1746.0,Yes
Menos,1788.0,Yes
_abhay_og,1778.0,Yes
pretty_kitty,1724.0,Yes
xharshvardhan,1670.0,Yes
InvictusOcean,1786.0,Yes
ananymous507,1776.0,Yes
qzz,1666.0,Yes
wronganswerrr,1798.0,Yes
M_Rana,1654.0,Yes
Xsir,1654.0,Yes
marks39,1703.0,Yes
qingmuhe,1784.0,Yes
abdouBR,1674.0,Yes
dadaxigua,1653.0,Yes
th-loading,1808.0,Yes
Lihg,1652.0,Yes
Noproblem29,1671.0,Yes
Lotuses,1754.0,Yes
SigmaGoku,1667.0,Yes
jayeshasawa,1678.0,Yes
mdub,1651.0,Yes
rpriydarshi,1677.0,Yes
vatsal_04,1708.0,Yes
Arpia,1650.0,Yes
Daluca,1709.0,Yes
Trigerrr,1703.0,Yes
Zbigniew100noga,1656.0,Yes
regirock,1657.0,Yes
Fourty_Seven,1648.0,Yes
hbatata11,1648.0,Yes
tushargoyal1,1648.0,Yes
Ieathamcheesebugers,1693.0,Yes
Sloth_junkie,1647.0,Yes
ycccc319,1708.0,Yes
I_Love_Dota,1802.0,Yes
Ryu204,1841.0,Yes
Maatt,1645.0,Yes
ly2003,1747.0,Yes
xyxoro,1680.0,Yes
_AhmedKamal_,1644.0,Yes
remake2023,1751.0,Yes
hanbro0112,1692.0,Yes
jiangzhihui,1686.0,Yes
yimuhua,1732.0,Yes
Haire,1656.0,Yes
NortGlG-,1684.0,Yes
gosse,1642.0,Yes
hritik426,1738.0,Yes
whutzym,1652.0,Yes
-XXP-,1678.0,Yes
nowayjose,1706.0,Yes
_believe,1689.0,Yes
devil_duck,1780.0,Yes
shubhu11,1640.0,Yes
zengjun,1640.0,Yes
FlyingFeather,1652.0,Yes
assazzin_2,1654.0,Yes
lazar3141,1749.0,Yes
ayush_malviya,1657.0,Yes
JP099,1637.0,Yes
mhgishere,1696.0,Yes
to_be_or_not_to_be,1962.0,Yes
Hawara,1689.0,Yes
ashwat_thama,1641.0,Yes
dak_8055,1635.0,Yes
dqjm,1873.0,Yes
Flyed,1644.0,Yes
cmdgbb,1634.0,Yes
Abwbkr,1732.0,Yes
pwnp,1632.0,Yes
XiaoTie,1631.0,Yes
brownfox2k6,1631.0,Yes
Shenyq,1695.0,Yes
priyanshu.p,1733.0,Yes
HyeuShogun,1673.0,Yes
Tanmay7404,1629.0,Yes
Zxyoul,1711.0,Yes
Java_Programmer,1800.0,Yes
aashishraghav627,1627.0,Yes
oaoaoa_mmm,1671.0,Yes
User-Unauthorized,1626.0,Yes
Zero_OP,1624.0,Yes
zseefvhu12,1685.0,Yes
go_next,1779.0,Yes
kingsneverdie1411,1678.0,Yes
gnique,1657.0,Yes
Brownbear2710,1600.0,Yes
K4vin,1630.0,Yes
abhaycodes07,1600.0,Yes
Georgewang,1611.0,Yes
wust-221,1599.0,Yes
Rifat4242,1597.0,Yes
TaylorFly,1597.0,Yes
asdasdqwer,1596.0,Yes
geekyuttu,1607.0,Yes
huang_cc,1603.0,Yes
