Handle,Max Rating_x,Result
Lost_in_pain,1467.0,Yes
Ritik24,1529.0,Yes
Ruthvik2835,1497.0,Yes
Tandav,1531.0,Yes
electrojay27,1487.0,Yes
harshith_04,1606.0,Yes
krishnash1355,1510.0,Yes
manjeetvats,1545.0,Yes
primesadist,1559.0,Yes
probie123,1467.0,Yes
qtfyy,1467.0,Yes
horrifying,1466.0,Yes
Anand_Coder102,1487.0,Yes
Kusoul,1465.0,Yes
PhanThanhThai,1464.0,Yes
Purgatory_,1464.0,Yes
suprend,1576.0,Yes
wannna_be_master,1489.0,Yes
Enamul_Hasan85,1517.0,Yes
HVD_160,1467.0,Yes
aditya1064,1463.0,Yes
Wilbert1124,1462.0,Yes
alex17.12,1462.0,Yes
sushant.iit,1476.0,Yes
just_chill_123,1528.0,Yes
mohdfahad,1635.0,Yes
vishesh011,1465.0,Yes
bitezadust,1535.0,Yes
ManikandanSritharan,1645.0,Yes
anhvuleduc17,1548.0,Yes
codechefpurpose2023,1459.0,Yes
harshitarorashubham,1514.0,Yes
Ahmadbit,1487.0,Yes
R_Fraternal,1458.0,Yes
Volk_zevaet,1568.0,Yes
bleki,1458.0,Yes
srivatsav_kannan,1515.0,Yes
Dub,1531.0,Yes
ayush2321,1616.0,Yes
mohamed.kachef2006,1590.0,Yes
sk.dubey,1672.0,Yes
suneqa,1584.0,Yes
ytcytc,1541.0,Yes
demadog,1661.0,Yes
tminh_hk20,1456.0,Yes
32323,1654.0,Yes
L_7,1622.0,Yes
__fn__,1455.0,Yes
khjk,1631.0,Yes
liuyz11,1455.0,Yes
GreeNZov,1480.0,Yes
computer_jock,1500.0,Yes
Nilesh_,1593.0,Yes
hunter19019,1453.0,Yes
prashant_gangwar,1456.0,Yes
bkdn23.mimibetty,1490.0,Yes
mio-lover,1452.0,Yes
MAloneM,1679.0,Yes
wakeup.....WAKE_UUUUUUP,1451.0,Yes
GYPplus,1450.0,Yes
Kacper-Ziemecki,1485.0,Yes
_SIR_,1627.0,Yes
dfx,1449.0,Yes
petermyagkov2008,1453.0,Yes
pouyan86,1565.0,Yes
thehvd3,1449.0,Yes
vatsurproblem,1504.0,Yes
Alfa,1469.0,Yes
Dalios,1448.0,Yes
Ox0Ricky,1656.0,Yes
a1624546371,1448.0,Yes
abineth,1569.0,Yes
HHHashmap,1483.0,Yes
meKira,1576.0,Yes
samuv,1511.0,Yes
WanYuanShenWanDe,1446.0,Yes
dream7,1628.0,Yes
sharmakaps8077,1446.0,Yes
u-u-uwu,1490.0,Yes
JRCoder,1472.0,Yes
riogor,1459.0,Yes
yueyuey,1476.0,Yes
realphamanhtuan,1521.0,Yes
yuYgen,1536.0,Yes
JinYuManTang,1511.0,Yes
Prabhat0602,1702.0,Yes
coder_ISM,1525.0,Yes
ishaan20068,1443.0,Yes
ruh_orz,1522.0,Yes
whycp,1530.0,Yes
chetan__,1605.0,Yes
siddhapuraom,1442.0,Yes
1212duks,1441.0,Yes
ILabelI,1441.0,Yes
ay29062001,1441.0,Yes
fantamaggi,1441.0,Yes
starcat,1530.0,Yes
swarnendu,1462.0,Yes
1e18iq,1553.0,Yes
Axiomatic008,1440.0,Yes
