contestId,index,solvedCount
1887,F,N/A
1887,E,N/A
1887,D,N/A
1887,C,N/A
1887,B,N/A
1886,F,N/A
1886,E,N/A
1886,D,N/A
1886,C,N/A
1886,B,N/A
1886,A,N/A
1884,E,N/A
1884,D,N/A
1884,C,N/A
1884,B,N/A
1884,A,N/A
1883,G2,N/A
1883,G1,N/A
1883,F,N/A
1883,E,N/A
1883,D,N/A
1883,C,N/A
1883,B,N/A
1883,A,N/A
1882,E2,N/A
1882,E1,N/A
1882,D,N/A
1882,C,N/A
1882,B,N/A
1882,A,N/A
1881,G,N/A
1881,F,N/A
1881,E,N/A
1881,D,N/A
1881,C,N/A
1881,B,N/A
1881,A,N/A
1879,F,N/A
1879,E,N/A
1879,D,N/A
1879,C,N/A
1879,B,N/A
1879,A,N/A
1878,G,N/A
1878,F,N/A
1878,E,N/A
1878,D,N/A
1878,C,N/A
1878,B,N/A
1878,A,N/A
1877,C,N/A
1877,A,N/A
1876,G,N/A
1876,F,N/A
1876,E,N/A
1876,D,N/A
1876,C,N/A
1876,B,N/A
1876,A,N/A
1875,D,N/A
1875,C,N/A
1875,A,N/A
1874,G,N/A
1874,F,N/A
1874,E,N/A
1874,D,N/A
1874,C,N/A
1874,B,N/A
1874,A,N/A
1873,H,N/A
1873,G,N/A
1873,F,N/A
1873,E,N/A
1873,D,N/A
1873,C,N/A
1873,B,N/A
1873,A,N/A
1872,G,N/A
1872,F,N/A
1872,E,N/A
1872,D,N/A
1872,C,N/A
1872,B,N/A
1872,A,N/A
1870,H,N/A
1870,G,N/A
1870,F,N/A
1870,E,N/A
1870,D,N/A
1870,C,N/A
1870,B,N/A
1870,A,N/A
1869,B,N/A
1869,A,N/A
1868,F,N/A
1868,E,N/A
1868,D,N/A
1868,C,N/A
1868,B2,N/A
1868,B1,N/A
1868,A,N/A
1867,F,N/A
1867,E2,N/A
1867,E1,N/A
1867,D,N/A
1867,C,N/A
1867,B,N/A
1867,A,N/A
1866,M,N/A
1866,L,N/A
1866,K,N/A
1866,J,N/A
1866,I,N/A
1866,H,N/A
1866,G,N/A
1866,F,N/A
1866,E,N/A
1866,D,N/A
1866,C,N/A
1866,B,N/A
1866,A,N/A
1864,I,N/A
1864,H,N/A
1864,G,N/A
1864,F,N/A
1864,E,N/A
1864,D,N/A
1864,C,N/A
1864,B,N/A
1864,A,N/A
1863,I,N/A
1863,H,N/A
1863,G,N/A
1863,F,N/A
1863,E,N/A
1863,D,N/A
1863,C,N/A
1863,B,N/A
1863,A,N/A
1862,G,N/A
1862,F,N/A
1862,E,N/A
1862,D,N/A
1862,C,N/A
1862,B,N/A
1862,A,N/A
1861,F,N/A
1861,E,N/A
1861,D,N/A
1861,C,N/A
1861,B,N/A
1861,A,N/A
1860,F,N/A
1860,E,N/A
1860,D,N/A
1860,C,N/A
1860,B,N/A
1860,A,N/A
1859,F,N/A
1859,E,N/A
1859,D,N/A
1859,C,N/A
1859,B,N/A
1859,A,N/A
1858,E2,N/A
1858,E1,N/A
1858,D,N/A
1858,C,N/A
1858,B,N/A
1858,A,N/A
1857,G,N/A
1857,F,N/A
1857,E,N/A
1857,D,N/A
1857,C,N/A
1857,B,N/A
1857,A,N/A
1856,E2,N/A
1856,E1,N/A
1856,D,N/A
1856,C,N/A
1856,B,N/A
1856,A,N/A
1855,B,N/A
1855,A,N/A
1854,F,N/A
1854,E,N/A
1854,D,N/A
1854,C,N/A
1854,B,N/A
1854,A2,N/A
1854,A1,N/A
1853,B,N/A
1853,A,N/A
1852,F,N/A
1852,E,N/A
1852,D,N/A
1852,C,N/A
1852,B,N/A
