Handle,Max Rating_x,Result
Sahil_32,1535.0,Yes
fightMaster001,1535.0,Yes
pt_dtu,1587.0,Yes
not_just_rr,1623.0,Yes
Daoortor,1532.0,Yes
Priyam_18,1627.0,Yes
chenye3,1548.0,Yes
weakestOsuPlayer_244,1767.0,Yes
Oubaitori,1754.0,Yes
shivamss,1646.0,Yes
stumblebum,1599.0,Yes
thisIsNotMe,1616.0,Yes
-LHY-,1610.0,Yes
AlphaBruh,1530.0,Yes
EndStarry,1622.0,Yes
Yeahh_,1601.0,Yes
akash456,1668.0,Yes
mukundm,1530.0,Yes
phanvythien123,1725.0,Yes
prasham15,1529.0,Yes
AbracaSora,1601.0,Yes
Hamloo,1528.0,Yes
drNarzullayev,1572.0,Yes
rafarkabir,1601.0,Yes
xingmaqi,1605.0,Yes
H030m0001,1533.0,Yes
rkaiki,1527.0,Yes
Vishnu_Actual,1526.0,Yes
huyngoquang78,1648.0,Yes
wixx,1553.0,Yes
HeReWeGoAgAiN123,1525.0,Yes
dragusanu.rares,1604.0,Yes
jat.arc2004,1594.0,Yes
prakhartandon,1577.0,Yes
smchen,1536.0,Yes
Aravind,1636.0,Yes
CQUT-FWXDD,1545.0,Yes
gojo57,1607.0,Yes
Patel45,1695.0,Yes
Primest3in,1523.0,Yes
dukhdard,1523.0,Yes
innerboy,1549.0,Yes
Federico_Garcia_Lorca,1522.0,Yes
Victor_Luis123,1575.0,Yes
mc1,1567.0,Yes
KALARRY,1801.0,Yes
Raven_c,1741.0,Yes
AiHAn,1662.0,Yes
Darshan_9405,1608.0,Yes
agrahariprajjawal5,1519.0,Yes
pranitrai07,1523.0,Yes
the_coder_8297,1519.0,Yes
Bahamin,1518.0,Yes
Intellect001,1518.0,Yes
LoganGD,1575.0,Yes
Akshay_12,1664.0,Yes
nicnaknic,1624.0,Yes
riyadas.200208,1631.0,Yes
rzi,1517.0,Yes
2022Zhangfenglai,1516.0,Yes
Blue_M00n,1516.0,Yes
Shubh_Kr07,1576.0,Yes
shihaka,1530.0,Yes
Sheyer,1650.0,Yes
SjxOvO,1580.0,Yes
hoangnoobpro,1575.0,Yes
purpleblackferret,1515.0,Yes
abhishekpandey7842,1650.0,Yes
siddhesh.o4,1547.0,Yes
PulokSaha,1645.0,Yes
iamujj15,1517.0,Yes
L_M_Y,1522.0,Yes
adityadargan3,1512.0,Yes
highgih,1512.0,Yes
m3tz,1576.0,Yes
situn,1693.0,Yes
MysticCoder,1511.0,Yes
konakarthik12,1563.0,Yes
subha_nik,1754.0,Yes
FreenCKup,1612.0,Yes
HmmHmm,1583.0,Yes
Unstoppable_1,1565.0,Yes
atal.21003,1607.0,Yes
kasiru_69,1588.0,Yes
linearspace,1510.0,Yes
Xorcer3r,1509.0,Yes
Jingping_Huang,1507.0,Yes
dinolovesusu,1507.0,Yes
gokulpatel,1653.0,Yes
Ahmedmadbouly186,1506.0,Yes
Po1ynomial,1506.0,Yes
itadori_yuji,1605.0,Yes
_watch_this_,1620.0,Yes
pasda.,1510.0,Yes
CLUMSY_BOT,1618.0,Yes
joydeep-das123,1550.0,Yes
omga,1523.0,Yes
LJIONG,1904.0,Yes
perkyfever,1524.0,Yes
1729_prism,1616.0,Yes
Nishant_05,1644.0,Yes
ThookNhi,1502.0,Yes
fanhuaxingyu,1593.0,Yes
haiminh_01,1592.0,Yes
shriekinghoul,1557.0,Yes
wlh666,1674.0,Yes
wrong_answer_on_test2,1740.0,Yes
Eason9002,1717.0,Yes
lucky__389,1499.0,Yes
jijick,1498.0,Yes
wa_OIers,1614.0,Yes
Diao_lingg,1583.0,Yes
Emilia_IceWitch,1583.0,Yes
somplz,1515.0,Yes
petar_b,1512.0,Yes
MrPython,1495.0,Yes
kaiichen,1532.0,Yes
tryharderforioi100,1495.0,Yes
Rillaboom2020,1621.0,Yes
madhurgupta185,1543.0,Yes
myy04,1782.0,Yes
523555337,1493.0,Yes
eTenuun,1502.0,Yes
Agakiss,1492.0,Yes
Siddhant_Khanna,1552.0,Yes
WarriorBob,1673.0,Yes
detective...dots,1527.0,Yes
giao_abc,1492.0,Yes
mridulkaran2014,1527.0,Yes
nasir_bashirov,1492.0,Yes
rahilshah17,1529.0,Yes
teerath_482,1545.0,Yes
x1aoH,1677.0,Yes
Sheber,1560.0,Yes
ashh18,1490.0,Yes
rajat397,1605.0,Yes
dev1l_1,1596.0,Yes
gandfatte,1522.0,Yes
iamr,1489.0,Yes
linweiyi,1489.0,Yes
rafael.j.gomes23,1551.0,Yes
Robshak,1531.0,Yes
Suyash_R10,1519.0,Yes
shree_simha,1612.0,Yes
sunj,1488.0,Yes
F.0T,1529.0,Yes
YiLinG,1489.0,Yes
Yoystc0n,1486.0,Yes
iam_Lost,1501.0,Yes
IllegalRazer,1669.0,Yes
ma.kalmykov23,1485.0,Yes
vivk,1606.0,Yes
