Handle,Max Rating_x,Result,Solved Problems,Problem Count
Taha,1736.0,Yes,"{(1851, 'E'), (1517, 'C'), (1833, 'D'), (1766, 'C'), (1077, 'C'), (1605, 'C'), (1660, 'C'), (1726, 'C'), (1860, 'C'), (1847, 'C'), (1825, 'C'), (1609, 'C'), (520, 'B'), (330, 'B'), (1650, 'D'), (1399, 'D'), (1744, 'E1'), (1728, 'C'), (1108, 'D'), (1371, 'C'), (1354, 'C1'), (1809, 'C'), (277, 'A'), (35, 'C'), (1130, 'C'), (448, 'B'), (1679, 'C'), (1772, 'D'), (1879, 'C'), (1604, 'C'), (1705, 'C'), (1732, 'D1'), (1311, 'C'), (455, 'A'), (1826, 'C'), (505, 'B'), (320, 'B'), (166, 'E'), (1858, 'B'), (1711, 'C'), (1418, 'C'), (1249, 'B2'), (1845, 'C'), (1312, 'C'), (1765, 'K'), (1684, 'C'), (1673, 'C'), (1794, 'C'), (1360, 'E'), (1263, 'B'), (1556, 'B'), (1547, 'E'), (816, 'B'), (1792, 'C'), (1065, 'B'), (1811, 'E'), (1452, 'B'), (1701, 'C'), (1294, 'C'), (988, 'C'), (1385, 'D'), (1374, 'D'), (1758, 'C'), (1775, 'B'), (1201, 'C'), (1095, 'C'), (1203, 'C'), (1654, 'C'), (1547, 'D'), (580, 'C'), (1790, 'E'), (1321, 'B'), (1737, 'B'), (1108, 'C'), (1735, 'C'), (1165, 'C'), (1638, 'C'), (1627, 'C'), (1675, 'E'), (1649, 'B'), (414, 'B'), (1559, 'D1'), (570, 'B'), (1393, 'B'), (1490, 'E'), (1697, 'C'), (508, 'B'), (1195, 'C'), (1816, 'C'), (295, 'A'), (1154, 'D'), (1141, 'D'), (1644, 'C'), (1714, 'E'), (1844, 'C'), (1820, 'C'), (1661, 'B'), (1659, 'C'), (1263, 'C'), (1579, 'D'), (1621, 'B'), (1646, 'C'), (1409, 'D'), (1203, 'E'), (1738, 'C'), (893, 'C'), (459, 'B'), (276, 'B'), (978, 'E'), (1862, 'D'), (1611, 'D'), (272, 'C'), (1360, 'D'), (977, 'D'), (1133, 'D'), (445, 'B'), (1759, 'E'), (1810, 'C'), (1176, 'C'), (1624, 'D'), (264, 'B'), (1612, 'C'), (1691, 'C'), (25, 'A'), (1823, 'C'), (1323, 'B'), (1561, 'C'), (1490, 'F'), (744, 'A'), (1800, 'E2'), (1725, 'G'), (1324, 'D'), (1574, 'C'), (1629, 'C'), (1323, 'C'), (1602, 'C'), (1668, 'C'), (1789, 'C'), (189, 'A'), (1721, 'C'), (1759, 'D'), (1670, 'C'), (1618, 'D'), (1607, 'D'), (1648, 'A'), (1870, 'C'), (1315, 'B'), (230, 'B'), (1234, 'C'), (509, 'B'), (507, 'B'), (1250, 'L'), (1675, 'D'), (1741, 'D'), (1263, 'D'), (1764, 'C'), (1234, 'B2'), (1436, 'C'), (296, 'C'), (1141, 'C'), (1647, 'C'), (1453, 'B')}",162
swayingdream,1805.0,Yes,"{(1517, 'C'), (1833, 'D'), (1605, 'C'), (1649, 'C'), (1475, 'C'), (1519, 'C'), (1526, 'C1'), (1609, 'C'), (1650, 'D'), (1538, 'F'), (1399, 'D'), (1838, 'C'), (1466, 'C'), (1573, 'B'), (1492, 'C'), (1857, 'E'), (1536, 'C'), (1549, 'C'), (1604, 'C'), (1839, 'C'), (1526, 'B'), (1840, 'D'), (1844, 'D'), (1857, 'D'), (1579, 'C'), (1845, 'C'), (1556, 'B'), (1547, 'E'), (1541, 'C'), (1631, 'C'), (1569, 'C'), (1791, 'F'), (1374, 'D'), (1385, 'D'), (1817, 'A'), (1547, 'D'), (1654, 'C'), (1627, 'B'), (1546, 'C'), (1535, 'C'), (1614, 'C'), (1486, 'B'), (1552, 'B'), (1454, 'D'), (1638, 'C'), (1627, 'C'), (1616, 'C'), (1490, 'E'), (1487, 'D'), (1778, 'B'), (1644, 'C'), (1516, 'B'), (1844, 'C'), (1661, 'B'), (1831, 'C'), (1555, 'B'), (1542, 'B'), (1621, 'B'), (1579, 'D'), (1850, 'G'), (1594, 'E1'), (1646, 'C'), (1409, 'D'), (1617, 'C'), (1606, 'C'), (1520, 'E'), (1634, 'B'), (1555, 'C'), (1493, 'B'), (1466, 'D'), (1611, 'D'), (1426, 'D'), (1561, 'B'), (1521, 'B'), (1624, 'D'), (1612, 'C'), (1823, 'C'), (1433, 'E'), (1561, 'C'), (1651, 'C'), (1490, 'F'), (1837, 'D'), (1574, 'C'), (1629, 'C'), (1615, 'B'), (1602, 'C'), (1538, 'C'), (1591, 'C'), (1618, 'D'), (1850, 'F'), (1607, 'D'), (1551, 'C'), (1513, 'B'), (1487, 'C'), (1551, 'B2'), (1649, 'B'), (1506, 'E'), (1647, 'C')}",98
code_hardik,1795.0,Yes,"{(469, 'B'), (1515, 'C'), (1605, 'C'), (1692, 'G'), (1037, 'C'), (1860, 'C'), (1526, 'C1'), (352, 'B'), (330, 'B'), (486, 'B'), (1573, 'B'), (1857, 'E'), (1863, 'D'), (1536, 'C'), (448, 'B'), (1604, 'C'), (450, 'B'), (1271, 'B'), (1526, 'B'), (58, 'B'), (1167, 'B'), (478, 'B'), (1301, 'B'), (282, 'B'), (1857, 'D'), (1419, 'D2'), (1418, 'C'), (1556, 'B'), (165, 'B'), (1547, 'E'), (1553, 'D'), (1569, 'C'), (1701, 'C'), (1195, 'D1'), (1676, 'G'), (1385, 'D'), (1851, 'D'), (580, 'B'), (318, 'B'), (289, 'B'), (1547, 'D'), (1546, 'C'), (1486, 'B'), (1552, 'B'), (1814, 'C'), (493, 'B'), (1690, 'E'), (508, 'B'), (1692, 'F'), (1487, 'D'), (1555, 'B'), (1542, 'B'), (1850, 'G'), (1203, 'E'), (1855, 'C1'), (1555, 'C'), (276, 'B'), (1862, 'D'), (1611, 'D'), (1561, 'B'), (1691, 'C'), (25, 'A'), (1561, 'C'), (1706, 'C'), (451, 'B'), (676, 'C'), (1534, 'C'), (1602, 'C'), (1703, 'F'), (279, 'B'), (1538, 'C'), (1607, 'D'), (1870, 'C'), (1676, 'F'), (230, 'B'), (1551, 'C'), (507, 'B'), (1551, 'B2'), (509, 'B')}",79
sharmalokesh,1711.0,Yes,"{(1768, 'C'), (1851, 'E'), (1833, 'D'), (1821, 'C'), (1692, 'G'), (1860, 'C'), (1847, 'C'), (1609, 'C'), (1744, 'E1'), (1838, 'C'), (1866, 'B'), (1809, 'C'), (1857, 'E'), (1863, 'D'), (1679, 'C'), (1772, 'D'), (1879, 'C'), (1705, 'C'), (1732, 'D1'), (1749, 'C'), (1839, 'C'), (1826, 'C'), (1696, 'C'), (1762, 'C'), (1858, 'B'), (1788, 'C'), (1846, 'E1'), (1767, 'D'), (1869, 'C'), (1845, 'C'), (1765, 'K'), (1765, 'N'), (1739, 'C'), (1805, 'C'), (550, 'B'), (1792, 'C'), (1740, 'D'), (1818, 'C'), (1811, 'E'), (1701, 'C'), (1791, 'F'), (1771, 'B'), (1758, 'C'), (1773, 'E'), (1851, 'D'), (1786, 'B'), (1775, 'B'), (1742, 'F'), (1776, 'L'), (1654, 'C'), (1748, 'B'), (1627, 'C'), (1814, 'C'), (1697, 'C'), (1753, 'A2'), (1733, 'D1'), (1816, 'C'), (1778, 'B'), (1644, 'C'), (1831, 'C'), (1820, 'C'), (1760, 'F'), (1850, 'G'), (4, 'C'), (1738, 'C'), (1628, 'A'), (1855, 'C1'), (1740, 'C'), (1795, 'C'), (1810, 'C'), (1759, 'E'), (1624, 'D'), (1691, 'C'), (1823, 'C'), (1867, 'C'), (1774, 'B'), (1706, 'C'), (1761, 'C'), (1800, 'E2'), (1864, 'C'), (1789, 'C'), (1872, 'E'), (1721, 'C'), (1759, 'D'), (1742, 'G'), (1842, 'C'), (1870, 'C'), (1804, 'C')}",88
amit_pandit_15,1755.0,Yes,"{(1242, 'A'), (1768, 'C'), (1754, 'C2'), (628, 'C'), (469, 'B'), (1766, 'C'), (1821, 'C'), (1515, 'C'), (1605, 'C'), (1253, 'C'), (1726, 'C'), (1692, 'G'), (1249, 'C1'), (1860, 'C'), (1847, 'C'), (1215, 'B'), (1184, 'B1'), (687, 'A'), (352, 'B'), (330, 'B'), (486, 'B'), (1744, 'E1'), (1728, 'C'), (1838, 'C'), (1215, 'C'), (1866, 'B'), (1573, 'B'), (1809, 'C'), (1536, 'C'), (1863, 'D'), (437, 'B'), (448, 'B'), (96, 'B'), (1679, 'C'), (279, 'A'), (1549, 'C'), (1604, 'C'), (1705, 'C'), (1732, 'D1'), (1749, 'C'), (1839, 'C'), (1826, 'C'), (1443, 'C'), (1711, 'B'), (1694, 'C'), (455, 'A'), (450, 'B'), (58, 'B'), (1696, 'C'), (1272, 'D'), (1762, 'C'), (468, 'A'), (1844, 'D'), (1139, 'C'), (888, 'C'), (1711, 'C'), (1167, 'B'), (1788, 'C'), (478, 'B'), (1209, 'C'), (282, 'B'), (337, 'B'), (1767, 'D'), (1207, 'C'), (1264, 'A'), (1418, 'C'), (1869, 'C'), (1845, 'C'), (1167, 'C'), (1183, 'D'), (1684, 'C'), (1673, 'C'), (205, 'B'), (18, 'A'), (1805, 'C'), (1794, 'C'), (1228, 'B'), (416, 'B'), (233, 'B'), (1547, 'E'), (1553, 'D'), (1792, 'C'), (1740, 'D'), (1541, 'C'), (1631, 'C'), (1569, 'C'), (1701, 'C'), (1791, 'F'), (312, 'B'), (1515, 'D'), (1676, 'G'), (1771, 'B'), (1269, 'B'), (514, 'B'), (1775, 'B'), (1201, 'C'), (358, 'A'), (289, 'B'), (1754, 'C1'), (1547, 'D'), (1654, 'C'), (1296, 'D'), (1748, 'B'), (1614, 'C'), (771, 'A'), (357, 'B'), (1552, 'B'), (1733, 'C'), (1638, 'C'), (1627, 'C'), (1682, 'C'), (1676, 'H2'), (1675, 'E'), (359, 'B'), (1676, 'H1'), (493, 'B'), (1807, 'E'), (1559, 'D1'), (1490, 'E'), (192, 'A'), (1697, 'C'), (1690, 'E'), (1208, 'B'), (1287, 'B'), (1659, 'B'), (508, 'B'), (1692, 'F'), (1249, 'C2'), (1195, 'C'), (1733, 'D1'), (1669, 'H'), (284, 'A'), (1644, 'C'), (1545, 'A'), (416, 'A'), (1844, 'C'), (1831, 'C'), (1820, 'C'), (1661, 'B'), (1197, 'C'), (1659, 'C'), (1555, 'B'), (1542, 'B'), (219, 'B'), (1850, 'G'), (1594, 'E1'), (1646, 'C'), (1461, 'C'), (1278, 'B'), (1824, 'A'), (1203, 'E'), (1738, 'C'), (1628, 'A'), (1190, 'A'), (1250, 'H'), (1634, 'B'), (1855, 'C1'), (1555, 'C'), (1066, 'B'), (276, 'B'), (342, 'B'), (437, 'A'), (1862, 'D'), (1214, 'A'), (1740, 'C'), (1611, 'D'), (1426, 'D'), (1600, 'J'), (274, 'A'), (1810, 'C'), (1624, 'D'), (1691, 'C'), (1256, 'D'), (1746, 'C'), (25, 'A'), (1196, 'D1'), (1774, 'B'), (1200, 'C'), (1189, 'C'), (1706, 'C'), (1162, 'B'), (1389, 'C'), (1490, 'F'), (489, 'C'), (676, 'C'), (451, 'B'), (1837, 'D'), (1800, 'E2'), (1574, 'C'), (414, 'A'), (1774, 'C'), (1391, 'C'), (1468, 'C'), (1615, 'B'), (1213, 'D1'), (614, 'A'), (1703, 'F'), (1296, 'C'), (1283, 'C'), (1668, 'C'), (2, 'A'), (279, 'B'), (189, 'A'), (534, 'B'), (228, 'B'), (1721, 'C'), (1842, 'C'), (1670, 'C'), (1618, 'D'), (1850, 'F'), (1648, 'A'), (1870, 'C'), (1236, 'B'), (1291, 'B'), (1676, 'F'), (587, 'A'), (1234, 'C'), (576, 'A'), (230, 'B'), (507, 'B'), (1218, 'F'), (1183, 'C'), (1250, 'L'), (1675, 'D'), (1698, 'C'), (1263, 'D'), (1764, 'C'), (1551, 'B2'), (509, 'B'), (298, 'A')}",230
wzj33300,1710.0,Yes,"{(1857, 'D'), (1869, 'C'), (1867, 'C'), (1870, 'C'), (1858, 'B'), (1873, 'F'), (1857, 'E'), (1863, 'D')}",8
xvzhiming,1802.0,Yes,"{(1242, 'A'), (1313, 'C1'), (707, 'C'), (1851, 'E'), (1186, 'D'), (22, 'B'), (24, 'B'), (185, 'A'), (1399, 'D'), (288, 'B'), (1866, 'B'), (1270, 'C'), (898, 'C'), (1573, 'B'), (702, 'C'), (1857, 'E'), (1016, 'B'), (1375, 'C'), (316, 'B1'), (1178, 'D'), (873, 'B'), (1439, 'A1'), (994, 'B'), (1179, 'A'), (1749, 'C'), (1005, 'C'), (450, 'B'), (505, 'B'), (204, 'A'), (1839, 'C'), (320, 'B'), (166, 'E'), (1272, 'D'), (468, 'A'), (840, 'A'), (1139, 'C'), (1844, 'D'), (1271, 'C'), (1101, 'B'), (1788, 'C'), (934, 'A'), (566, 'F'), (799, 'B'), (1857, 'D'), (1873, 'G'), (1579, 'C'), (1419, 'D2'), (1418, 'C'), (1355, 'D'), (485, 'A'), (1068, 'A'), (839, 'C'), (18, 'A'), (172, 'C'), (1739, 'C'), (1312, 'C'), (696, 'A'), (1792, 'C'), (843, 'A'), (630, 'H'), (312, 'B'), (1791, 'F'), (356, 'A'), (1348, 'B'), (1851, 'D'), (580, 'B'), (303, 'A'), (1775, 'B'), (329, 'B'), (107, 'A'), (120, 'E'), (39, 'H'), (27, 'B'), (1776, 'L'), (809, 'A'), (1296, 'D'), (1627, 'B'), (476, 'B'), (1108, 'C'), (580, 'C'), (1101, 'E'), (241, 'A'), (409, 'H'), (991, 'C'), (1180, 'B'), (39, 'J'), (158, 'D'), (1110, 'C'), (859, 'C'), (1365, 'C'), (1737, 'C'), (1182, 'B'), (359, 'B'), (690, 'C2'), (570, 'B'), (293, 'A'), (546, 'C'), (1131, 'B'), (977, 'E'), (1692, 'F'), (257, 'B'), (864, 'D'), (284, 'A'), (1778, 'B'), (1844, 'C'), (1076, 'C'), (1008, 'C'), (1420, 'C1'), (1263, 'C'), (1555, 'B'), (1542, 'B'), (1579, 'D'), (268, 'C'), (74, 'B'), (1850, 'G'), (255, 'C'), (1461, 'C'), (1368, 'B'), (4, 'C'), (1203, 'E'), (1738, 'C'), (1093, 'C'), (1555, 'C'), (1000, 'B'), (1066, 'B'), (276, 'B'), (804, 'B'), (212, 'E'), (91, 'B'), (1862, 'D'), (1740, 'C'), (961, 'C'), (1051, 'C'), (977, 'D'), (1425, 'A'), (274, 'A'), (1426, 'D'), (1157, 'C1'), (1352, 'F'), (1133, 'D'), (1795, 'C'), (1372, 'C'), (1600, 'J'), (670, 'C'), (749, 'C'), (650, 'A'), (115, 'B'), (870, 'C'), (676, 'B'), (515, 'B'), (264, 'B'), (1323, 'B'), (1090, 'A'), (1400, 'C'), (1004, 'C'), (150, 'A'), (161, 'A'), (900, 'B'), (1136, 'C'), (1575, 'J'), (1574, 'C'), (1602, 'C'), (1070, 'H'), (845, 'C'), (279, 'B'), (2, 'A'), (435, 'B'), (1789, 'C'), (862, 'B'), (600, 'B'), (838, 'A'), (1850, 'F'), (798, 'B'), (1320, 'A'), (191, 'A'), (707, 'B'), (1675, 'D'), (1741, 'D'), (492, 'C'), (1263, 'D'), (1370, 'C'), (760, 'B'), (1764, 'C'), (509, 'B'), (1141, 'C')}",185
Brouder,1829.0,Yes,"{(1851, 'E'), (1833, 'D'), (1846, 'E1'), (1857, 'D'), (1873, 'G'), (1869, 'C'), (1845, 'C'), (1867, 'C'), (1873, 'F'), (1860, 'C'), (1847, 'C'), (1864, 'C'), (1844, 'C'), (1831, 'C'), (1857, 'E'), (1863, 'D'), (1850, 'G'), (1842, 'C'), (1879, 'C'), (1850, 'F'), (1870, 'C'), (1851, 'D'), (1839, 'C'), (1855, 'C1'), (1862, 'D'), (1844, 'D'), (1858, 'B')}",27
nirav114,1709.0,Yes,"{(907, 'B'), (1821, 'C'), (1726, 'C'), (1860, 'C'), (1215, 'B'), (1475, 'C'), (1609, 'C'), (1744, 'E1'), (1270, 'C'), (1573, 'B'), (1415, 'C'), (675, 'B'), (1470, 'A'), (455, 'A'), (981, 'C'), (1284, 'B'), (1526, 'B'), (1696, 'C'), (930, 'A'), (679, 'A'), (1237, 'B'), (1418, 'C'), (1355, 'D'), (1167, 'C'), (1765, 'K'), (1312, 'C'), (1556, 'B'), (1794, 'C'), (698, 'A'), (1631, 'C'), (843, 'A'), (1369, 'C'), (1380, 'C'), (1256, 'B'), (1505, 'C'), (1374, 'D'), (1385, 'D'), (1773, 'E'), (1562, 'C'), (1363, 'B'), (1546, 'C'), (1535, 'C'), (1560, 'D'), (1454, 'D'), (513, 'B1'), (1675, 'E'), (1737, 'C'), (670, 'D1'), (545, 'D'), (1559, 'D1'), (1393, 'B'), (44, 'E'), (1131, 'B'), (1733, 'D1'), (1816, 'C'), (1669, 'H'), (1316, 'B'), (1461, 'B'), (1844, 'C'), (1197, 'C'), (1579, 'D'), (272, 'B'), (1421, 'C'), (1855, 'C1'), (1555, 'C'), (1055, 'B'), (804, 'B'), (1214, 'A'), (1740, 'C'), (1426, 'D'), (1372, 'C'), (1266, 'C'), (632, 'B'), (1521, 'B'), (1691, 'C'), (25, 'A'), (1451, 'C'), (940, 'B'), (652, 'A'), (1200, 'C'), (1189, 'C'), (1446, 'A'), (1800, 'E2'), (865, 'A'), (1391, 'C'), (1213, 'D1'), (755, 'C'), (1285, 'C'), (534, 'B'), (1538, 'C'), (1721, 'C'), (1742, 'G'), (630, 'L'), (1320, 'A'), (602, 'B'), (1513, 'B'), (1251, 'B'), (1263, 'D'), (538, 'A'), (430, 'B'), (1506, 'E'), (417, 'C'), (1833, 'D'), (1143, 'C'), (526, 'B'), (1184, 'B1'), (1519, 'C'), (520, 'B'), (1650, 'D'), (1494, 'B'), (581, 'C'), (1492, 'C'), (1863, 'D'), (248, 'B'), (1375, 'C'), (1506, 'D'), (911, 'C'), (1549, 'C'), (1705, 'C'), (1694, 'C'), (1443, 'C'), (1350, 'B'), (954, 'B'), (703, 'B'), (1762, 'C'), (1844, 'D'), (1418, 'B'), (1167, 'B'), (1154, 'C'), (665, 'B'), (1767, 'D'), (1579, 'C'), (1473, 'C'), (1380, 'B'), (1765, 'N'), (1263, 'B'), (1547, 'E'), (1792, 'C'), (1740, 'D'), (1541, 'C'), (1569, 'C'), (630, 'H'), (803, 'A'), (1775, 'B'), (1282, 'B1'), (107, 'A'), (1754, 'C1'), (1547, 'D'), (1110, 'B'), (1748, 'B'), (1737, 'B'), (1486, 'B'), (1735, 'C'), (1814, 'C'), (1303, 'B'), (808, 'C'), (1490, 'E'), (1459, 'B'), (1697, 'C'), (546, 'C'), (977, 'E'), (1692, 'F'), (1195, 'C'), (982, 'C'), (1778, 'B'), (1250, 'A'), (1714, 'E'), (1516, 'B'), (1661, 'B'), (1659, 'C'), (1760, 'F'), (1263, 'C'), (270, 'B'), (8, 'B'), (1555, 'B'), (1520, 'E'), (1190, 'A'), (1738, 'C'), (1634, 'B'), (1736, 'C1'), (1795, 'C'), (1425, 'A'), (650, 'A'), (1746, 'C'), (1433, 'E'), (1651, 'C'), (489, 'C'), (1162, 'B'), (1490, 'F'), (1574, 'C'), (1719, 'C'), (1615, 'B'), (1864, 'C'), (1468, 'C'), (1351, 'C'), (851, 'B'), (862, 'B'), (189, 'A'), (745, 'B'), (1462, 'D'), (1670, 'C'), (1419, 'C'), (1676, 'F'), (1425, 'F'), (1675, 'D'), (60, 'B'), (1487, 'C'), (1551, 'B2'), (1370, 'C'), (1381, 'A1'), (1130, 'C'), (641, 'B'), (1768, 'C'), (1517, 'C'), (1605, 'C'), (1332, 'C'), (203, 'C'), (1847, 'C'), (1526, 'C1'), (1108, 'D'), (670, 'D2'), (1809, 'C'), (1354, 'C1'), (1536, 'C'), (699, 'B'), (1443, 'B'), (1362, 'C'), (1373, 'C'), (1604, 'C'), (1749, 'C'), (1328, 'B'), (1484, 'B'), (1711, 'C'), (478, 'B'), (1471, 'C'), (1846, 'E1'), (1684, 'C'), (1673, 'C'), (1360, 'E'), (1553, 'D'), (920, 'C'), (816, 'B'), (713, 'A'), (1515, 'D'), (802, 'J'), (1348, 'B'), (1201, 'C'), (39, 'H'), (1654, 'C'), (797, 'B'), (1552, 'B'), (1800, 'E1'), (1733, 'C'), (1616, 'C'), (1627, 'C'), (1638, 'C'), (1365, 'C'), (1676, 'H1'), (1807, 'E'), (614, 'B'), (1690, 'E'), (612, 'C'), (1659, 'B'), (1408, 'B'), (1487, 'D'), (1820, 'C'), (1476, 'B'), (1621, 'B'), (1462, 'E1'), (219, 'B'), (1646, 'C'), (748, 'C'), (4, 'C'), (893, 'C'), (538, 'B'), (261, 'A'), (1427, 'B'), (762, 'B'), (1624, 'D'), (1561, 'C'), (1425, 'H'), (1706, 'C'), (451, 'B'), (1324, 'D'), (1335, 'D'), (1629, 'C'), (1774, 'C'), (1534, 'C'), (1668, 'C'), (928, 'B'), (1842, 'C'), (230, 'B'), (868, 'B'), (1804, 'C'), (1741, 'D'), (1698, 'C'), (1436, 'C'), (1332, 'B'), (1754, 'C2'), (1766, 'C'), (1515, 'C'), (1660, 'C'), (1253, 'C'), (1649, 'C'), (1692, 'G'), (1538, 'F'), (1717, 'C'), (1728, 'C'), (1466, 'C'), (1866, 'B'), (1498, 'B'), (1679, 'C'), (1722, 'G'), (1772, 'D'), (677, 'B'), (1732, 'D1'), (1826, 'C'), (1711, 'B'), (1245, 'C'), (1139, 'C'), (888, 'C'), (1788, 'C'), (111, 'A'), (544, 'B'), (1422, 'B'), (1854, 'A1'), (1144, 'D'), (1183, 'D'), (839, 'C'), (757, 'B'), (1228, 'B'), (1106, 'D'), (719, 'B'), (1701, 'C'), (1791, 'F'), (24, 'A'), (1452, 'B'), (1463, 'B'), (1676, 'G'), (1771, 'B'), (1758, 'C'), (525, 'B'), (1742, 'F'), (1401, 'C'), (580, 'C'), (1627, 'B'), (1365, 'B'), (1614, 'C'), (1156, 'A'), (1682, 'C'), (1676, 'H2'), (198, 'B'), (1292, 'A'), (1750, 'C'), (1499, 'C'), (1644, 'C'), (1420, 'C1'), (1542, 'B'), (402, 'B'), (1461, 'C'), (1617, 'C'), (1606, 'C'), (710, 'B'), (604, 'B'), (1493, 'B'), (1466, 'D'), (1611, 'D'), (1360, 'D'), (1561, 'B'), (1759, 'E'), (1810, 'C'), (1867, 'C'), (1196, 'D1'), (1774, 'B'), (1279, 'C'), (727, 'C'), (1761, 'C'), (744, 'A'), (1725, 'G'), (1575, 'J'), (334, 'B'), (228, 'B'), (1759, 'D'), (1276, 'A'), (1553, 'B'), (1551, 'C'), (1330, 'B'), (1183, 'C'), (1764, 'C'), (1649, 'B'), (1253, 'B'), (1647, 'C')}",392
AdityaDargan,1708.0,Yes,"{(1735, 'C'), (1768, 'C'), (1754, 'C2'), (1800, 'E1'), (1833, 'D'), (1767, 'D'), (1857, 'D'), (1873, 'G'), (1766, 'C'), (1821, 'C'), (1733, 'C'), (1746, 'C'), (1869, 'C'), (1845, 'C'), (1867, 'C'), (1829, 'F'), (1823, 'C'), (1860, 'C'), (1847, 'C'), (1825, 'C'), (1737, 'C'), (1692, 'G'), (1794, 'C'), (44, 'E'), (1692, 'F'), (1800, 'E2'), (1792, 'C'), (1744, 'E1'), (1750, 'C'), (1733, 'D1'), (1816, 'C'), (1774, 'C'), (1818, 'C'), (1844, 'C'), (1820, 'C'), (1809, 'C'), (1703, 'F'), (1857, 'E'), (1863, 'D'), (1789, 'C'), (1842, 'C'), (1758, 'C'), (1870, 'C'), (1694, 'C'), (1851, 'D'), (1749, 'C'), (180, 'C'), (1826, 'C'), (1786, 'B'), (1775, 'B'), (1676, 'F'), (1682, 'C'), (1754, 'C1'), (1741, 'D'), (1762, 'C'), (1736, 'C1'), (1844, 'D'), (1858, 'B'), (1748, 'B'), (1788, 'C')}",60
